paper,base,line,tag,tex_line
P02,RA64,522,a,\tag{a}
P02,RA64,633,I,\tag{I}
P02,RA64,694,II,\tag{II}
P02,RA64,740,III,\tag{III}
P02,RA64,849,1,\right\}\tag{1}
P02,RA64,888,2,a_s^2a_xu_s=\frac13a_s^3\cdot u_x=\frac13S\cdot u_x. \tag{2}
P02,RA64,896,3,\right\} \tag{3}
P02,RA64,904,4,\right\} \tag{4}
P02,RA64,1022,1,\right\} \tag{1}
P02,RA64,1027,2,a_\nu^3a_xu_\nu=\frac13i\cdot u_x. \tag{2}
P02,RA64,1084,3,"&=-\frac3{10}\theta_\nu(\vartheta \nu x),\tag{3}\\"
P02,RA64,1185,4.,\tag{4.}
P02,RA64,1294,5.,\tag{5.}
P02,RA64,1310,6.,\tag{6.}
P02,RA64,1315,7.,\tag{7.}
P02,RA64,1324,8.,\tag{8.}
P02,RA64,1390,9,\tag{9}
P02,RA64,1476,10,\tag{10}
P02,RA64,1544,11,\tag{11}
P02,RA64,1673,12,\tag{12}
P02,RA64,1779,13.)*,\tag{13.)*}
P02,RA64,1809,14.,\tag{14.}
P02,RA64,1860,15.,\tag{15.}
P02,RA64,1869,16.,\tag{16.}
P02,RA64,1954,17*,\tag{17*}
P02,RA64,1992,18,\tag{18}
P02,RA64,2034,19,\tag{19}
P02,RA64,2047,20,"\tag{20}a_\sigma=2a_\nu^2\cdot\theta_{\nu_1}^3\modu{(s,\R,t,i)}."
P02,RA64,2378,"21.\,*","\tag{21.\,*}"
P02,RA64,2392,22.,\tag{22.}
P02,RA64,2429,23.,\tag{23.}
P02,RA64,2460,24,\tag{24}
P02,RA64,2665,25,\tag{25}
P02,RA64,2681,26,\tag{26}
P02,RA64,2690,27,\tag{27}
P02,RA64,2761,28,\tag{28}
P02,RA64,2783,29,\tag{29}
P02,RA64,2863,30,\tag{30}
P02,RA64,2966,31,"0&=H_\vartheta(\theta Hu)(\theta su)^3-7\theta_\eta(\theta Hu)(\theta su)^2(Hsu)\tag{31},\\"
P02,RA64,3089,32,\tag{32}
