path,role,language,script,status
source/Noether_Paper28_German_Current_P28Audit_20260718.tex,current source control,de,Latn,verified post-R823 P28 complete-page audit
source/Noether_Paper28_German_Current_P28Audit_20260718.pdf,compiled source control,de,Latn,build text and render pass
zh-Hans/Noether_Paper28_SimplifiedChinese_SourceReconciled_v001.tex,source-reconciled translation,zh,Hans,working internally reviewed
zh-Hans/Noether_Paper28_SimplifiedChinese_SourceReconciled_v001.pdf,compiled translation,zh,Hans,build text and render pass
zh-Hant/Noether_Paper28_TraditionalChinese_SourceReconciled_v001.tex,controlled generic script adaptation,zh,Hant,working no locale-specific or external review
zh-Hant/Noether_Paper28_TraditionalChinese_SourceReconciled_v001.pdf,compiled script adaptation,zh,Hant,build text and render pass
ja/Noether_Paper28_Japanese_SourceReconciled_v001.tex,source-reconciled translation,ja,Jpan,working internally reviewed
ja/Noether_Paper28_Japanese_SourceReconciled_v001.pdf,compiled translation,ja,Jpan,build text and render pass
ko/Noether_Paper28_Korean_v001.tex,new translation,ko,Hang,working internally reviewed with Rang held
ko/Noether_Paper28_Korean_v001.pdf,compiled translation,ko,Hang,build text and render pass
decisions/NOE-P28-SEMISIMPLE-RING.ko.json,typed terminology decision,ko,Hang,schema-valid internally reviewed
decisions/NOE-P28-RANG.ko.json,typed terminology decision,ko,Hang,schema-valid held
visual_inspection/source.png,render evidence,de,Latn,visually inspected pass
visual_inspection/zh_Hans.png,render evidence,zh,Hans,visually inspected pass
visual_inspection/zh_Hant.png,render evidence,zh,Hant,visually inspected pass
visual_inspection/ja.png,render evidence,ja,Jpan,visually inspected pass
visual_inspection/ko.png,render evidence,ko,Hang,visually inspected pass
visual_inspection/Noether_Paper28_CJK_tranche_003_contact.png,contact sheet,multilingual,mixed,visually inspected pass
README.md,tranche overview,multilingual,mixed,current
SOURCE_USE.md,source provenance,multilingual,mixed,current
TERMINOLOGY.md,terminology crosswalk,multilingual,mixed,current
STATUS.md,build state and continuation cursor,multilingual,mixed,current
BUILD_REPORT.md,build extraction and source validation,multilingual,mixed,pass
RENDER_CHECK.md,visual validation,multilingual,mixed,pass
