"register_id","row_kind","source_slice","language","witness","url","source_form","sha256","size_bytes","text_or_ocr_path","text_or_ocr_sha256","text_or_ocr_size_bytes","license_signal","topic_tags","evidence_status","source_canon_value_and_gap","local_path","next_gate"
"SCW-TT-001","source_witness","local_source_canon_witness_table","Tatar","Алгебраик чишелеш — Wikipedia","https://tt.wikipedia.org/wiki/%D0%90%D0%BB%D0%B3%D0%B5%D0%B1%D1%80%D0%B0%D0%B8%D0%BA_%D1%87%D0%B8%D1%88%D0%B5%D0%BB%D0%B5%D1%88","local HTML capture","4E12698F644E671E8B68AC63E4D6DB7B047A2FACC8BACE8DD5C1B4E4F99D2492","84987","","","","local HTML includes CC BY-SA 4.0 link","Tatar; algebra; algebraic solution; polynomial/base context","","Target-language algebra witness only; no TeX/source package; no Noetherian-ring or polynomial-ring exact row.","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701t234000z_pan_turkic_exact_hard_row_paced_retry\web_candidate_pages\tt_wikipedia_algebraic_solution.html",""
"SCW-TT-002","source_witness","local_source_canon_witness_table","Tatar","Хуа леммасы — Wikipedia","https://tt.wikipedia.org/wiki/%D0%A5%D1%83%D0%B0_%D0%BB%D0%B5%D0%BC%D0%BC%D0%B0%D1%81%D1%8B","local HTML capture","D6952EF5B5E8E765C573415E384CBF555B3B2EA42926AAAE418E6E86FD3EC12F","75227","","","","local HTML includes CC BY-SA 4.0 link","Tatar; algebra; lemma","","Target-language mathematics witness only; no TeX/source package; no hard-row closure.","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701t234000z_pan_turkic_exact_hard_row_paced_retry\web_candidate_pages\tt_wikipedia_hua_lemma.html",""
"SCW-TT-003","source_witness","local_source_canon_witness_table","Tatar-region lead","Методические пособия\Кафедpа высшей математики и математического моделирования - Казанский (Приволжский) федеральный университет","https://kpfu.ru/math/strctre/teach/hmnmm/metodicheskie-posobiya","local HTML capture","41B5A97C751407766D9A2DB961617A5AC0C2CD42B867CF8A464240CA706BABD4","111360","","","","copyright signal","higher mathematics; institutional source shelf; KPFU","","Institutional source-shelf lead only, not a Tatar-language hard-row witness; no local TeX/source package; no exact hard row.","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260629T213000Z_r2_pan_turkic_az_tk_tt_ba_ug_hard_row_retry\html\pan_turkic_tatar\tatar_kpfu_methodical_sources_dictionary_lead.html",""
"SCW-TT-004","source_witness","local_source_canon_witness_table","Tatar","Татар телендә математикадан уку материаллары булдырырга йогынты ясаучы факторлар турында","https://cyberleninka.ru/article/n/tatar-telend-matematikadan-uku-materiallary-buldyryrga-yogynty-yasauchy-faktorlar-turynda","local HTML capture","3691F515CC96E12E2788FAFD5243DF1656CD094C80B287866E99ED8D9993C9C6","83652","","","","local HTML includes Creative Commons signal","Tatar; mathematics education; source-material factors","","Tatar-language mathematics-materials article witness; not algebra/ring hard-row support; no TeX/source package.","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260629T223000Z_r2_pan_turkic_turkmen_tatar_kyrgyz_hard_row_discovery\html\pan_turkic_tatar\tatar_cyberleninka_math_materials_article.html",""
"SCW-KY-001","source_witness","local_source_canon_witness_table","Kyrgyz","Көп мүчө - Википедия","https://ky.wikipedia.org/wiki/%D0%9A%D3%A9%D0%BF_%D0%BC%D2%AF%D1%87%D3%A9","local HTML capture","5D2992CB7809533D719508F5287767A1A9184FEC6EEFE901C102A9B52702AC7D","59592","","","","local HTML includes CC BY-SA 4.0 link","Kyrgyz; polynomial; algebra","","Target-language polynomial/base witness only; no TeX/source package; no polynomial-ring or Noetherian-ring exact row.","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701t234000z_pan_turkic_exact_hard_row_paced_retry\web_candidate_pages\ky_wikipedia_polynomial_kop_mucho.html",""
"SCW-KY-002","source_witness","local_source_canon_witness_table","Kyrgyz","Эмми Нётер - Википедия","https://ky.wikipedia.org/wiki/%D0%AD%D0%BC%D0%BC%D0%B8_%D0%9D%D1%91%D1%82%D0%B5%D1%80","local HTML capture","7AE2A60D71D2830026796DF5F0158726FD51A44F2B3870A47A6003C8C34C0D32","100621","","","","local HTML includes CC BY-SA 4.0 link","Kyrgyz; Emmy Noether; algebra context","","Target-language Noether biography/context witness only; no TeX/source package; no Noetherian-ring exact row.","C:\Users\memo_\Documents\Codex\2026-06-28\see-attached-you-do-prompt-d\outputs\sources\non_slavic_reference_corpus\20260701t234000z_pan_turkic_exact_hard_row_paced_retry\web_candidate_pages\ky_wikipedia_emmy_noether.html",""
"SCW-KY-003","source_witness","local_source_canon_witness_table","Kyrgyz","""шакек"" сөзүн кыргыз тилинде морфологиялык талдоо","https://tamgasoft.kg/morfo/ky/%D1%88%D0%B0%D0%BA%D0%B5%D0%BA","local HTML capture","CB76DC25E6458B16B28002E8570F550875DEAF2882C2BF6ACEAB25A320CE9A9F","20005","","","","no reusable license signal found","Kyrgyz; morphology; ring wordform lead","","Morphology-only witness for a surface form; not a mathematical publication; no source package; no hard-row support.","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260629T223000Z_r2_pan_turkic_turkmen_tatar_kyrgyz_hard_row_discovery\html\pan_turkic_kyrgyz\kyrgyz_tamgasoft_shakek_morphology.html",""
"SCW-KY-004","source_witness","local_source_canon_witness_table","Kyrgyz","Matematikalyk Terminderdin Kyrgyzcha Oruscha Sozdugu Bizdin KG | PDF","https://www.scribd.com/document/673285911/Matematikalyk-terminderdin-kyrgyzcha-oruscha-sozdugu-bizdin-kg","local dynamic HTML/PDF-surface capture","A15B94BCD3A2CFFFCF5A5BF66812CD2CC794FD8BBECAC5F7CA0ADF5F21576E46","1218824","","","","copyright signal","Kyrgyz; Russian-Kyrgyz math terms dictionary","","Terminology dictionary surface witness; no local PDF hash/source package; license restrictive/unclear; no exact hard-row support.","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260629T210000Z_r2_pan_turkic_nonuzbek_hard_row_source_retry\html\pan_turkic_kyrgyz\kyrgyz_scribd_math_terms_dictionary_html.html",""
"SCW-TK-001","source_witness","local_source_canon_witness_table","Turkmen","Ýokary matematika I","https://kitaphana.net/book/1207","local HTML/PDF-viewer surface capture","099496E59B76C7F6825828C34CA3E5AAF2DD767B65172E10952F83E8CF0456AD","10894","","","","copyright signal","Turkmen; higher mathematics; textbook lead","","Turkmen higher-math publication surface; no local PDF hash/source package; no exact Noetherian-ring or polynomial-ring row.","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260629T213000Z_r2_pan_turkic_az_tk_tt_ba_ug_hard_row_retry\html\pan_turkic_turkmen\turkmen_kitaphana_yokary_matematika_i.html",""
"SCW-TK-002","source_witness","local_source_canon_witness_table","Turkmen","Kömekow B Algebra-2010'TDU | PDF","https://www.scribd.com/document/868629110/Komekow-B-Algebra-2010-TDU","local dynamic HTML/PDF-surface capture","2B7F1D6BAD0CCA19F6E3759D8D513B2FFD25C294B537DCE7C04A0B061126514C","1250229","","","","copyright signal","Turkmen; algebra; TDU textbook lead","","Turkmen algebra publication surface; no local PDF hash/source package; license restrictive/unclear; no exact hard-row support.","C:\Users\memo_\Documents\Codex\2026-06-09\could-you-look-online-for-me\work\noether-slavic-canonical\sources\non_slavic_reference_corpus\20260629T213000Z_r2_pan_turkic_az_tk_tt_ba_ug_hard_row_retry\html\pan_turkic_turkmen\turkmen_scribd_komekow_algebra_dynamic_html.html",""
