decision_id,evidence_class,authority_role,unit_id,source_term_or_delta,source_locator,target_locator,chosen_english_or_action,normalization_class,adverse_delta,rejected_alternative,motivation,status,confidence,record_revision,continuation_cursor,revisit_condition
SGA2-VIII-IV-II-N1-TERM-001,proof_register,corrected_french_tex,SGA2-VIII-IV-II-N1-SETUP,Raisonnons par absurde,French2828,opening paragraph,We argue by contradiction,standard_mathematical_register,none,Let us reason by the absurd,idiomatic established SGA English register,applied_self_reviewed_pending_independent_review,high,1,French line2856,register review
SGA2-VIII-IV-II-N1-TERM-002,depth_notation,corrected_french_tex,SGA2-VIII-IV-II-N1-POINTS,prof,French2828,opening display,upright operator prof,source_notation_preservation,prose ledgers may identify it as depth,replace formula by depth or raw italic prof,preserve source notation and SGA convention,applied_self_reviewed_pending_independent_review,high,1,French line2856,notation review
SGA2-VIII-IV-II-N1-TERM-003,corrected_branch,corrected_french_tex,SGA2-VIII-IV-II-N1-POINTS,Fa branch,French2828 and2844 and2849,target formulas,calligraphic F,corrected_authority_branch,source macro selects calligraphic F,use comparison plain F,preserve corrected authority control at every site,applied_self_reviewed_pending_independent_review,high,1,French line2856,authority revision
SGA2-VIII-IV-II-N1-TERM-004,scheme_register,corrected_french_tex,SGA2-VIII-IV-II-N1-AFFINE,Posons,French2828-2829,A and X-prime display,Set,standard_mathematical_register,none,Let us put,idiomatic concise register,applied_self_reviewed_pending_independent_review,high,1,French line2856,register review
SGA2-VIII-IV-II-N1-TERM-005,base_change_register,corrected_french_tex,SGA2-VIII-IV-II-N1-BC,Effectuons le changement de base,French2834,diagram introduction,Perform the base change,standard_mathematical_register,none,Carry out a change of base,standard English phrase with definite morphism,applied_self_reviewed_pending_independent_review,high,1,French line2856,register review
SGA2-VIII-IV-II-N1-TERM-006,ideal_notation,corrected_french_tex,SGA2-VIII-IV-II-N1-IDEALS,underline x and underline y,French2847,on-page sentence,underlined x and y retained in formulas,source_symbol_preservation,candidate uses fraktur ideals,use fraktur x y or ordinary points,preserve source and point-ideal distinction,applied_self_reviewed_pending_independent_review,high,1,French line2856,symbol review
SGA2-VIII-IV-II-N1-TERM-007,corrected_typography,corrected_french_tex,SGA2-VIII-IV-II-N1-MONO,Ga macro,French2849,G definition,calligraphic G,corrected_typography_preservation,candidate uses plain G,use plain G,preserve source macro typography,applied_self_reviewed_pending_independent_review,high,1,French line2856,authority revision
SGA2-VIII-IV-II-N1-TERM-008,fraction_ring_register,corrected_french_tex,SGA2-VIII-IV-II-N1-FRAC,anneau des fractions,French2851,gloss after first fraction display,the field of fractions,idiomatic_algebraic_register,source literally says ring of fractions,use fraction ring without context,A modulo the prime ideal is a domain and field of fractions is standard,applied_self_reviewed_pending_independent_review,high,1,French line2856,terminology review
SGA2-VIII-IV-II-N1-TERM-009,module_finiteness,corrected_french_tex,SGA2-VIII-IV-II-N1-CONTRA,A-module de type fini,French2854,closing sentence,finitely generated A-module,standard_algebraic_register,none,A-module of finite type,standard English terminology,applied_self_reviewed_pending_independent_review,high,1,French line2856,terminology review
SGA2-VIII-IV-II-N1-TERM-010,contradiction_close,corrected_french_tex,SGA2-VIII-IV-II-N1-CONTRA,D ou une contradiction,French2854,closing sentence,This is a contradiction,standard_proof_register,none,Whence a contradiction,idiomatic direct close,applied_self_reviewed_pending_independent_review,high,1,French line2856,register review
SGA2-VIII-IV-II-N1-TERM-011,comparison_disposition,comparison_only_not_authority,SGA2-VIII-IV-II-N1-CAND,jcreinhold lines518-562,current candidate,comparison controls only,retain comparison-only status,candidate_adverse_control,candidate uses running75 as original page; plain F and G; bar x; fraktur ideals; congruence; unnumbered code diagram,promote candidate wording or symbols,all accepted content is rederived from French authority,recorded_not_promoted,high,1,French line2856,candidate revision
SGA2-VIII-IV-II-N1-TERM-012,boundary_disposition,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-IV-II-N1-BOUND,blank2855 and n-greater-than-one at2856,French2855-2856,outbound cursor,exclude blank and set cursor2856,boundary_control,none,use blank2855 as cursor or absorb next case,smallest coherent unit closes the n-one contradiction,applied_self_reviewed_pending_independent_review,high,1,French line2856,next-unit integration
SGA2-VIII-IV-II-N1-TERM-013,target_extraction_disposition,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-IV-II-N1-REPAIR,bigl and bigr delimiter commands,target TeX lines58 60 84 89,equation 2.8 and two section displays,ordinary parentheses,source_matching_accessible_extraction,pre-repair commands emitted four U+0001 bytes,retain enlarged delimiters,ordinary delimiters match the French and preserve grouping while producing clean text,applied_rebuilt_pending_independent_recheck,high,1,French line2856,target or extraction revision
SGA2-VIII-IV-II-N1-TERM-014,independent_review_disposition,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-IV-II-N1-REVIEW,repaired whole bounded unit,French2828-2854,final repaired TeX PDF extraction and renders,seal repaired target identity,independent_review_disposition,pre-repair extraction defect remains in revision history,retain production-only status despite all gates passing,all source formula terminology diagram page boundary build extraction render font privacy and machine controls pass independently,independently_rechecked_and_sealed_after_target_extraction_repair,high,1,French line2856,target TeX or authority revision
