alignment_id,evidence_class,authority_role,unit_id,parent_id,source_tex_lines,original_printed_pages,physical_source_pdf_pages,recomposed_running_pages,target_locator,coverage_status,decision,status,confidence,adverse_delta,rejected_alternative,cross_references,continuation_cursor,revisit_condition,record_revision
SGA2-VIII-IV-II-N1-ALIGN-001,n1_hypothesis,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-IV-II-N1-SETUP,SGA2-VIII-IV-II-N1,2828,94,83,75,opening paragraph,complete,preserve n equals one coherence assumption contradiction and local associated-point convention,self_reviewed_logic_formula_pass_pending_independent_review,high,source writes x in Ass F-sub-x,normalize the local convention away,SGA2-VIII-IV-II-N1-POINTS,French line2856,source or mathematical review,1
SGA2-VIII-IV-II-N1-ALIGN-002,point_choice,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-IV-II-N1-POINTS,SGA2-VIII-IV-II-N1,2828,94,83,75,opening paragraph and display,complete,preserve x in U; c of x one; depth zero; y in closure x intersect Y; local dimension one,self_reviewed_logic_formula_pass_pending_independent_review,high,corrected branch uses calligraphic F,use plain F or omit closure condition,SGA2-VIII-IV-II-N1-AFFINE,French line2856,formula review,1
SGA2-VIII-IV-II-N1-ALIGN-003,affine_localization,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-IV-II-N1-AFFINE,SGA2-VIII-IV-II-N1,2829-2830,94,83,75,A and X-prime display,complete,preserve A equals local ring and X-prime equals Spec A,self_reviewed_formula_pass_pending_independent_review,high,prime mark is structural,drop prime or change local ring,SGA2-VIII-IV-II-N1-BC,French line2856,formula review,1
SGA2-VIII-IV-II-N1-ALIGN-004,base_change_diagram,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-IV-II-N1-BC,SGA2-VIII-IV-II-N1,2832-2841,94,83,75,equation 2.7,complete,preserve counter reset label Cartesian objects arrows primes and flatness,self_reviewed_formula_structure_pass_pending_independent_review,high,candidate diagram is unnumbered code text,omit label or reverse arrows,SGA2-VIII-IV-II-N1-ISO,French line2856,diagram review,1
SGA2-VIII-IV-II-N1-ALIGN-005,flat_base_change_isomorphism,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-IV-II-N1-ISO,SGA2-VIII-IV-II-N1,2842-2845,94,83,75,equation 2.8,complete,preserve separated finite-type justifications EGA III 1.4.15 label and approximate relation,self_reviewed_formula_citation_pass_pending_independent_review,high,candidate changes approximate to congruence,normalize to congruence or omit label,SGA2-VIII-IV-II-N1-IDEALS,French line2856,formula and citation review,1
SGA2-VIII-IV-II-N1-ALIGN-006,page_marker_and_ideals,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-IV-II-N1-IDEALS,SGA2-VIII-IV-II-N1,2847,95,83,75,printed-page marker and ideal sentence,complete,preserve printed marker95 and underlined x and y as ideals distinct from points,self_reviewed_page_symbol_pass_pending_independent_review,high,candidate uses fraktur ideals and labels running75 as original page,use fraktur ideals or suppress marker,SGA2-VIII-IV-II-N1-MONO,French line2856,symbol review,1
SGA2-VIII-IV-II-N1-ALIGN-007,coherent_pullback_monomorphism,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-IV-II-N1-MONO,SGA2-VIII-IV-II-N1,2849,95,83,75,G definition and monomorphism,complete,preserve calligraphic G; v-prime pullback; underlined associated ideal; ordinary arrow; restricted pushforward coherence,self_reviewed_formula_logic_pass_pending_independent_review,high,source calls ordinary-arrow display a monomorphism,replace ordinary arrow by hook without note,SGA2-VIII-IV-II-N1-SUPPORT,French line2856,formula review,1
SGA2-VIII-IV-II-N1-ALIGN-008,support_description,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-IV-II-N1-SUPPORT,SGA2-VIII-IV-II-N1,2849,95,83,75,support paragraph and display,complete,preserve dimension one and closure of underlined x equals the two underlined points and Spec A modulo underlined x,self_reviewed_formula_logic_pass_pending_independent_review,high,point and ideal notation must remain distinct,replace ideal points with ordinary x and y,SGA2-VIII-IV-II-N1-FRAC,French line2856,formula review,1
SGA2-VIII-IV-II-N1-ALIGN-009,fraction_sections,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-IV-II-N1-FRAC,SGA2-VIII-IV-II-N1,2850-2853,95,83,75,two fraction displays,complete,preserve both U-prime and X-prime section identities with Frac A modulo underlined x,self_reviewed_formula_pass_pending_independent_review,high,field of fractions is idiomatic for source ring of fractions in a domain,drop one of the two identities,SGA2-VIII-IV-II-N1-CONTRA,French line2856,formula and terminology review,1
SGA2-VIII-IV-II-N1-ALIGN-010,contradiction_close,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-IV-II-N1-CONTRA,SGA2-VIII-IV-II-N1,2854,95,83,75,closing sentences,complete,preserve nonfinite A-module reason and contradiction,self_reviewed_logic_terminology_pass_pending_independent_review,high,source says module of finite type,replace reason with an unstated theorem,SGA2-VIII-IV-II-N1-BOUND,French line2856,logic review,1
SGA2-VIII-IV-II-N1-ALIGN-011,page_coordinate_control,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-IV-II-N1-PAGE,SGA2-VIII-IV-II-N1,2828-2854,94-95,83,75,authority box and marker,complete,keep printed physical and running coordinates distinct and place marker95 at French2847,self_reviewed_page_mapping_pass_pending_independent_review,high,no physical-page break occurs inside unit,use running75 as printed page,SGA2-VIII-IV-II-N1-BOUND,French line2856,source repagination,1
SGA2-VIII-IV-II-N1-ALIGN-012,comparison_control,comparison_only_not_authority,SGA2-VIII-IV-II-N1-CAND,SGA2-VIII-IV-II-N1,jcreinhold518-562 versus French2828-2854,94-95,83,75,comparison ledger,complete_comparison_only,rederive all content from French and accept only idiomatic wording after source audit,comparison_audited_not_promoted,high,single LLM lineage gives no independent agreement,promote candidate as authority,COMPARISON:jcreinhold_e7a259f,French line2856,candidate revision,1
SGA2-VIII-IV-II-N1-ALIGN-013,boundary_control,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-IV-II-N1-BOUND,SGA2-VIII-IV-II-N1,2854-2856,95,83,75,outbound cursor,complete,stop after complete n-one contradiction exclude blank2855 and begin next unit at n-greater-than-one case,self_reviewed_boundary_pass_pending_independent_review,high,blank2855 is not substantive,stop at blank as cursor or absorb the next induction case,OUTBOUND:SGA2-VIII-IV-II-NGT1,French line2856,next-unit integration,1
SGA2-VIII-IV-II-N1-ALIGN-014,target_extraction_repair,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-IV-II-N1-REPAIR,SGA2-VIII-IV-II-N1,2843-2853,94-95,83,75,equation 2.8 and two section displays,complete,replace four big delimiter pairs by source-matching ordinary parentheses to remove four U+0001 extraction bytes,target_repaired_rebuilt_and_self_checked_pending_independent_recheck,high,first target extraction contained four forbidden control bytes,retain pre-repair target or change mathematical grouping,SGA2-VIII-IV-II-N1-ISO|SGA2-VIII-IV-II-N1-FRAC,French line2856,target or extraction revision,1
