comparison_id,evidence_class,authority_role,unit_id,object_type,source_locator,source_tex_lines,original_printed_pages,physical_source_pdf_pages,target_locator,parent_id,cross_references,critical_controls,decision,result,status,confidence,adverse_or_choice,rejected_alternative,record_revision,continuation_cursor
SGA2-VIII-IV-II-N1-CMP-001,source_formula_logic,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-IV-II-N1-SETUP,n1_assumption,French2828,2828,94,83,opening paragraph,SGA2-VIII-IV-II-N1,SGA2-VIII-IV-II-N1-POINTS,n equals one; coherent i-star restriction; contradiction,preserve,pass,self_reviewed_pending_independent_review,high,none,direct proof without contradiction,1,French line2856
SGA2-VIII-IV-II-N1-CMP-002,source_formula,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-IV-II-N1-POINTS,depth_and_associated_point,French2828,2828,94,83,opening paragraph,SGA2-VIII-IV-II-N1,SGA2-VIII-IV-II-N1-AFFINE,x in U; c x one; upright prof; calligraphic F-sub-x; equals zero; x in Ass F-sub-x,preserve exact symbols and local convention,pass,self_reviewed_pending_independent_review,high,source local-point convention is retained,normalize x into a prime ideal statement,1,French line2856
SGA2-VIII-IV-II-N1-CMP-003,source_formula,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-IV-II-N1-POINTS,point_specialization,French2828,2828,94,83,opening paragraph and display,SGA2-VIII-IV-II-N1,SGA2-VIII-IV-II-N1-AFFINE,y in closure x intersect Y; dimension local ring one,preserve,pass,self_reviewed_pending_independent_review,high,overline braces preserved,use bar x shorthand,1,French line2856
SGA2-VIII-IV-II-N1-CMP-004,source_formula,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-IV-II-N1-AFFINE,local_affine_setup,French2829-2830,2829-2830,94,83,A and X-prime display,SGA2-VIII-IV-II-N1,SGA2-VIII-IV-II-N1-BC,A equals O-sub-X-y; X-prime equals Spec A,preserve,pass,self_reviewed_pending_independent_review,high,prime retained,omit X-prime definition,1,French line2856
SGA2-VIII-IV-II-N1-CMP-005,source_diagram,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-IV-II-N1-BC,equation_2_7,French2832-2841,2832-2841,94,83,numbered Cartesian square,SGA2-VIII-IV-II-N1,SGA2-VIII-IV-II-N1-ISO,counter reset six; label eq VIII 2 7; U-prime equals fiber product; v-prime i-prime v i orientations,preserve exact structure,pass,self_reviewed_pending_independent_review,high,candidate loses numbering and semantic label,use unnumbered code block,1,French line2856
SGA2-VIII-IV-II-N1-CMP-006,source_citation_logic,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-IV-II-N1-ISO,base_change_hypotheses,French2842,2842,94,83,paragraph before equation 2.8,SGA2-VIII-IV-II-N1,SGA2-VIII-IV-II-N1-ISO,i separated as immersion; finite type as open immersion in locally Noetherian X; flat change; EGA III 1.4.15,preserve,pass,self_reviewed_pending_independent_review,high,candidate link is not source authority,omit either hypothesis,1,French line2856
SGA2-VIII-IV-II-N1-CMP-007,source_formula,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-IV-II-N1-ISO,equation_2_8,French2843-2845,2843-2845,94,83,numbered base-change formula,SGA2-VIII-IV-II-N1,SGA2-VIII-IV-II-N1-IDEALS,v-star of i-star restriction; approximate; i-prime-star of v-prime-star restriction; label eq VIII 2 8,preserve exact relation and label,pass,self_reviewed_pending_independent_review,high,candidate substitutes congruence,use congruence or isomorphism arrow,1,French line2856
SGA2-VIII-IV-II-N1-CMP-008,source_symbol_page,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-IV-II-N1-IDEALS,ideal_notation,French2847,2847,95,83,printed marker and sentence,SGA2-VIII-IV-II-N1,SGA2-VIII-IV-II-N1-MONO,marker95; underlined x and y ideals; ordinary x and y points,preserve distinction,pass,self_reviewed_pending_independent_review,high,candidate uses fraktur ideals and running-page comment,use fraktur or ordinary symbols,1,French line2856
SGA2-VIII-IV-II-N1-CMP-009,source_formula,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-IV-II-N1-MONO,pullback_and_associated_ideal,French2849,2849,95,83,G paragraph,SGA2-VIII-IV-II-N1,SGA2-VIII-IV-II-N1-SUPPORT,calligraphic G equals v-prime-star of F restriction; coherent; underlined x in Ass G,preserve,pass,self_reviewed_pending_independent_review,high,corrected typography differs from candidate plain G and F,use plain G or F,1,French line2856
SGA2-VIII-IV-II-N1-CMP-010,source_formula_logic,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-IV-II-N1-MONO,monomorphism,French2849,2849,95,83,monomorphism display and consequence,SGA2-VIII-IV-II-N1,SGA2-VIII-IV-II-N1-SUPPORT,O closure x ordinary arrow G; i-prime-star restriction to U-prime coherent,preserve source arrow and prose,pass,self_reviewed_pending_independent_review,high,ordinary arrow retained although prose says monomorphism,replace with hook arrow,1,French line2856
SGA2-VIII-IV-II-N1-CMP-011,source_formula,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-IV-II-N1-SUPPORT,support_two_points,French2849,2849,95,83,support display and explanation,SGA2-VIII-IV-II-N1,SGA2-VIII-IV-II-N1-FRAC,dimension A mod underlined x one; closure underlined x equals two underlined points; Spec A mod underlined x,preserve,pass,self_reviewed_pending_independent_review,high,point-ideal distinction is semantic,use ordinary x y or bar x,1,French line2856
SGA2-VIII-IV-II-N1-CMP-012,source_formula,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-IV-II-N1-FRAC,sections_on_U_prime,French2850-2851,2850-2851,95,83,first fraction display and gloss,SGA2-VIII-IV-II-N1,SGA2-VIII-IV-II-N1-CONTRA,O closure x restricted U-prime evaluated U-prime equals Frac A mod underlined x,preserve formula; normalize gloss to field of fractions,pass,self_reviewed_pending_independent_review,high,source ring-of-fractions gloss and candidate field-of-fractions gloss,omit restriction or evaluation,1,French line2856
SGA2-VIII-IV-II-N1-CMP-013,source_formula,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-IV-II-N1-FRAC,sections_after_pushforward,French2852-2853,2852-2853,95,83,second fraction display,SGA2-VIII-IV-II-N1,SGA2-VIII-IV-II-N1-CONTRA,i-prime-star restricted sheaf evaluated X-prime equals same Frac,preserve,pass,self_reviewed_pending_independent_review,high,none,collapse into first identity,1,French line2856
SGA2-VIII-IV-II-N1-CMP-014,source_logic_terminology,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-IV-II-N1-CONTRA,nonfiniteness_contradiction,French2854,2854,95,83,closing sentences,SGA2-VIII-IV-II-N1,SGA2-VIII-IV-II-N1-BOUND,Frac not finitely generated A-module because underlined x differs from maximal ideal; contradiction,preserve,pass,self_reviewed_pending_independent_review,high,finite type normalized to finitely generated,omit stated reason,1,French line2856
SGA2-VIII-IV-II-N1-CMP-015,page_boundary_structure,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-IV-II-N1-PAGE,coordinates_and_cursor,French2828-2856,2828-2856,94-95,83,authority box marker and cursor,SGA2-VIII-IV-II-N1,SGA2-VIII-IV-II-N1-BOUND,printed94-95; marker95 at2847; physical83; running75; blank2855 excluded; cursor2856,preserve distinct coordinates and exact cursor,pass,self_reviewed_pending_independent_review,high,candidate calls running75 original page,use page75 as printed coordinate or cursor2855,1,French line2856
SGA2-VIII-IV-II-N1-CMP-016,target_extraction,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-IV-II-N1-REPAIR,delimiter_extraction_repair,target TeX lines58 60 84 89,2843-2853,94-95,83,equation 2.8 and two section displays,SGA2-VIII-IV-II-N1,SGA2-VIII-IV-II-N1-ISO|SGA2-VIII-IV-II-N1-FRAC,ordinary source parentheses; no mathematical regrouping; zero forbidden control bytes,replace big delimiter commands and rebuild all affected evidence,pass,target_repaired_self_checked_pending_independent_recheck,high,pre-repair extraction had four U+0001 bytes,retain enlarged delimiters,1,French line2856
SGA2-VIII-IV-II-N1-CMP-017,independent_review,corrected_french_tex_plus_direct_compiled_pdf,SGA2-VIII-IV-II-N1-REVIEW,full_formula_symbol_structure_recheck,French2828-2854 plus physical83,2828-2854,94-95,83,repaired TeX PDF extraction and renders,SGA2-VIII-IV-II-N1,SGA2-VIII-IV-II-N1-SETUP|SGA2-VIII-IV-II-N1-POINTS|SGA2-VIII-IV-II-N1-BC|SGA2-VIII-IV-II-N1-ISO|SGA2-VIII-IV-II-N1-IDEALS|SGA2-VIII-IV-II-N1-MONO|SGA2-VIII-IV-II-N1-SUPPORT|SGA2-VIII-IV-II-N1-FRAC|SGA2-VIII-IV-II-N1-CONTRA|SGA2-VIII-IV-II-N1-PAGE|SGA2-VIII-IV-II-N1-BOUND|SGA2-VIII-IV-II-N1-REPAIR,all source formulas; arrows; primes; labels; approximate relation; ideal symbols; extraction repair; marker and cursor,seal repaired target after independent rebuild and byte-identical clean extraction/render,pass,independent_recheck_pass_no_further_target_repair,high,pre-repair delimiter defect remains disclosed,restore enlarged delimiters or candidate notation,1,French line2856
