relative_path,source_bytes,source_sha256,public_bytes,public_sha256,privacy_action_count,privacy_rules,status
ARTIFACT_TOOL_PACKAGE_CSV_VALIDATION.json,1865,A538DC356A0138EAA2DF2AECE6637CFEAAF0D0D3032852CD47415AF2D388061B,1865,A538DC356A0138EAA2DF2AECE6637CFEAAF0D0D3032852CD47415AF2D388061B,0,,BYTE_IDENTICAL
BLIND_COMPARATOR_GENERATION_VALIDATION.json,1386,7E2C3A6E69C471DF3A0A50DE3731B4D62290C8A2321684A555B4786D1061DF9E,1386,7E2C3A6E69C471DF3A0A50DE3731B4D62290C8A2321684A555B4786D1061DF9E,0,,BYTE_IDENTICAL
BLIND_COMPARATOR_INPUT_IDENTITIES.csv,15492,76FB5CB89C484AD21BC8813C1DBFE9960C1AA209F678A7B1D1E129F7F19AB102,15492,76FB5CB89C484AD21BC8813C1DBFE9960C1AA209F678A7B1D1E129F7F19AB102,0,,BYTE_IDENTICAL
FAC_ACCIDENTAL_DUPLICATION_BLIND_COMPARATOR_METHODOLOGY_EVIDENCE.md,5306,CFEE996CE80702CF787F77ABB1DD76C83915544A5D4968C4E1F11CC1E3E1C87D,5306,CFEE996CE80702CF787F77ABB1DD76C83915544A5D4968C4E1F11CC1E3E1C87D,0,,BYTE_IDENTICAL
FAC_BLIND_COMPARATOR_ALL_79_FINDINGS.csv,68365,2291410CD5BE0C483E159769E45B9B79F378FBDA28857E1B5A1597C78403AE73,68365,2291410CD5BE0C483E159769E45B9B79F378FBDA28857E1B5A1597C78403AE73,0,,BYTE_IDENTICAL
FAC_BLIND_COMPARATOR_ALL_79_UNIT_REVIEWS.csv,51218,09F2D367C565D71F68ECC195E34BD2FB9DBEE72FD098EBB747CBEDF1A4E16E7E,51218,09F2D367C565D71F68ECC195E34BD2FB9DBEE72FD098EBB747CBEDF1A4E16E7E,0,,BYTE_IDENTICAL
FAC_BLIND_COMPARATOR_ALL_79_VALIDATION.json,2547,05FF84EA79EBBAA9722ED6EAD3D2CA0D4CDB60A2CADA5B243027FB652AE810E9,2547,05FF84EA79EBBAA9722ED6EAD3D2CA0D4CDB60A2CADA5B243027FB652AE810E9,0,,BYTE_IDENTICAL
FAC_BLIND_COMPARATOR_FINAL_METHODOLOGY_REPORT.md,5327,7D3C6AC1EFB96447555A30C87A37E80BCA9F3C747F267BB22514D49431B8EB41,5327,7D3C6AC1EFB96447555A30C87A37E80BCA9F3C747F267BB22514D49431B8EB41,0,,BYTE_IDENTICAL
FAC_BLIND_COMPARATOR_INVENTORY.csv,53297,AD8D4A8A242BBE3A5FD6606928904151A067F303C1780BF072BE909CD7F744AB,53297,AD8D4A8A242BBE3A5FD6606928904151A067F303C1780BF072BE909CD7F744AB,0,,BYTE_IDENTICAL
FAC_EDITORIAL_DECISION_LOGBOOK_SNAPSHOT.md,141602,48B282DE4CC62EACB652A0AAB583ED444A0FB9800B8C701C8A4978F76814A2BB,141602,48B282DE4CC62EACB652A0AAB583ED444A0FB9800B8C701C8A4978F76814A2BB,0,,BYTE_IDENTICAL
FAC_EDITORIAL_SELF_CORRECTION_LEDGER_PRIVACY_CLEAN.csv,156637,1901D70F3997A7864CB34BDD52FF47BB60F143474575DE07FE320F782D6F33C9,156765,E5BC74642F7E41142220B3C2EFC4B5AFE5EB6A9AB59D19BC538F55390F4E7C7C,7,internal_publication_staging_segment;windows_absolute_root,PRIVACY_PROJECTED
FAC_PROJECT_LOGBOOK_SNAPSHOT.md,215800,A797E003C21C8C75729DBA778154F2DF841EF8546AB392954061A1CF940E02A2,215764,2EDA6EDCDCEB9A55CA33DF9D01C582A8A34E6CE6A803C105EC4BDD1508261D5B,2,codex_task_id,PRIVACY_PROJECTED
FAC_SOURCE_AND_COMPARATOR_IDENTITIES.csv,2689,CE2F6B65CD563483D5107B7176E4358B0179617BF6F551F51D00F9895C6F4E0D,2689,CE2F6B65CD563483D5107B7176E4358B0179617BF6F551F51D00F9895C6F4E0D,0,,BYTE_IDENTICAL
METHODOLOGY_EVIDENCE_READINESS.md,1893,45ABC29D70ADCE8AF5649AC3B6DBD08DF006670256A6B862254ED1D2B368E5CB,1893,45ABC29D70ADCE8AF5649AC3B6DBD08DF006670256A6B862254ED1D2B368E5CB,0,,BYTE_IDENTICAL
PACKAGE_VALIDATION.json,2291,F189387FDAE2C312844585F9DB30453F8441655A164FCBCF31DC89D7AFFD126F,2291,F189387FDAE2C312844585F9DB30453F8441655A164FCBCF31DC89D7AFFD126F,0,,BYTE_IDENTICAL
PROJECT_LOGBOOK_METHODOLOGY_REPLICATION_DOI_REQUIREMENT_20260802.md,2296,BFA1E3A3EDA94E8C3425BAE50C842610A47D508FB260BF761BA3206883012679,2242,864DC6B0183161DFA289D6A25DDE268D09E5187C3C4102C854F05422B86DF2AA,3,codex_task_id,PRIVACY_PROJECTED
README.md,2601,24D7A1832C04C548527A054AB560457920EBE15EACB074FC41D932C4A68C06E2,2601,24D7A1832C04C548527A054AB560457920EBE15EACB074FC41D932C4A68C06E2,0,,BYTE_IDENTICAL
RIGHTS_AND_PROVENANCE.md,2121,37D1C324797E91EE255EEBE3E45EBB100E7212F00313070BE9B7CAE314105CF3,2121,37D1C324797E91EE255EEBE3E45EBB100E7212F00313070BE9B7CAE314105CF3,0,,BYTE_IDENTICAL
ZENODO_PAYLOAD_MANIFEST.csv,2035,F9A196A143AB004E2BB167FE46F1953F11A60A3505B15870EFE8C005EC920B8D,2035,95604055BA157097C6C45C4EC413672ED396FB9A0C6773E436663A3AC9E5C8DE,1,manifest_regenerated_after_privacy_projection,REGENERATED_TO_BIND_PUBLIC_PROJECTION
