"audit_id","category","name","file_count","byte_count","note"
"PAN-TURKIC-BODY-PRESENCE-20260706","extension",".cfg","1","139","Package file count by extension, excluding SHA256SUMS.txt."
"PAN-TURKIC-BODY-PRESENCE-20260706","extension",".csv","49","2705019","Package file count by extension, excluding SHA256SUMS.txt."
"PAN-TURKIC-BODY-PRESENCE-20260706","extension",".html","34","5313674","Package file count by extension, excluding SHA256SUMS.txt."
"PAN-TURKIC-BODY-PRESENCE-20260706","extension",".jpg","1","113776","Package file count by extension, excluding SHA256SUMS.txt."
"PAN-TURKIC-BODY-PRESENCE-20260706","extension",".json","3","118455","Package file count by extension, excluding SHA256SUMS.txt."
"PAN-TURKIC-BODY-PRESENCE-20260706","extension",".jsonl","1","1347","Package file count by extension, excluding SHA256SUMS.txt."
"PAN-TURKIC-BODY-PRESENCE-20260706","extension",".log","1","0","Package file count by extension, excluding SHA256SUMS.txt."
"PAN-TURKIC-BODY-PRESENCE-20260706","extension",".md","33","182413","Package file count by extension, excluding SHA256SUMS.txt."
"PAN-TURKIC-BODY-PRESENCE-20260706","extension",".pdf","19","44556259","Package file count by extension, excluding SHA256SUMS.txt."
"PAN-TURKIC-BODY-PRESENCE-20260706","extension",".sty","5","80815","Package file count by extension, excluding SHA256SUMS.txt."
"PAN-TURKIC-BODY-PRESENCE-20260706","extension",".tex","34","965541","Package file count by extension, excluding SHA256SUMS.txt."
"PAN-TURKIC-BODY-PRESENCE-20260706","extension",".txt","61","11331699","Package file count by extension, excluding SHA256SUMS.txt."
"PAN-TURKIC-BODY-PRESENCE-20260706","extension",".wiki","66","1011637","Package file count by extension, excluding SHA256SUMS.txt."
"PAN-TURKIC-BODY-PRESENCE-20260706","extension",".zip","3","909811","Package file count by extension, excluding SHA256SUMS.txt."
"PAN-TURKIC-BODY-PRESENCE-20260706","extension","[no-extension]","1","73442","Package file count by extension, excluding SHA256SUMS.txt."
"PAN-TURKIC-BODY-PRESENCE-20260706","top_level_directory","ACTIVE_GOAL_VERBATIM.md","1","1167","Package file count by top-level directory, excluding SHA256SUMS.txt."
"PAN-TURKIC-BODY-PRESENCE-20260706","top_level_directory","ACTIVE_SESSION_STATE.md","1","788","Package file count by top-level directory, excluding SHA256SUMS.txt."
"PAN-TURKIC-BODY-PRESENCE-20260706","top_level_directory","BLOCKERS.csv","1","60626","Package file count by top-level directory, excluding SHA256SUMS.txt."
"PAN-TURKIC-BODY-PRESENCE-20260706","top_level_directory","bodies","186","55883584","Package file count by top-level directory, excluding SHA256SUMS.txt."
"PAN-TURKIC-BODY-PRESENCE-20260706","top_level_directory","FABLE_REQUIREMENTS_ACKNOWLEDGED_20260705.md","1","3272","Package file count by top-level directory, excluding SHA256SUMS.txt."
"PAN-TURKIC-BODY-PRESENCE-20260706","top_level_directory","generated-draft","64","2368741","Package file count by top-level directory, excluding SHA256SUMS.txt."
"PAN-TURKIC-BODY-PRESENCE-20260706","top_level_directory","HEARTBEAT_20260705.md","1","1156","Package file count by top-level directory, excluding SHA256SUMS.txt."
"PAN-TURKIC-BODY-PRESENCE-20260706","top_level_directory","LOGBOOK_EXCERPT.md","1","2109","Package file count by top-level directory, excluding SHA256SUMS.txt."
"PAN-TURKIC-BODY-PRESENCE-20260706","top_level_directory","MANIFEST.csv","1","416567","Package file count by top-level directory, excluding SHA256SUMS.txt."
"PAN-TURKIC-BODY-PRESENCE-20260706","top_level_directory","ocr-witnesses","24","4510474","Package file count by top-level directory, excluding SHA256SUMS.txt."
"PAN-TURKIC-BODY-PRESENCE-20260706","top_level_directory","pointer-only","2","1348825","Package file count by top-level directory, excluding SHA256SUMS.txt."
"PAN-TURKIC-BODY-PRESENCE-20260706","top_level_directory","README.md","1","6141","Package file count by top-level directory, excluding SHA256SUMS.txt."
"PAN-TURKIC-BODY-PRESENCE-20260706","top_level_directory","SESSION_LOGBOOK_20260705.md","1","29728","Package file count by top-level directory, excluding SHA256SUMS.txt."
"PAN-TURKIC-BODY-PRESENCE-20260706","top_level_directory","SOURCE_USE_LABELS.csv","1","1222","Package file count by top-level directory, excluding SHA256SUMS.txt."
"PAN-TURKIC-BODY-PRESENCE-20260706","top_level_directory","source-rescribe-workpass","26","2729627","Package file count by top-level directory, excluding SHA256SUMS.txt."
"PAN-TURKIC-BODY-PRESENCE-20260706","manifest_included_rows_by_language","Azerbaijani [az]","20","11935835","Included MANIFEST.csv rows by language/source lane at audit start."
"PAN-TURKIC-BODY-PRESENCE-20260706","manifest_included_rows_by_language","Bashkir [ba]","18","612127","Included MANIFEST.csv rows by language/source lane at audit start."
"PAN-TURKIC-BODY-PRESENCE-20260706","manifest_included_rows_by_language","Kazakh [kk]","21","2928630","Included MANIFEST.csv rows by language/source lane at audit start."
"PAN-TURKIC-BODY-PRESENCE-20260706","manifest_included_rows_by_language","Kyrgyz [ky]","13","24215684","Included MANIFEST.csv rows by language/source lane at audit start."
"PAN-TURKIC-BODY-PRESENCE-20260706","manifest_included_rows_by_language","Turkmen [tk]","21","2931132","Included MANIFEST.csv rows by language/source lane at audit start."
