"language","bcp47","branch","lexeme_id","searched_forms","occurrence_count","body_count_for_language","blocker_or_gate_status","zero_row_or_gap","best_source_anchor","best_source_snippet","next_recovery_action","non_claim_boundary"
"Azerbaijani","az","Oghuz","L-NOETHERIAN-RING","Noether | Nöter | Neter","4","20",,"False","bodies/az/prior-retry/azerbaijani_wikisun_module_riyaziyyat.html:276","...əfindən halqaların ideallarını öyrənmək üçün təqdim edilmişdir. Daha sonra Emmy Noether bu sahəyə əsaslı töhfələr verərək modul nəzəriyyəsinin formallaşdırılmasında böyük rol oynamışdır. Bu konsept XX əsrdə homoloji cəbr...",,"generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Azerbaijani","az","Oghuz","L-POLYNOMIAL-RING","çoxhədli halqa | coxhedli halqa","1","20",,"False","bodies/az/wikitext-20260629T101500Z/Matrix (mathematics)__Matris.wiki:750","...edir.<ref>{{Harvnb|Association for Computing Machinery|1979|loc=Fəsil 7}}</ref> Çoxhədli halqası üzərindəki matrislər idarəetmə nəzəriyyəsinin öyrənilməsində mühüm əhəmiyyət kəsb edir.",,"generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Bashkir","ba","Kipchak","L-NOETHERIAN-RING","Нётер | Noether","2","18",,"False","bodies/ba/wikitext-20260629T101500Z/Ring (mathematics)__Ҡулса (математика).wiki:184","* [[Нётер ҡулсаһы]]",,"generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Bashkir","ba","Kipchak","L-POLYNOMIAL-RING","күпбыуын ҡулса","0","18",,"True","","",,"generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Kazakh","kk","Kipchak","L-NOETHERIAN-RING","Нётер | Нетер | Нётер сақинасы | Нетер сақинасы | Нётер сақина | Нетер сақина | Noether","120","21",,"False","bodies/kk/current-web-hard-row-20260705/KK-WEB-20260705_wikipedia_emmi_noether.html:600","...ef=""//kk.wikipedia.org/wiki/«Нетер_сақинасы»?action=edit&amp;redlink=1"" title=""«Нетер сақинасы» (мұндай бет жоқ)"" class=""new"" typeof=""mw:LocalizedAttrs"" id=""mwDQ"" data-mw-i18n='{""title"":{""lang"":""x-page"",""key"":""red-link-t...",,"generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Kazakh","kk","Kipchak","L-POLYNOMIAL-RING","көпмүшелік сақина","3","21",,"False","bodies/kk/current-web-hard-row-20260705/KK-WEB-20260705_univision_606140.html:328","...әне матрицалық көбейту әдісімен шешу. Кронекер-Капелли Теоремасы. Көпмүшелік сақина. Көпмүшелердің қалдықпен бөлінуі. Евклид Алгоритмі. Векторлардағы сызықтық операциялар. Векторлардың скалярлық, векторлық, аралас көбейт...",,"generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Kyrgyz","ky","Kipchak","L-NOETHERIAN-RING","Нётер | Noether","0","13",,"True","","",,"generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Kyrgyz","ky","Kipchak","L-POLYNOMIAL-RING","көп мүчө шакек | көп мүчөлөр шакеги","0","13",,"True","","",,"generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Tatar","tt","Kipchak","L-NOETHERIAN-RING","Нётер | Noether","0","19",,"True","","",,"generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"Tatar","tt","Kipchak","L-POLYNOMIAL-RING","күпбуын боҗра | күпбуыннар боҗрасы","0","19",,"True","","",,"generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
