"source","language","bcp47","hard_row","status","recovery_or_gap","non_claim_boundary"
"branch_c3e7_remaining_gate","Bashkir","ba","L-POLYNOMIAL-RING","source-canon-insufficient/source-acquisition-gap","continue source-body acquisition for exact target-language row; do not compose from neighboring forms","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"branch_c3e7_remaining_gate","Kyrgyz","ky","L-NOETHERIAN-RING","source-canon-insufficient/source-acquisition-gap","continue source-body acquisition for exact target-language row; do not compose from neighboring forms","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"branch_c3e7_remaining_gate","Kyrgyz","ky","L-POLYNOMIAL-RING","source-canon-insufficient/source-acquisition-gap","continue source-body acquisition for exact target-language row; do not compose from neighboring forms","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"branch_c3e7_remaining_gate","Tatar","tt","L-NOETHERIAN-RING","source-canon-insufficient/source-acquisition-gap","continue source-body acquisition for exact target-language row; do not compose from neighboring forms","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"branch_c3e7_remaining_gate","Tatar","tt","L-POLYNOMIAL-RING","source-canon-insufficient/source-acquisition-gap","continue source-body acquisition for exact target-language row; do not compose from neighboring forms","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"branch_c3e7_remaining_gate","Turkmen","tk","L-NOETHERIAN-RING","source-canon-insufficient/source-acquisition-gap","continue source-body acquisition for exact target-language row; do not compose from neighboring forms","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"branch_c3e7_remaining_gate","Turkmen","tk","L-POLYNOMIAL-RING","source-canon-insufficient/source-acquisition-gap","continue source-body acquisition for exact target-language row; do not compose from neighboring forms","generated-draft/non-canonical sufficiency transition and scoped draft support; no native review, canonical approval, accepted terminology, blanket license clearance, gate promotion, bridge/pilot, source-certified/final status, or translation-completion claim"
"local_post_c3e7_recovery","Bashkir","ba","L-POLYNOMIAL-RING","source-gated support recovered; no promotion; other zero-row blockers remain","exact local source rows found / Ring wiki line 133; DirectWiki commutative ring line 11","generated-draft/source-canon recovery only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation-completion claim"
"local_post_c3e7_recovery","Kyrgyz","ky","L-NOETHERIAN-RING","source-acquisition gap","no exact source body / No local/current-web exact Kyrgyz Noetherian-ring row found","generated-draft/source-canon recovery only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation-completion claim"
"local_post_c3e7_recovery","Kyrgyz","ky","L-POLYNOMIAL-RING","source-acquisition gap","ring-neighborhood PDF body acquired but no exact polynomial-ring row / Kyrgyz PDF contains фактор-шакек/идеал/полином neighbor terms only; no көп мүчө шакек row","generated-draft/source-canon recovery only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation-completion claim"
"local_post_c3e7_recovery","Tatar","tt","L-NOETHERIAN-RING","source-acquisition gap","no exact source body / Searches for Нётер/Нетер боҗрасы returned no exact source body","generated-draft/source-canon recovery only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation-completion claim"
"local_post_c3e7_recovery","Tatar","tt","L-POLYNOMIAL-RING","source-acquisition gap","no exact source body / Searches for күпбуын боҗра / күпбуыннар боҗрасы returned no exact source body","generated-draft/source-canon recovery only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation-completion claim"
"local_post_c3e7_recovery","Turkmen","tk","L-NOETHERIAN-RING","source-acquisition gap","no exact source body / Searches for Noether/Nöter/Noeter halkasy returned no exact source body","generated-draft/source-canon recovery only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation-completion claim"
"local_post_c3e7_recovery","Turkmen","tk","L-POLYNOMIAL-RING","source-acquisition gap","no exact source body / Searches for köpagza/kopagza halkasy returned no exact source body","generated-draft/source-canon recovery only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation-completion claim"
