"drift_type","package_relative_path","branch_sha256","local_sha256","local_source_use_label","local_hard_row_relevance","route","non_claim_boundary"
"local_extra_manifest_row","bodies\ky\current-web-hard-row-20260706\KY-WEB-20260706_igu_abylasynova_glossary.pdf","","b0b8598d54a90fe8833b2143e201e131e6a4dcb8037d0482731d068ee4e58209","native-source-body","Kyrgyz ring-neighborhood source witness only; not Noetherian-ring or polynomial-ring closure.","B3 should package if accepting post-c3e7 local recovery drift; language lane must not push.","drift audit only; no bridge/pilot/term/review/license/gate/source-certification/final/translation-completion claim"
"local_extra_manifest_row","generated-draft\source-recovery\PAN_TURKIC_BLOCKER_RECOVERY_README_20260706.md","","b9c7973f54cb8c393965e8efc98c38ae5ddc29d5582b12de7cd89ef94295d96f","audit-ledger","Documents exact Bashkir recovery and remaining Kyrgyz/Tatar/Turkmen zero-row blocker searches.","B3 should package if accepting post-c3e7 local recovery drift; language lane must not push.","drift audit only; no bridge/pilot/term/review/license/gate/source-certification/final/translation-completion claim"
"local_extra_manifest_row","generated-draft\source-recovery\PAN_TURKIC_BLOCKER_RECOVERY_SEARCH_ATTEMPTS_20260706.csv","","a820213dd23a02d9c74d6b27b33517ed9aea1d6767d2b75eeed6c154b2844a00","audit-ledger","Documents exact Bashkir recovery and remaining Kyrgyz/Tatar/Turkmen zero-row blocker searches.","B3 should package if accepting post-c3e7 local recovery drift; language lane must not push.","drift audit only; no bridge/pilot/term/review/license/gate/source-certification/final/translation-completion claim"
"local_extra_manifest_row","generated-draft\source-recovery\PAN_TURKIC_BLOCKER_RECOVERY_WITNESSES_20260706.csv","","c335540535cdd7cf83abe277c69bf8fef25f2ea9688334ebddb76a1a75ff8cd1","audit-ledger","Documents exact Bashkir recovery and remaining Kyrgyz/Tatar/Turkmen zero-row blocker searches.","B3 should package if accepting post-c3e7 local recovery drift; language lane must not push.","drift audit only; no bridge/pilot/term/review/license/gate/source-certification/final/translation-completion claim"
"local_extra_manifest_row","generated-draft\source-recovery\PAN_TURKIC_ZERO_ROW_BLOCKER_PACKAGE_20260706.csv","","41972994d9427bc33c6e183e9c4502bd82551dc3cb32f01645fb71fc69d1b7ed","audit-ledger","Documents exact Bashkir recovery and remaining Kyrgyz/Tatar/Turkmen zero-row blocker searches.","B3 should package if accepting post-c3e7 local recovery drift; language lane must not push.","drift audit only; no bridge/pilot/term/review/license/gate/source-certification/final/translation-completion claim"
"local_extra_manifest_row","ocr-witnesses\ky\current-web-hard-row-20260706\KY-WEB-20260706_igu_abylasynova_glossary_pdf.txt","","7b2aa16484b6ad79ef5bec51da3501f5079367b625da44bf97468422d27e8e95","OCR-witness","Kyrgyz ring-neighborhood source witness only; not Noetherian-ring or polynomial-ring closure.","B3 should package if accepting post-c3e7 local recovery drift; language lane must not push.","drift audit only; no bridge/pilot/term/review/license/gate/source-certification/final/translation-completion claim"
"local_extra_manifest_row","ocr-witnesses\ky\current-web-hard-row-20260706\KY-WEB-20260706_igu_abylasynova_glossary_tesseract-rus-eng.txt","","751640d2b489e834fbeab4edb4889d48b0e5e875f634020fb7263981520c8eae","OCR-witness","Kyrgyz ring-neighborhood source witness only; not Noetherian-ring or polynomial-ring closure.","B3 should package if accepting post-c3e7 local recovery drift; language lane must not push.","drift audit only; no bridge/pilot/term/review/license/gate/source-certification/final/translation-completion claim"
"same_manifest_path_different_sha","ACTIVE_SESSION_STATE.md","9e4aaf77fd183b101832f579e82eded849020933236e2f5fbc23ef9735e534a7","5b64b9a0c4ef80549c986caa4857bd9a8b1ae0ef32aac3b3562136e165bda088","method-note","continuation state after forced-wake transfer refresh","B3 should review changed local state against branch c3e7 before packaging.","drift audit only"
"same_manifest_path_different_sha","HEARTBEAT_20260705.md","9a0d386106f9e7d0a297a467daee37f826513c29cbce11d4e18d774790a3112e","81bd86b411f29e3aa9c60da27ce653b82333042cf3e476a46db69a004c22c134","method-note","single current heartbeat with exact forced-wake pursued goal","B3 should review changed local state against branch c3e7 before packaging.","drift audit only"
"same_manifest_path_different_sha","SESSION_LOGBOOK_20260705.md","5406690ac62070e8a82aecd63118dc9120559e868efa5d8daddfd002d13c7b32","c92d5c6d1fa44deec3c48dc7cab05a330186d791bac39a7e55c2fd9bdeb40f2b","method-note","durable chronology with exact forced-wake pursued goal","B3 should review changed local state against branch c3e7 before packaging.","drift audit only"
