occurrence_id	tombstone_id	nested_member_path	original_bytes	original_sha256	derivative_bytes	derivative_sha256
O01	T01	DELIGNE_D025_MAINTENANCE_FULL_STATE.zip!/inherited_zero_accepted/RETURNED__DELIGNE_D025_SUPERCUSPIDAL_CHARACTER_SUPPORT_S01_CUMULATIVE_FULL_STATE.zip!/audit/S01_COLD_AUDIT_COMMANDS.txt	829	91E5962ADA2C3E05A568693CBECB3798CF0729808B1C51461F737F953CC1216B	844	1DC7317215B9F6B83D2BC93725994FED4F1A0E4053E1F48913EE3E4D9DE576DE
O02	T02	DELIGNE_D025_MAINTENANCE_FULL_STATE.zip!/inherited_zero_accepted/RETURNED__DELIGNE_D025_SUPERCUSPIDAL_CHARACTER_SUPPORT_S01_CUMULATIVE_FULL_STATE.zip!/salvage/30_ZERO_ACCEPTED_PRIOR_WORK_DELIGNE_D025.zip!/zenodo_record_21803336/current_delta/CONTROL_D010-D025.zip!/D010_ID.md	4189	76ED10121E1B9D114D56612E7B9DEB4CDDC30A813C19932FC80877B30BDD9252	4198	B0BD036EF3FC8DBB7B1EF8F9B675ED2C17B4529E6CB67708BDE881684A3547D0
O03	T03	DELIGNE_D025_MAINTENANCE_FULL_STATE.zip!/inherited_zero_accepted/RETURNED__DELIGNE_D025_SUPERCUSPIDAL_CHARACTER_SUPPORT_S01_CUMULATIVE_FULL_STATE.zip!/salvage/30_ZERO_ACCEPTED_PRIOR_WORK_DELIGNE_D025.zip!/zenodo_record_21803336/current_delta/CONTROL_D010-D025.zip!/D011_ID.md	3847	7385BFFDC097C54D08BAF428D00E558DF4F16B6632CFBC5C27316C039664546D	3865	C42BCE72242EEC741109AF1E65A88CDD01EE06120B83F97CC0F99F962710F9DF
O04	T04	DELIGNE_D025_MAINTENANCE_FULL_STATE.zip!/inherited_zero_accepted/RETURNED__DELIGNE_D025_SUPERCUSPIDAL_CHARACTER_SUPPORT_S01_CUMULATIVE_FULL_STATE.zip!/salvage/30_ZERO_ACCEPTED_PRIOR_WORK_DELIGNE_D025.zip!/zenodo_record_21803336/current_delta/CONTROL_D010-D025.zip!/D012_ID.md	3870	44A4CA23402BDAB069B0A381034B76F4915E03DD61445B3530C9D898FA404ED1	3888	C5CD4585E80A61669C168729EEB4364B8A7D62870BEF062AEA731F4AC476AB6B
O05	T05	DELIGNE_D025_MAINTENANCE_FULL_STATE.zip!/inherited_zero_accepted/RETURNED__DELIGNE_D025_SUPERCUSPIDAL_CHARACTER_SUPPORT_S01_CUMULATIVE_FULL_STATE.zip!/salvage/30_ZERO_ACCEPTED_PRIOR_WORK_DELIGNE_D025.zip!/zenodo_record_21803336/current_delta/CONTROL_D010-D025.zip!/D013_ID.md	3963	719EEC436CC131108F490B1DAAA80B06BDF00B77FD3705A15C828F585BE3983B	3981	9610BFC30D8BCECEC96CC043815190F152A75999637E1170017DD0428532E994
O06	T06	DELIGNE_D025_MAINTENANCE_FULL_STATE.zip!/inherited_zero_accepted/RETURNED__DELIGNE_D025_SUPERCUSPIDAL_CHARACTER_SUPPORT_S01_CUMULATIVE_FULL_STATE.zip!/salvage/30_ZERO_ACCEPTED_PRIOR_WORK_DELIGNE_D025.zip!/zenodo_record_21803336/current_delta/CONTROL_D010-D025.zip!/D014_ID.md	3946	562026B77D6E377DE5894E5224AEB756AAF0C2DB460003E61D656A8E01BC9A0D	3964	44B562F140926E7397E821DA99EC172AD1F040306075FA3A0F40A4E7EE8A22DC
O07	T07	DELIGNE_D025_MAINTENANCE_FULL_STATE.zip!/inherited_zero_accepted/RETURNED__DELIGNE_D025_SUPERCUSPIDAL_CHARACTER_SUPPORT_S01_CUMULATIVE_FULL_STATE.zip!/salvage/30_ZERO_ACCEPTED_PRIOR_WORK_DELIGNE_D025.zip!/zenodo_record_21803336/current_delta/CONTROL_D010-D025.zip!/D015_ID.md	3653	D03F237605EA5F13ED34A8BD9C2C3576FFA0033F74C524E006C67EB170F38319	3671	8A9192DC39160CDF4CA7EED2121C2EE22F154FA582C011F26F96AB4897589AE8
O08	T08	DELIGNE_D025_MAINTENANCE_FULL_STATE.zip!/inherited_zero_accepted/RETURNED__DELIGNE_D025_SUPERCUSPIDAL_CHARACTER_SUPPORT_S01_CUMULATIVE_FULL_STATE.zip!/salvage/30_ZERO_ACCEPTED_PRIOR_WORK_DELIGNE_D025.zip!/zenodo_record_21803336/current_delta/CONTROL_D010-D025.zip!/D016_ID.md	4111	55C0AB9FF71B42DA1C6ABD6648F5CD44B3C6CC90E7CAEC5C08563921A3295244	4129	E33D88008C87AC09A9A6A08FC0079DFF49F61B868D54603FA9E0C513E2BB7368
O09	T09	DELIGNE_D025_MAINTENANCE_FULL_STATE.zip!/inherited_zero_accepted/RETURNED__DELIGNE_D025_SUPERCUSPIDAL_CHARACTER_SUPPORT_S01_CUMULATIVE_FULL_STATE.zip!/salvage/30_ZERO_ACCEPTED_PRIOR_WORK_DELIGNE_D025.zip!/zenodo_record_21803336/current_delta/CONTROL_D010-D025.zip!/D017_ID.md	4415	DD6703644CE0B53C70EEF0B9F73C22BF9C96612A1E392C4C6006CC729369CE0C	4433	319EFDD6663757667FF6C916A1218CCD093C70300454DFBAC0BFB925D733EC40
O10	T10	DELIGNE_D025_MAINTENANCE_FULL_STATE.zip!/inherited_zero_accepted/RETURNED__DELIGNE_D025_SUPERCUSPIDAL_CHARACTER_SUPPORT_S01_CUMULATIVE_FULL_STATE.zip!/salvage/30_ZERO_ACCEPTED_PRIOR_WORK_DELIGNE_D025.zip!/zenodo_record_21803336/current_delta/CONTROL_D010-D025.zip!/D018_ID.md	6295	68A5D9E06C77971C046175072A6FA9D047F18B77221780C6D34FEFCF76336341	6322	00C1950FF1E9103237B4EEC8FD9D3947C23EFD19C5EA2A40AEDE888A18253B7D
O11	T11	DELIGNE_D025_MAINTENANCE_FULL_STATE.zip!/inherited_zero_accepted/RETURNED__DELIGNE_D025_SUPERCUSPIDAL_CHARACTER_SUPPORT_S01_CUMULATIVE_FULL_STATE.zip!/salvage/30_ZERO_ACCEPTED_PRIOR_WORK_DELIGNE_D025.zip!/zenodo_record_21803336/current_delta/CONTROL_D010-D025.zip!/D019_ID.md	6256	2E5ADA23FD61F4E5D733512436B09675CD8BB413DA3E78746437255090E79870	6283	1B17BCC2E24810CB67FD43BECC370EFD20AB06BC190D3990D741F2E93478673E
O12	T12	DELIGNE_D025_MAINTENANCE_FULL_STATE.zip!/inherited_zero_accepted/RETURNED__DELIGNE_D025_SUPERCUSPIDAL_CHARACTER_SUPPORT_S01_CUMULATIVE_FULL_STATE.zip!/salvage/30_ZERO_ACCEPTED_PRIOR_WORK_DELIGNE_D025.zip!/zenodo_record_21803336/current_delta/CONTROL_D010-D025.zip!/D020_ID.md	7128	F7281A0D03B726B4A406CA4C305BD6A4B752A83823BA90B38FDD3F1CC32E1E5C	7164	2A187581F2C485CE4880EB2346FFD2C5BD9D5B02C8D8CC91A858C1C84EC582F1
O13	T13	DELIGNE_D025_MAINTENANCE_FULL_STATE.zip!/inherited_zero_accepted/RETURNED__DELIGNE_D025_SUPERCUSPIDAL_CHARACTER_SUPPORT_S01_CUMULATIVE_FULL_STATE.zip!/salvage/30_ZERO_ACCEPTED_PRIOR_WORK_DELIGNE_D025.zip!/zenodo_record_21803336/current_delta/CONTROL_D010-D025.zip!/D021_ID.md	7469	5CBD2CC8DE7C0D73A54B2FD06A13A12EA8899E4715224F8EE10FC5A29BBB619C	7496	B215737B3F4456915E88574B86F22567F8CB707C1B03B2F2AD2B0B16E732E742
O14	T14	DELIGNE_D025_MAINTENANCE_FULL_STATE.zip!/inherited_zero_accepted/RETURNED__DELIGNE_D025_SUPERCUSPIDAL_CHARACTER_SUPPORT_S01_CUMULATIVE_FULL_STATE.zip!/salvage/30_ZERO_ACCEPTED_PRIOR_WORK_DELIGNE_D025.zip!/zenodo_record_21803336/current_delta/CONTROL_D010-D025.zip!/D022_ID.md	7771	0DFFB8C22F72018BD3B2D10BF3132B83B36A0D4EFAD4E6BDAC35C1B300AB04BF	7798	FB7B6712480A3AE19586BC7AB6997BD95D8599D69E586C4F3D09EB5462E444F0
O15	T15	DELIGNE_D025_MAINTENANCE_FULL_STATE.zip!/inherited_zero_accepted/RETURNED__DELIGNE_D025_SUPERCUSPIDAL_CHARACTER_SUPPORT_S01_CUMULATIVE_FULL_STATE.zip!/salvage/30_ZERO_ACCEPTED_PRIOR_WORK_DELIGNE_D025.zip!/zenodo_record_21803336/current_delta/CONTROL_D010-D025.zip!/D023_ID.md	6105	21504BA13549F5D7FDB13A020CDBA6A2CAABDDDEACB01BB37AC9C3550AA3F933	6132	C086EA320EEB434881EACC045936478BACB11329352EFF4155EF6B99F1B6ADFE
