formula_id	authority_page	check	result
F01	1	Jordan decomposition g=su=us and multiplicative/unipotent closures	PASS
F02	1	s in <g>_m(bar k)=Hom(X,bar k*)	PASS
F03	1	nv(X) subset Z; nv(x):X to Z; m_g:G_m to <g>_m	PASS
F04	1	degree-d generalized eigenspaces satisfy nv(alpha)=d	PASS
F05	1	m_g(lambda)x m_g(lambda)^-1 extension and both limits	PASS
F06	1	Lie P_g+ and Lie U_g+ valuation inequalities	PASS
F07	1	P_g-=P_(g^-1)+; m_(g^-1)=(m_g)^-1; M_g=P_g+ intersection P_g-	PASS
F08	2	rho(K)=_(dfn)rho([K]); independently corrected from inherited d_H reading	PASS
F09	2	theorem support tau^-1(G_c^ad)	PASS
F10	2	condition (1) local coordinates	PASS
F11	2	conditions (2), (3), and (3') with all signs and inverses	PASS
F12	2	G_i=alpha(pi^i L); conditions (4)-(5) and all gi subscripts	PASS
F13	2	U_g+ x M_g x U_g- big-cell map	PASS
F14	2	dg=lambda(m) du+ dm du-	PASS
F15	2	[G_i]=[U_gi+] star [M_gi] star [U_gi-]	PASS
F16	2	four-line convolution/distribution calculation	PASS
F17	3	nilpotence identity (rho(G_i)rho(g)rho(G_i))^N=rho(G_i)rho(g^N)rho(G_i)=0	PASS
F18	3	Theta(g'[G_i])=Theta([G_i]g'[G_i])=Tr(rho(G_i)rho(g')rho(G_i))=0	PASS
F19	3	Remark 1 support images in G^ad and G_c^ad	PASS
F20	3	character note trace integral Tr(int phi(g)rho(g) dg)	PASS
