row_id	canonical_nested_member_path	original_bytes	original_sha256	sensitivity_class	profile_prefix_occurrences_per_copy	account_occurrences_per_copy	physical_occurrence_count	action	derivative_bytes	derivative_sha256	tombstone_status
T01	DELIGNE_D025_MAINTENANCE_FULL_STATE.zip!/inherited_zero_accepted/RETURNED__DELIGNE_D025_SUPERCUSPIDAL_CHARACTER_SUPPORT_S01_CUMULATIVE_FULL_STATE.zip!/audit/S01_COLD_AUDIT_COMMANDS.txt	829	91E5962ADA2C3E05A568693CBECB3798CF0729808B1C51461F737F953CC1216B	LOCAL_PROFILE_PATH_AND_ACCOUNT	1	1	1	SANITIZED_DERIVATIVE; RAW_BYTES_RETAINED_LOCAL_ONLY	844	1DC7317215B9F6B83D2BC93725994FED4F1A0E4053E1F48913EE3E4D9DE576DE	ORIGINAL_IDENTITY_RECORDED; ORIGINAL_CONTENT_NOT_PUBLICLY_EMBEDDED
T02	DELIGNE_D025_MAINTENANCE_FULL_STATE.zip!/inherited_zero_accepted/RETURNED__DELIGNE_D025_SUPERCUSPIDAL_CHARACTER_SUPPORT_S01_CUMULATIVE_FULL_STATE.zip!/salvage/30_ZERO_ACCEPTED_PRIOR_WORK_DELIGNE_D025.zip!/zenodo_record_21803336/current_delta/CONTROL_D010-D025.zip!/D010_ID.md	4189	76ED10121E1B9D114D56612E7B9DEB4CDDC30A813C19932FC80877B30BDD9252	LOCAL_PROFILE_PATH_AND_ACCOUNT	1	1	2	SANITIZED_DERIVATIVE; RAW_BYTES_RETAINED_LOCAL_ONLY	4198	B0BD036EF3FC8DBB7B1EF8F9B675ED2C17B4529E6CB67708BDE881684A3547D0	ORIGINAL_IDENTITY_RECORDED; ORIGINAL_CONTENT_NOT_PUBLICLY_EMBEDDED
T03	DELIGNE_D025_MAINTENANCE_FULL_STATE.zip!/inherited_zero_accepted/RETURNED__DELIGNE_D025_SUPERCUSPIDAL_CHARACTER_SUPPORT_S01_CUMULATIVE_FULL_STATE.zip!/salvage/30_ZERO_ACCEPTED_PRIOR_WORK_DELIGNE_D025.zip!/zenodo_record_21803336/current_delta/CONTROL_D010-D025.zip!/D011_ID.md	3847	7385BFFDC097C54D08BAF428D00E558DF4F16B6632CFBC5C27316C039664546D	LOCAL_PROFILE_PATH_AND_ACCOUNT	2	2	2	SANITIZED_DERIVATIVE; RAW_BYTES_RETAINED_LOCAL_ONLY	3865	C42BCE72242EEC741109AF1E65A88CDD01EE06120B83F97CC0F99F962710F9DF	ORIGINAL_IDENTITY_RECORDED; ORIGINAL_CONTENT_NOT_PUBLICLY_EMBEDDED
T04	DELIGNE_D025_MAINTENANCE_FULL_STATE.zip!/inherited_zero_accepted/RETURNED__DELIGNE_D025_SUPERCUSPIDAL_CHARACTER_SUPPORT_S01_CUMULATIVE_FULL_STATE.zip!/salvage/30_ZERO_ACCEPTED_PRIOR_WORK_DELIGNE_D025.zip!/zenodo_record_21803336/current_delta/CONTROL_D010-D025.zip!/D012_ID.md	3870	44A4CA23402BDAB069B0A381034B76F4915E03DD61445B3530C9D898FA404ED1	LOCAL_PROFILE_PATH_AND_ACCOUNT	2	2	2	SANITIZED_DERIVATIVE; RAW_BYTES_RETAINED_LOCAL_ONLY	3888	C5CD4585E80A61669C168729EEB4364B8A7D62870BEF062AEA731F4AC476AB6B	ORIGINAL_IDENTITY_RECORDED; ORIGINAL_CONTENT_NOT_PUBLICLY_EMBEDDED
T05	DELIGNE_D025_MAINTENANCE_FULL_STATE.zip!/inherited_zero_accepted/RETURNED__DELIGNE_D025_SUPERCUSPIDAL_CHARACTER_SUPPORT_S01_CUMULATIVE_FULL_STATE.zip!/salvage/30_ZERO_ACCEPTED_PRIOR_WORK_DELIGNE_D025.zip!/zenodo_record_21803336/current_delta/CONTROL_D010-D025.zip!/D013_ID.md	3963	719EEC436CC131108F490B1DAAA80B06BDF00B77FD3705A15C828F585BE3983B	LOCAL_PROFILE_PATH_AND_ACCOUNT	2	2	2	SANITIZED_DERIVATIVE; RAW_BYTES_RETAINED_LOCAL_ONLY	3981	9610BFC30D8BCECEC96CC043815190F152A75999637E1170017DD0428532E994	ORIGINAL_IDENTITY_RECORDED; ORIGINAL_CONTENT_NOT_PUBLICLY_EMBEDDED
T06	DELIGNE_D025_MAINTENANCE_FULL_STATE.zip!/inherited_zero_accepted/RETURNED__DELIGNE_D025_SUPERCUSPIDAL_CHARACTER_SUPPORT_S01_CUMULATIVE_FULL_STATE.zip!/salvage/30_ZERO_ACCEPTED_PRIOR_WORK_DELIGNE_D025.zip!/zenodo_record_21803336/current_delta/CONTROL_D010-D025.zip!/D014_ID.md	3946	562026B77D6E377DE5894E5224AEB756AAF0C2DB460003E61D656A8E01BC9A0D	LOCAL_PROFILE_PATH_AND_ACCOUNT	2	2	2	SANITIZED_DERIVATIVE; RAW_BYTES_RETAINED_LOCAL_ONLY	3964	44B562F140926E7397E821DA99EC172AD1F040306075FA3A0F40A4E7EE8A22DC	ORIGINAL_IDENTITY_RECORDED; ORIGINAL_CONTENT_NOT_PUBLICLY_EMBEDDED
T07	DELIGNE_D025_MAINTENANCE_FULL_STATE.zip!/inherited_zero_accepted/RETURNED__DELIGNE_D025_SUPERCUSPIDAL_CHARACTER_SUPPORT_S01_CUMULATIVE_FULL_STATE.zip!/salvage/30_ZERO_ACCEPTED_PRIOR_WORK_DELIGNE_D025.zip!/zenodo_record_21803336/current_delta/CONTROL_D010-D025.zip!/D015_ID.md	3653	D03F237605EA5F13ED34A8BD9C2C3576FFA0033F74C524E006C67EB170F38319	LOCAL_PROFILE_PATH_AND_ACCOUNT	2	2	2	SANITIZED_DERIVATIVE; RAW_BYTES_RETAINED_LOCAL_ONLY	3671	8A9192DC39160CDF4CA7EED2121C2EE22F154FA582C011F26F96AB4897589AE8	ORIGINAL_IDENTITY_RECORDED; ORIGINAL_CONTENT_NOT_PUBLICLY_EMBEDDED
T08	DELIGNE_D025_MAINTENANCE_FULL_STATE.zip!/inherited_zero_accepted/RETURNED__DELIGNE_D025_SUPERCUSPIDAL_CHARACTER_SUPPORT_S01_CUMULATIVE_FULL_STATE.zip!/salvage/30_ZERO_ACCEPTED_PRIOR_WORK_DELIGNE_D025.zip!/zenodo_record_21803336/current_delta/CONTROL_D010-D025.zip!/D016_ID.md	4111	55C0AB9FF71B42DA1C6ABD6648F5CD44B3C6CC90E7CAEC5C08563921A3295244	LOCAL_PROFILE_PATH_AND_ACCOUNT	2	2	2	SANITIZED_DERIVATIVE; RAW_BYTES_RETAINED_LOCAL_ONLY	4129	E33D88008C87AC09A9A6A08FC0079DFF49F61B868D54603FA9E0C513E2BB7368	ORIGINAL_IDENTITY_RECORDED; ORIGINAL_CONTENT_NOT_PUBLICLY_EMBEDDED
T09	DELIGNE_D025_MAINTENANCE_FULL_STATE.zip!/inherited_zero_accepted/RETURNED__DELIGNE_D025_SUPERCUSPIDAL_CHARACTER_SUPPORT_S01_CUMULATIVE_FULL_STATE.zip!/salvage/30_ZERO_ACCEPTED_PRIOR_WORK_DELIGNE_D025.zip!/zenodo_record_21803336/current_delta/CONTROL_D010-D025.zip!/D017_ID.md	4415	DD6703644CE0B53C70EEF0B9F73C22BF9C96612A1E392C4C6006CC729369CE0C	LOCAL_PROFILE_PATH_AND_ACCOUNT	2	2	2	SANITIZED_DERIVATIVE; RAW_BYTES_RETAINED_LOCAL_ONLY	4433	319EFDD6663757667FF6C916A1218CCD093C70300454DFBAC0BFB925D733EC40	ORIGINAL_IDENTITY_RECORDED; ORIGINAL_CONTENT_NOT_PUBLICLY_EMBEDDED
T10	DELIGNE_D025_MAINTENANCE_FULL_STATE.zip!/inherited_zero_accepted/RETURNED__DELIGNE_D025_SUPERCUSPIDAL_CHARACTER_SUPPORT_S01_CUMULATIVE_FULL_STATE.zip!/salvage/30_ZERO_ACCEPTED_PRIOR_WORK_DELIGNE_D025.zip!/zenodo_record_21803336/current_delta/CONTROL_D010-D025.zip!/D018_ID.md	6295	68A5D9E06C77971C046175072A6FA9D047F18B77221780C6D34FEFCF76336341	LOCAL_PROFILE_PATH_AND_ACCOUNT	3	3	2	SANITIZED_DERIVATIVE; RAW_BYTES_RETAINED_LOCAL_ONLY	6322	00C1950FF1E9103237B4EEC8FD9D3947C23EFD19C5EA2A40AEDE888A18253B7D	ORIGINAL_IDENTITY_RECORDED; ORIGINAL_CONTENT_NOT_PUBLICLY_EMBEDDED
