"row","status","path","category","r3_effect"
"1","A","coordination/non-slavic-core-7a7576c3-ef53-corrective-source-gate-route-20260706/NON_SLAVIC_CORE_7A7576C3_EF53_CORRECTIVE_SOURCE_GATE_ROUTE_20260706/B3_HANDOFF_READY_7A.md","coordination-non-slavic-source-gate-route","R3 context: parent source-gate routing only; do not merge lanes."
"2","A","coordination/non-slavic-core-7a7576c3-ef53-corrective-source-gate-route-20260706/NON_SLAVIC_CORE_7A7576C3_EF53_CORRECTIVE_SOURCE_GATE_ROUTE_20260706/B3_HANDOFF_SENT_7A.md","coordination-non-slavic-source-gate-route","R3 context: parent source-gate routing only; do not merge lanes."
"3","A","coordination/non-slavic-core-7a7576c3-ef53-corrective-source-gate-route-20260706/NON_SLAVIC_CORE_7A7576C3_EF53_CORRECTIVE_SOURCE_GATE_ROUTE_20260706/B3_HANDOFF_STATUS_7A.json","coordination-non-slavic-source-gate-route","R3 context: parent source-gate routing only; do not merge lanes."
"4","A","coordination/non-slavic-core-7a7576c3-ef53-corrective-source-gate-route-20260706/NON_SLAVIC_CORE_7A7576C3_EF53_CORRECTIVE_SOURCE_GATE_ROUTE_20260706/BRANCH_COMMITS_EF53_TO_7A.csv","coordination-non-slavic-source-gate-route","R3 context: parent source-gate routing only; do not merge lanes."
"5","A","coordination/non-slavic-core-7a7576c3-ef53-corrective-source-gate-route-20260706/NON_SLAVIC_CORE_7A7576C3_EF53_CORRECTIVE_SOURCE_GATE_ROUTE_20260706/BRANCH_COMPARE_CATEGORY_COUNTS_7A.csv","coordination-non-slavic-source-gate-route","R3 context: parent source-gate routing only; do not merge lanes."
"6","A","coordination/non-slavic-core-7a7576c3-ef53-corrective-source-gate-route-20260706/NON_SLAVIC_CORE_7A7576C3_EF53_CORRECTIVE_SOURCE_GATE_ROUTE_20260706/BRANCH_COMPARE_EF53_TO_7A.csv","coordination-non-slavic-source-gate-route","R3 context: parent source-gate routing only; do not merge lanes."
"7","A","coordination/non-slavic-core-7a7576c3-ef53-corrective-source-gate-route-20260706/NON_SLAVIC_CORE_7A7576C3_EF53_CORRECTIVE_SOURCE_GATE_ROUTE_20260706/CHILD_PACKET_ROUTE_SUMMARY_7A.csv","coordination-non-slavic-source-gate-route","R3 context: parent source-gate routing only; do not merge lanes."
"8","A","coordination/non-slavic-core-7a7576c3-ef53-corrective-source-gate-route-20260706/NON_SLAVIC_CORE_7A7576C3_EF53_CORRECTIVE_SOURCE_GATE_ROUTE_20260706/EIGHT_LANE_SOURCE_GATE_QUEUE_7A.csv","coordination-non-slavic-source-gate-route","R3 context: parent source-gate routing only; do not merge lanes."
"9","A","coordination/non-slavic-core-7a7576c3-ef53-corrective-source-gate-route-20260706/NON_SLAVIC_CORE_7A7576C3_EF53_CORRECTIVE_SOURCE_GATE_ROUTE_20260706/EXACT_BLOCKERS_AND_RECOVERY_ROWS_7A.csv","coordination-non-slavic-source-gate-route","R3 context: parent source-gate routing only; do not merge lanes."
"10","A","coordination/non-slavic-core-7a7576c3-ef53-corrective-source-gate-route-20260706/NON_SLAVIC_CORE_7A7576C3_EF53_CORRECTIVE_SOURCE_GATE_ROUTE_20260706/FABLE_SOURCE_USE_ADVERSE_LEDGER_7A.csv","coordination-non-slavic-source-gate-route","R3 context: parent source-gate routing only; do not merge lanes."
