"occurrence_id","policy_id","unit_id","source_tex","source_start_line","source_end_line","printed_start","printed_end","target_file","target_line","target_column","source_form","selected_form","decision_class","rationale","status"
"FAC-EN-NOCC-9FBF3D90A86ABC43","FAC-EN-N0034","FAC-EN-U0001","fac_body.tex","1","115","197","200 partial","english_source_first_workpass/source/components/001_opening_introduction_contents_and_I_1_1_2.tex","13","27","faisceau(x) algebrique(s)","ALGEBRAIC SHEAVES","terminology","standard direct English term for an O_V-module sheaf in Serre sense","active_occurrence"
"FAC-EN-NOCC-EC05CF5C49BC77C6","FAC-EN-N0001","FAC-EN-U0001","fac_body.tex","1","115","197","200 partial","english_source_first_workpass/source/components/001_opening_introduction_contents_and_I_1_1_2.tex","28","316","faisceau(x) coherent(s)","coherent sheaves","terminology","standard modern English algebraic-geometry term","active_occurrence"
"FAC-EN-NOCC-73B19C59FE65E85C","FAC-EN-N0021","FAC-EN-U0001","fac_body.tex","1","115","197","200 partial","english_source_first_workpass/source/components/001_opening_introduction_contents_and_I_1_1_2.tex","28","626","topologie de Zariski","Zariski topology","terminology","standard proper-name terminology","active_occurrence"
"FAC-EN-NOCC-BC946E83412B305E","FAC-EN-N0013","FAC-EN-U0001","fac_body.tex","1","115","197","200 partial","english_source_first_workpass/source/components/001_opening_introduction_contents_and_I_1_1_2.tex","28","666","separe; non separe","Hausdorff","terminology","standard English topological terminology; preserves the source separation property","active_occurrence"
"FAC-EN-NOCC-67276AB96F17CEDE","FAC-EN-N0004","FAC-EN-U0001","fac_body.tex","1","115","197","200 partial","english_source_first_workpass/source/components/001_opening_introduction_contents_and_I_1_1_2.tex","28","950","limite(s) inductive(s)","direct limit","terminology","standard English categorical terminology","active_occurrence"
"FAC-EN-NOCC-EEE390C71E29EF6A","FAC-EN-N0002","FAC-EN-U0001","fac_body.tex","1","115","197","200 partial","english_source_first_workpass/source/components/001_opening_introduction_contents_and_I_1_1_2.tex","28","991","recouvrement(s); plus fin","coverings","terminology","standard Cech-cohomology register and source preorder direction","active_occurrence"
"FAC-EN-NOCC-EE8D5C93BB1D4264","FAC-EN-N0013","FAC-EN-U0001","fac_body.tex","1","115","197","200 partial","english_source_first_workpass/source/components/001_opening_introduction_contents_and_I_1_1_2.tex","28","1039","separe; non separe","non-Hausdorffness","terminology","standard English topological terminology; preserves the source separation property","active_occurrence"
"FAC-EN-NOCC-F44E26B4A08F10A8","FAC-EN-N0021","FAC-EN-U0001","fac_body.tex","1","115","197","200 partial","english_source_first_workpass/source/components/001_opening_introduction_contents_and_I_1_1_2.tex","30","345","topologie de Zariski","Zariski topology","terminology","standard proper-name terminology","active_occurrence"
"FAC-EN-NOCC-D4EAE79688B0095F","FAC-EN-N0018","FAC-EN-U0001","fac_body.tex","1","115","197","200 partial","english_source_first_workpass/source/components/001_opening_introduction_contents_and_I_1_1_2.tex","30","418","faisceau des anneaux locaux","sheaf of local rings","terminology","standard English name for Serre local-ring sheaf","active_occurrence"
"FAC-EN-NOCC-1A03F1EE5AD5576B","FAC-EN-N0034","FAC-EN-U0001","fac_body.tex","1","115","197","200 partial","english_source_first_workpass/source/components/001_opening_introduction_contents_and_I_1_1_2.tex","30","452","faisceau(x) algebrique(s)","algebraic sheaf","terminology","standard direct English term for an O_V-module sheaf in Serre sense","active_occurrence"
"FAC-EN-NOCC-8BEC4328FB8DE943","FAC-EN-N0001","FAC-EN-U0001","fac_body.tex","1","115","197","200 partial","english_source_first_workpass/source/components/001_opening_introduction_contents_and_I_1_1_2.tex","30","508","faisceau(x) coherent(s)","coherent sheaf","terminology","standard modern English algebraic-geometry term","active_occurrence"
"FAC-EN-NOCC-3DF15FC289C867A0","FAC-EN-N0006","FAC-EN-U0001","fac_body.tex","1","115","197","200 partial","english_source_first_workpass/source/components/001_opening_introduction_contents_and_I_1_1_2.tex","30","527","\\mathfrak{A-Z}","\mathcal{O}","typographic_normalization","consistent established English workpass typography; all indices and operations retained","active_occurrence"
"FAC-EN-NOCC-6B3DFEE88ED2E056","FAC-EN-N0006","FAC-EN-U0001","fac_body.tex","1","115","197","200 partial","english_source_first_workpass/source/components/001_opening_introduction_contents_and_I_1_1_2.tex","30","558","\\mathfrak{A-Z}","\mathcal{O}","typographic_normalization","consistent established English workpass typography; all indices and operations retained","active_occurrence"
"FAC-EN-NOCC-6CED0A14926A18B5","FAC-EN-N0018","FAC-EN-U0001","fac_body.tex","1","115","197","200 partial","english_source_first_workpass/source/components/001_opening_introduction_contents_and_I_1_1_2.tex","30","585","faisceau des anneaux locaux","sheaf of local rings","terminology","standard English name for Serre local-ring sheaf","active_occurrence"
"FAC-EN-NOCC-31FFE8A884ECF2A3","FAC-EN-N0034","FAC-EN-U0001","fac_body.tex","1","115","197","200 partial","english_source_first_workpass/source/components/001_opening_introduction_contents_and_I_1_1_2.tex","30","817","faisceau(x) algebrique(s)","algebraic sheaf","terminology","standard direct English term for an O_V-module sheaf in Serre sense","active_occurrence"
"FAC-EN-NOCC-98107D6DDB246560","FAC-EN-N0034","FAC-EN-U0001","fac_body.tex","1","115","197","200 partial","english_source_first_workpass/source/components/001_opening_introduction_contents_and_I_1_1_2.tex","32","152","faisceau(x) algebrique(s)","algebraic sheaves","terminology","standard direct English term for an O_V-module sheaf in Serre sense","active_occurrence"
"FAC-EN-NOCC-36CD1FA5CCC3E18A","FAC-EN-N0034","FAC-EN-U0001","fac_body.tex","1","115","197","200 partial","english_source_first_workpass/source/components/001_opening_introduction_contents_and_I_1_1_2.tex","32","1454","faisceau(x) algebrique(s)","algebraic sheaf","terminology","standard direct English term for an O_V-module sheaf in Serre sense","active_occurrence"
"FAC-EN-NOCC-98DCC98D7B46D2D4","FAC-EN-N0034","FAC-EN-U0001","fac_body.tex","1","115","197","200 partial","english_source_first_workpass/source/components/001_opening_introduction_contents_and_I_1_1_2.tex","34","451","faisceau(x) algebrique(s)","algebraic sheaves","terminology","standard direct English term for an O_V-module sheaf in Serre sense","active_occurrence"
"FAC-EN-NOCC-DA7AF23E2D023122","FAC-EN-N0001","FAC-EN-U0001","fac_body.tex","1","115","197","200 partial","english_source_first_workpass/source/components/001_opening_introduction_contents_and_I_1_1_2.tex","44","15","faisceau(x) coherent(s)","Coherent sheaves","terminology","standard modern English algebraic-geometry term","active_occurrence"
"FAC-EN-NOCC-4A9F11B3D571A7B9","FAC-EN-N0002","FAC-EN-U0001","fac_body.tex","1","115","197","200 partial","english_source_first_workpass/source/components/001_opening_introduction_contents_and_I_1_1_2.tex","48","64","recouvrement(s); plus fin","coverings","terminology","standard Cech-cohomology register and source preorder direction","active_occurrence"
"FAC-EN-NOCC-29DF4E5AFDC5BC7B","FAC-EN-N0034","FAC-EN-U0001","fac_body.tex","1","115","197","200 partial","english_source_first_workpass/source/components/001_opening_introduction_contents_and_I_1_1_2.tex","51","61","faisceau(x) algebrique(s)","algebraic sheaves","terminology","standard direct English term for an O_V-module sheaf in Serre sense","active_occurrence"
"FAC-EN-NOCC-AD74FB948DD60AFF","FAC-EN-N0034","FAC-EN-U0001","fac_body.tex","1","115","197","200 partial","english_source_first_workpass/source/components/001_opening_introduction_contents_and_I_1_1_2.tex","55","24","faisceau(x) algebrique(s)","algebraic sheaves","terminology","standard direct English term for an O_V-module sheaf in Serre sense","active_occurrence"
"FAC-EN-NOCC-A1F5787E153EDAE8","FAC-EN-N0034","FAC-EN-U0001","fac_body.tex","1","115","197","200 partial","english_source_first_workpass/source/components/001_opening_introduction_contents_and_I_1_1_2.tex","57","24","faisceau(x) algebrique(s)","algebraic sheaves","terminology","standard direct English term for an O_V-module sheaf in Serre sense","active_occurrence"
"FAC-EN-NOCC-8AE2DC3EF3D9788C","FAC-EN-N0034","FAC-EN-U0001","fac_body.tex","1","115","197","200 partial","english_source_first_workpass/source/components/001_opening_introduction_contents_and_I_1_1_2.tex","59","78","faisceau(x) algebrique(s)","algebraic sheaves","terminology","standard direct English term for an O_V-module sheaf in Serre sense","active_occurrence"
"FAC-EN-NOCC-F21CC7772C5C5052","FAC-EN-N0034","FAC-EN-U0001","fac_body.tex","1","115","197","200 partial","english_source_first_workpass/source/components/001_opening_introduction_contents_and_I_1_1_2.tex","62","40","faisceau(x) algebrique(s)","algebraic sheaves","terminology","standard direct English term for an O_V-module sheaf in Serre sense","active_occurrence"
"FAC-EN-NOCC-8E8BA57604AA6AA0","FAC-EN-N0034","FAC-EN-U0001","fac_body.tex","1","115","197","200 partial","english_source_first_workpass/source/components/001_opening_introduction_contents_and_I_1_1_2.tex","66","43","faisceau(x) algebrique(s)","algebraic sheaves","terminology","standard direct English term for an O_V-module sheaf in Serre sense","active_occurrence"
"FAC-EN-NOCC-2E26B112BD932625","FAC-EN-N0034","FAC-EN-U0001","fac_body.tex","1","115","197","200 partial","english_source_first_workpass/source/components/001_opening_introduction_contents_and_I_1_1_2.tex","68","78","faisceau(x) algebrique(s)","algebraic sheaf","terminology","standard direct English term for an O_V-module sheaf in Serre sense","active_occurrence"
"FAC-EN-NOCC-988AA7AA9EAEC809","FAC-EN-N0034","FAC-EN-U0001","fac_body.tex","1","115","197","200 partial","english_source_first_workpass/source/components/001_opening_introduction_contents_and_I_1_1_2.tex","72","40","faisceau(x) algebrique(s)","algebraic sheaves","terminology","standard direct English term for an O_V-module sheaf in Serre sense","active_occurrence"
"FAC-EN-NOCC-B05CE4B70EF9A313","FAC-EN-N0008","FAC-EN-U0001","fac_body.tex","1","115","197","200 partial","english_source_first_workpass/source/components/001_opening_introduction_contents_and_I_1_1_2.tex","86","28","\\to in prose element assignment","\mapsto","semantic_typography","distinguishes element assignment from a morphism arrow","active_occurrence"
"FAC-EN-NOCC-7667C5B207A54F02","FAC-EN-N0008","FAC-EN-U0001","fac_body.tex","1","115","197","200 partial","english_source_first_workpass/source/components/001_opening_introduction_contents_and_I_1_1_2.tex","99","25","\\to in prose element assignment","\mapsto","semantic_typography","distinguishes element assignment from a morphism arrow","active_occurrence"
"FAC-EN-NOCC-04C43ACAB8D90AFA","FAC-EN-N0008","FAC-EN-U0001","fac_body.tex","1","115","197","200 partial","english_source_first_workpass/source/components/001_opening_introduction_contents_and_I_1_1_2.tex","99","107","\\to in prose element assignment","\mapsto","semantic_typography","distinguishes element assignment from a morphism arrow","active_occurrence"
"FAC-EN-NOCC-25984D8D59CF4B8D","FAC-EN-N0013","FAC-EN-U0001","fac_body.tex","1","115","197","200 partial","english_source_first_workpass/source/components/001_opening_introduction_contents_and_I_1_1_2.tex","102","30","separe; non separe","Hausdorff","terminology","standard English topological terminology; preserves the source separation property","active_occurrence"
"FAC-EN-NOCC-B867DEEDFAF4143F","FAC-EN-N0013","FAC-EN-U0001","fac_body.tex","1","115","197","200 partial","english_source_first_workpass/source/components/001_opening_introduction_contents_and_I_1_1_2.tex","102","96","separe; non separe","Hausdorff","terminology","standard English topological terminology; preserves the source separation property","active_occurrence"
"FAC-EN-NOCC-AC722DC4D0A204AA","FAC-EN-N0004","FAC-EN-U0001","fac_body.tex","1","115","197","200 partial","english_source_first_workpass/source/components/001_opening_introduction_contents_and_I_1_1_2.tex","111","267","limite(s) inductive(s)","direct limit","terminology","standard English categorical terminology","active_occurrence"
"FAC-EN-NOCC-4F5B169191121E81","FAC-EN-N0003","FAC-EN-U0001","fac_body.tex","1","115","197","200 partial","english_source_first_workpass/source/components/001_opening_introduction_contents_and_I_1_1_2.tex","111","321","filtrant(e); ordonne filtrant","directed","terminology","standard English order/direct-limit terminology","active_occurrence"
"FAC-EN-NOCC-96CAA59229AF603A","FAC-EN-N0004","FAC-EN-U0002","fac_body.tex","116","162","200","201","english_source_first_workpass/source/components/002_I_1_3_construction_of_sheaves.tex","11","58","limite(s) inductive(s)","direct limit","terminology","standard English categorical terminology","active_occurrence"
"FAC-EN-NOCC-5F3C2BF9154C7530","FAC-EN-N0003","FAC-EN-U0002","fac_body.tex","116","162","200","201","english_source_first_workpass/source/components/002_I_1_3_construction_of_sheaves.tex","11","80","filtrant(e); ordonne filtrant","directed","terminology","standard English order/direct-limit terminology","active_occurrence"
"FAC-EN-NOCC-2A40C91DABAC1F3B","FAC-EN-N0008","FAC-EN-U0002","fac_body.tex","116","162","200","201","english_source_first_workpass/source/components/002_I_1_3_construction_of_sheaves.tex","18","36","\\to in prose element assignment","\mapsto","semantic_typography","distinguishes element assignment from a morphism arrow","active_occurrence"
"FAC-EN-NOCC-505EE676330126D1","FAC-EN-N0010","FAC-EN-U0002","fac_body.tex","116","162","200","201","english_source_first_workpass/source/components/002_I_1_3_construction_of_sheaves.tex","21","110","physical bottom-page footnote text","\footnote{","layout_restoration","attaches translated note at its logical source marker","active_occurrence"
"FAC-EN-NOCC-B66C525E14074B90","FAC-EN-N0002","FAC-EN-U0002","fac_body.tex","116","162","200","201","english_source_first_workpass/source/components/002_I_1_3_construction_of_sheaves.tex","23","58","recouvrement(s); plus fin","covering","terminology","standard Cech-cohomology register and source preorder direction","active_occurrence"
