unit_id,source_tex,source_start_line,source_end_line,authority_physical_start,authority_physical_end,printed_start,printed_end,target_tex,status,next_cursor
FAC-EN-U0001,fac_body.tex,1,115,2,5,197,"200 partial","english_source_first_workpass/source/components/001_opening_introduction_contents_and_I_1_1_2.tex",built_and_visually_checked,"fac_body.tex line 116; printed 200; no. 3 Construction de faisceaux"
FAC-EN-U0002,fac_body.tex,116,162,5,6,200,201,"english_source_first_workpass/source/components/002_I_1_3_construction_of_sheaves.tex",built_and_visually_checked,"fac_body.tex line 163; printed 201; no. 4 Recollement de faisceaux"
FAC-EN-U0003,fac_body.tex,163,179,6,7,201,202,"english_source_first_workpass/source/components/003_I_1_4_gluing_of_sheaves.tex",built_and_visually_checked,"fac_body.tex line 180; printed 202; no. 5 Extension et restriction d'un faisceau"
FAC-EN-U0004,fac_body.tex,180,201,7,7,202,202,"english_source_first_workpass/source/components/004_I_1_5_extension_and_restriction.tex",built_and_visually_checked,"fac_body.tex line 202; printed 202; no. 6 Faisceaux d'anneaux et faisceaux de modules"
FAC-EN-U0005,fac_body.tex,202,218,7,8,202,203,"english_source_first_workpass/source/components/005_I_1_6_sheaves_of_rings_and_modules.tex",built_and_visually_checked,"fac_body.tex line 219; printed 203; no. 7 Sous-faisceau et faisceau quotient"
FAC-EN-U0006,fac_body.tex,219,242,8,9,203,204,"english_source_first_workpass/source/components/006_I_1_7_subsheaf_and_quotient_sheaf.tex",built_and_visually_checked,"fac_body.tex line 245; printed 204; no. 8 Homomorphismes"
FAC-EN-U0007,fac_body.tex,245,266,9,10,204,205,"english_source_first_workpass/source/components/007_I_1_8_homomorphisms.tex",built_and_visually_checked,"fac_body.tex line 269; printed 205; no. 9 Somme directe de deux faisceaux"
FAC-EN-U0008,fac_body.tex,269,273,10,10,205,205,"english_source_first_workpass/source/components/008_I_1_9_direct_sum.tex",built_and_visually_checked,"fac_body.tex line 276; printed 205; no. 10 Produit tensoriel de deux faisceaux"
FAC-EN-U0009,fac_body.tex,276,310,10,11,205,206,"english_source_first_workpass/source/components/009_I_1_10_tensor_product.tex",built_and_visually_checked,"fac_body.tex line 313; printed 206; no. 11 Faisceau des germes d'homomorphismes"
FAC-EN-U0010,fac_body.tex,313,388,11,13,206,208,"english_source_first_workpass/source/components/010_I_1_11_and_I_2_12_definitions.tex",built_and_visually_checked,"fac_body.tex line 391; printed 208; no. 13 Principales proprietes des faisceaux coherents"
FAC-EN-U0011,fac_body.tex,391,424,13,14,208,209,"english_source_first_workpass/source/components/011_I_2_13_main_properties.tex",built_and_visually_checked,"fac_body.tex line 427; printed 209; no. 14 Operations sur les faisceaux coherents"
FAC-EN-U0012,fac_body.tex,427,458,14,15,209,210,"english_source_first_workpass/source/components/012_I_2_14_operations_on_coherent_sheaves.tex",built_and_visually_checked,"fac_body.tex line 461; printed 210; no. 15 Faisceaux coherents d'anneaux"
FAC-EN-U0013,fac_body.tex,461,492,15,16,210,211,"english_source_first_workpass/source/components/013_I_2_15_coherent_sheaves_of_rings.tex",built_and_visually_checked,"fac_body.tex line 494; printed 211; no. 16 Changement d'anneaux"
FAC-EN-U0014,fac_body.tex,494,498,16,16,211,211,"english_source_first_workpass/source/components/014_I_2_16_change_of_rings.tex",built_and_visually_checked,"fac_body.tex line 500; printed 211; no. 17 Extension et restriction d'un faisceau coherent"
FAC-EN-U0015,fac_body.tex,500,514,16,17,211,212,"english_source_first_workpass/source/components/015_I_2_17_extension_and_restriction.tex",built_and_visually_checked,"fac_body.tex line 517; printed 212; section 3 Cohomologie d'un espace a valeurs dans un faisceau"
FAC-EN-U0016,fac_body.tex,517,534,17,17,212,212,"english_source_first_workpass/source/components/016_I_3_18_cochains_of_a_covering.tex",built_and_visually_checked,"fac_body.tex line 536; printed 212; no. 19 Operations simpliciales"
FAC-EN-U0017,fac_body.tex,536,568,17,18,212,213,"english_source_first_workpass/source/components/017_I_3_19_simplicial_operations.tex",built_and_visually_checked,"fac_body.tex line 571; printed 213; no. 20 Les complexes de cochaines"
FAC-EN-U0018,fac_body.tex,571,629,18,19,213,214,"english_source_first_workpass/source/components/018_I_3_20_cochain_complexes.tex",built_and_visually_checked,"fac_body.tex line 631; printed 214; no. 21 Passage d'un recouvrement a un recouvrement plus fin"
FAC-EN-U0019,fac_body.tex,631,664,19,20,214,215,"english_source_first_workpass/source/components/019_I_3_21_finer_coverings.tex",built_and_visually_checked,"fac_body.tex line 667; printed 215; no. 22 Groupes de cohomologie de X"
FAC-EN-U0020,fac_body.tex,667,683,20,20,215,215,"english_source_first_workpass/source/components/020_I_3_22_cohomology_groups_of_X.tex",built_and_visually_checked,"fac_body.tex line 686; printed 215; no. 23 Homomorphismes de faisceaux"
FAC-EN-U0021,fac_body.tex,686,707,20,21,215,216,"english_source_first_workpass/source/components/021_I_3_23_homomorphisms_of_sheaves.tex",built_and_visually_checked,"fac_body.tex line 710; printed 216; no. 24 Suite exacte de faisceaux : cas general"
FAC-EN-U0022,fac_body.tex,710,815,21,22,216,217,"english_source_first_workpass/source/components/022_I_3_24_exact_sequence_general_case.tex",built_and_visually_checked,"fac_body.tex line 817; printed 217; no. 25 Suite exacte de faisceaux: cas ou X est paracompact"
