correction_id,source_tex,source_line,authority_physical_page,printed_page,diplomatic_reading,corrected_reading,status,evidence_note
FAC-FR-C0001,fac_body.tex,175,7,202,"s_i \in \Gamma(U_i, \mathfrak{F}_i)","s_i \in \Gamma(U, \mathfrak{F}_i)",applied_to_corrected_french_and_english,"The family is over fixed U subset U_i; the same clause identifies the codomain as Gamma(U,F_i). Authority image confirms U_i is printed, so this is a source typo rather than a transcription deviation."
FAC-FR-C0002,fac_body.tex,197,7,202,"\varphi_U^V : \mathfrak{F}_U \to \mathfrak{F}_V","\varphi_U^V : \mathfrak{F}_V \to \mathfrak{F}_U",applied_to_corrected_french_and_english,"The maps are restrictions for U subset V and no. 3 defines this notation with domain F_V and codomain F_U. Authority image confirms the reversed direction is printed."
FAC-FR-C0003,fac_body.tex,251,9,204,"\mathfrak{N}_x and \mathfrak{I}_x are submodules of \mathcal{F} and \mathcal{G}","\mathfrak{N}_x and \mathfrak{I}_x are submodules of \mathcal{F}_x and \mathcal{G}_x",applied_to_corrected_french_and_english,"The objects are A_x-modules and the same sentence immediately forms F_x/N_x; authority confirms the stalk subscripts are omitted in print."
FAC-FR-C0004,fac_body.tex,271,10,205,"la partie de \mathcal{F} \times \mathcal{G} formés des couples","la partie de \mathcal{F} \times \mathcal{G} formée des couples",applied_to_corrected_french,"Printed grammatical agreement typo; authority confirms masculine plural formés although partie requires feminine singular formée. Meaning and English translation are unaffected."
FAC-FR-C0005,fac_body.tex,463,15,210,"condition (b) de la Proposition 2","condition (b) de la Définition 2",applied_to_corrected_french_and_english,"The printed cross-reference cannot denote Proposition 2, which has no condition (b); the defining condition (b) occurs in Definition 2 at printed p. 208. Authority image confirms Proposition 2 is printed, so this is a source cross-reference typo."
FAC-FR-C0006,fac_body.tex,758,21,216,"du choix de l'application \tau^*","du choix de l'application \tau",applied_to_corrected_french_and_english,"The chosen auxiliary map is tau:I->J; tau-star is the induced cohomology homomorphism whose independence is being proved. Authority p.216 confirms tau-star is printed after application, so the diplomatic layer retains it and the corrected/English layers repair it."
FAC-FR-C0007,fac_body.tex,805,22,217,"tau z est cohomologue a [blank] dans C_0","tau z est cohomologue a 0 dans C_0",applied_to_corrected_french_and_english,"Authority p.217 has a real inkless gap after cohomologue a. Since tau z=d(tau f) with tau f in C_0^0, the omitted term is necessarily 0. Diplomatic French preserves the blank; corrected French and English restore 0 with disclosure."
FAC-FR-C0008,fac_body.tex,861,23,218,"C_0^q(U, \mathfrak{C})","C_0^q(\mathfrak{U}, \mathfrak{C})",applied_to_corrected_french_and_english,"The covering defined throughout the lemma is blackletter \mathfrak{U}; an unadorned U denotes open sets U_x and cannot be the covering argument of C_0^q. Authority p.218 clearly prints italic U. Diplomatic French preserves it; corrected French and English restore the typed covering."
FAC-FR-C0009,fac_body.tex,861,23,218,"\beta(b)_x = f_{\tau x_0 \ldots \tau x_q} above U_{x_0}","\beta(b) = f_{\tau x_0 \ldots \tau x_q} above U_{x_0}",applied_to_corrected_french_and_english,"The section b is defined over U_{x_0} and condition (c) asserts equality of sections there. The subscript x is undefined and incompatible with 'above U_{x_0}'. Authority p.218 clearly prints the stray subscript. Diplomatic French preserves it; corrected French and English remove it with disclosure."
FAC-FR-C0010,fac_body.tex,873,23,218,"U'_{i_0 \ldots i_q},=Y \cap U_{i_0 \ldots i_q}","U'_{i_0 \ldots i_q}=Y \cap U_{i_0 \ldots i_q}",applied_to_corrected_french_and_english,"The 1100-dpi authority crop clearly shows a stray comma between the restricted-intersection subscript and the defining equality. It has no syntactic or mathematical role. Diplomatic French preserves it; corrected French and English remove it with disclosure."
