repair_id,source_tex,source_line,authority_physical_page,printed_page,inherited_tex,authority_reading,layers_repaired,status
FAC-FR-T0001,fac_body.tex,208,8,203,"x \epsilon X","x \in X",diplomatic_and_corrected,authority_confirmed_applied
FAC-FR-T0002,fac_body.tex,214,8,203,"a \epsilon \mathcal{A}_V","a \in \mathcal{A}_V",diplomatic_and_corrected,authority_confirmed_applied
FAC-FR-T0003,fac_body.tex,214,8,203,"f \epsilon \mathcal{F}_V","f \in \mathcal{F}_V",diplomatic_and_corrected,authority_confirmed_applied
FAC-FR-T0004,fac_body.tex,221,8,203,"x \epsilon X","x \in X",diplomatic_and_corrected,authority_confirmed_applied
FAC-FR-T0005,fac_body.tex,223,8,203,"x \epsilon X","x \in X",diplomatic_and_corrected,authority_confirmed_applied
FAC-FR-T0006,fac_body.tex,229,8,203,"s(x) \epsilon \mathcal{G}_x; s(y) \epsilon \mathcal{G}_y","s(x) \in \mathcal{G}_x; s(y) \in \mathcal{G}_y",diplomatic_and_corrected,authority_confirmed_applied
FAC-FR-T0007,fac_body.tex,233,8,203,"x \epsilon X","x \in X",diplomatic_and_corrected,authority_confirmed_applied
FAC-FR-T0008,fac_body.tex,247,9,204,"x \epsilon X","x \in X",diplomatic_and_corrected,authority_confirmed_applied
FAC-FR-T0009,fac_body.tex,249,9,204,"x \epsilon X","x \in X",diplomatic_and_corrected,authority_confirmed_applied
FAC-FR-T0010,fac_body.tex,251,9,204,"s(x) \epsilon \mathfrak{N}_x; s(y) \epsilon \mathfrak{N}_y; t(x) \epsilon \mathfrak{I}_x","s(x) \in \mathfrak{N}_x; s(y) \in \mathfrak{N}_y; t(x) \in \mathfrak{I}_x",diplomatic_and_corrected,authority_confirmed_applied
FAC-FR-T0011,fac_body.tex,406,14,209,"f_i \epsilon \mathfrak{A}_y; g_j \epsilon \mathfrak{A}_y","f_i \in \mathfrak{A}_y; g_j \in \mathfrak{A}_y",diplomatic_and_corrected,authority_confirmed_applied
FAC-FR-T0012,fac_body.tex,435,14,209,"x \epsilon X","x \in X",diplomatic_and_corrected,authority_confirmed_applied
FAC-FR-T0013,fac_body.tex,444,15,210,"y \epsilon U; f_i \epsilon \mathfrak{A}_y; m \epsilon \mathfrak{F}_y","y \in U; f_i \in \mathfrak{A}_y; m \in \mathfrak{F}_y",diplomatic_and_corrected,authority_confirmed_applied
FAC-FR-T0014,fac_body.tex,447,15,210,"\psi_y(m) \epsilon \mathfrak{G}_y","\psi_y(m) \in \mathfrak{G}_y",diplomatic_and_corrected,authority_confirmed_applied
FAC-FR-T0015,fac_body.tex,449,15,210,"y \epsilon U","y \in U",diplomatic_and_corrected,authority_confirmed_applied
FAC-FR-T0016,fac_body.tex,558,18,213,"\rho^{s'}","\rho_s^{s'}",diplomatic_and_corrected,authority_confirmed_applied
FAC-FR-T0017,fac_body.tex,599,18,213,"(f_i)_{i \epsilon I}; i \epsilon I","(f_i)_{i \in I}; i \in I",diplomatic_and_corrected,authority_confirmed_applied
FAC-FR-T0018,fac_body.tex,633;647,19,214,"i \epsilon I; j \epsilon J; f \epsilon C^q (four membership groups)","i \in I; j \in J; f \in C^q",diplomatic_and_corrected,authority_confirmed_applied
FAC-FR-T0019,fac_body.tex,853,23,218,"x \in W_j","x \in \overline{W}_j",diplomatic_and_corrected,authority_confirmed_applied
FAC-FR-T0020,fac_body.tex,"1152;1158;1165",29,224,"P^alpha \epsilon K; x \epsilon X; x \epsilon V; f \epsilon Gamma (six membership groups)","P^alpha \in K; x \in X; x \in V; f \in Gamma",diplomatic_and_corrected,authority_confirmed_applied
FAC-FR-T0021,fac_body.tex,1278,33,228,"O_X and O_{x,X} where the newly defined sheaf and stalk are on X-prime","O_{X'} and O_{x,X'}",diplomatic_and_corrected,authority_confirmed_applied
FAC-FR-T0022,fac_body.tex,1316,35,230,"O_{x.X}","O_{x,X}",diplomatic_and_corrected,authority_confirmed_applied
FAC-FR-T0023,fac_body.tex,1333,35,230,"J_x(\mathrm{V})","J_x(V)",diplomatic_and_corrected,authority_confirmed_applied
FAC-FR-T0024,fac_body.tex,1459,40,235,"Gamma(V,O_V)=\mathrm{A}=intersection O_{x,V}","Gamma(V,O_V)=A=intersection O_{x,V}",diplomatic_and_corrected,authority_confirmed_applied
