self_correction_id,discovered_at_checkpoint,affected_unit,affected_file,affected_locator,error_class,original_form,corrected_form,occurrence_count,detection_channel,propagation_scope,propagation_check,status,superseded_artifact
FAC-SELF-0001,I_1_8_r1,FAC-EN-U0007,english_source_first_workpass/source/components/007_I_1_8_homomorphisms.tex,lines15;18;22,misleading_operator_glyph,"\Im(\varphi)","\operatorname{Im}(\varphi)",3,lead_rendered_visual_review,"all active English components and future image-sheaf notation","global fixed-string search finds zero raw \Im tokens; current image-sheaf occurrences use \operatorname{Im}",corrected_before_admission,english_source_first_workpass/build_checkpoint_I_1_8_r1
FAC-SELF-0002,I_2_14_r1,FAC-EN-U0012,english_source_first_workpass/source/components/012_I_2_14_operations_on_coherent_sheaves.tex,line32,missing_tex_escape,"qquad","\qquad",1,lead_rendered_visual_review,"all active English components","visual successor PASS; active source contains escaped \qquad at the affected formula",corrected_before_admission,english_source_first_workpass/build_checkpoint_I_2_14_r1
FAC-SELF-0003,I_3_20_r1,FAC-EN-U0017,english_source_first_workpass/source/components/017_I_3_19_simplicial_operations.tex,lines41;42,missing_tex_escape,"qquad","\qquad",2,lead_rendered_visual_review,"all active English components","visual successor PASS; both transpose identities contain escaped \qquad",corrected_before_admission,english_source_first_workpass/build_checkpoint_I_3_20_r1
FAC-SELF-0004,I_3_23_r1,FAC-EN-U0019,english_source_first_workpass/source/components/019_I_3_21_finer_coverings.tex,line27,unjustified_notation_normalization,"\sum_{h=0}^{q-1}","\sum_{h=0}^{h=q-1}",1,lead_direct_authority_comparison,"all active English components","global fixed-string search found this as the sole shortened upper-limit occurrence; source restored before checkpoint admission",corrected_before_admission,english_source_first_workpass/build_checkpoint_I_3_23_r1
FAC-SELF-0005,I_3_23_r1,NA,english_source_first_workpass/source/$out,generated_files_only,build_path_argument,"native argument -output-directory=$out created a literal $out directory","quoted native argument expanded the intended absolute output path",0,missing_expected_output_after_successful_build,"build invocation procedure only","scratch contained aux/log/out/pdf only and zero source-like files; exact verified subtree removed; corrected r2 build placed output in the intended directory",operationally_corrected_before_admission,english_source_first_workpass/source/$out
FAC-SELF-0006,I_3_24_draft,FAC-EN-U0021,controls/TRANSLATION_PROGRESS.csv,FAC-EN-U0021 next_cursor,incorrect_continuation_title,"no. 24 Produit de deux classes de cohomologie","no. 24 Suite exacte de faisceaux : cas general",0,direct_read_of_next_source_heading,"active status/progress/validation continuation metadata","line710 and cursor number were already correct; active progress title corrected; next validation will bind the corrected row",post_admission_metadata_corrected,controls/CHECKPOINT_VALIDATION.json through no.23
FAC-SELF-0007,I_3_24_r1,NA,french_source_corrected_workpass/source/$facOut,generated_files_only,build_path_argument_recurrence,"native argument -output-directory=$facOut created a literal $facOut directory","native argument array passed the expanded absolute output directory",0,missing_expected_output_after_successful_build,"French corrected-layer build invocation procedure only","scratch was resolved inside the corrected source root and contained exactly one aux one log and one PDF totaling 668346 bytes; it contained no source-like files; the guarded subtree was removed; the corrected checkpoint rebuilt in the intended directory with byte-identical pass2/pass3 consoles",operationally_corrected_before_admission,french_source_corrected_workpass/source/$facOut
FAC-SELF-0008,I_3_25_r1,ALL_ADMITTED_UNITS,controls/generate_english_normalization_occurrences.ps1,FAC-EN-N0006 regex,machine_ledger_coverage_gap,"\mathcal\{[FGA]\}","\mathcal\{[A-Z]\}",0,lead_generator_review,"all admitted and future English components","regenerated occurrence ledger scans every uppercase calligraphic letter and preserves unique stable IDs; no English source byte changed",post_admission_provenance_corrected,controls/ENGLISH_NORMALIZATION_OCCURRENCES.csv through no.23 SHA 2F81FB6EAA6A23B89B4D7B5B2171ADD66BF3680AAEB8D87059D061AA8EDD06A9
FAC-SELF-0009,I_3_25_r1,"FAC-EN-U0001;FAC-EN-U0016;FAC-EN-U0023",EDITORIAL_DECISION_LOGBOOK.md and controls/generate_english_normalization_occurrences.ps1,FAC-EN-N0013 missing policy,undocumented_recurring_normalization,"separe and non separe had already been rendered as Hausdorff and non-Hausdorff without a dedicated policy row","FAC-EN-N0013 records the standard terminology and the generator binds all seven current occurrences",7,lead_generator_review,"all admitted and future English components","policy table and occurrence generator now agree; seven active occurrences are machine-locatable; no English source byte changed",post_admission_provenance_corrected,EDITORIAL_DECISION_LOGBOOK.md through no.24
FAC-SELF-0010,I_3_25_r1,FAC-FR-C0008;FAC-FR-C0009,french_source_corrected_workpass/source/fac_body.tex,comment block before line840,line_locator_shift,"expanded corrected-layer explanatory comments added six lines and shifted all later corrected-French locators","restored the inherited comment block byte-for-byte so diplomatic and corrected line geometry stays identical; dispositions remain in the controlling ledgers",0,checkpoint_layer_diff_replay,"corrected French source line geometry and all downstream machine locators","diplomatic and corrected sources both return to 3447 lines; aligned diff identifies only the nine intentional corrected-reading lines; provisional manifests are regenerated",corrected_before_checkpoint_admission,controls/CHECKPOINT_IDENTITIES.csv provisional SHA 6E3980897E8178A588C16186D7A475553EF51A913E4EF0FC6A308D44742E22BB
