authority_pdf_page	paper_folio	check_id	scan_or_locator_reading	canonical_reading	independent_basis	result
7	305	P07_FORMULA_CHAIN	nested-product tensor expansion and printed ±	nested-product tensor expansion and printed ±	authority pixels; algebraic telescoping checked term-by-term	PASS
8	306	P08_FINITE_VERB	et seuls χ et χ̄ figurant dans V|B	et seuls χ et χ̄ figurent dans V|B	authority pixels; French finite-verb syntax	PASS
8	306	P08_INDUCTION_CHAIN	Ind transitivity, restriction to I′, five reductions, Cases 1-2	same symbols, order, and page boundary	authority pixels; group-theoretic typing	PASS
9	307	P09_COHOMOLOGY_DEGREE	χ∈H²(Gal(K̄/K),C*)	χ∈H¹(Gal(K̄/K),C*)	exponential-sequence connecting morphism H¹(C*)→H²(Z)	PASS
9	307	P09_EPSILON_CONJUGATION	ε(W̄,ψ)=χ(−1)ε(W̄,ψ(−x))=χ(−1)overline{ε(W,ψ)}	same identity	authority pixels; conjugation and (1.2.2) checked	PASS
10	308	P10_ADDITIVE_CHARACTER	ε(χ,ψ,dx,s) after ψ_L=ψ∘Tr_{L/K}	ε(χ,ψ_L,dx,s)	χ is a character of L*; epsilon-factor additive argument must be on L	PASS
10	308	P10_BOUND_VARIABLE	χ⁻¹(a) in an integral bound in x	χ⁻¹(x)	bound-variable scope; equality with preceding integral	PASS
10	308	P10_INTEGRAL_CHAIN	f/f-hat, da/d*a, a x-bar, axΔ, c₁	semantically identical replay apart from logged repairs	authority pixels; each transformation checked independently	PASS
11	309	P11_OBSTRUCTION	αw₁²+w₂ and total class 1+w²+⋯	same formulas	authority pixels; degree-two Stiefel–Whitney expansion	PASS
11	309	P11_BASE_FIELD	triviale sur F*	triviale sur K*	F is undefined; χ is defined on L* and trivial on K*; quotient is L*/K*	PASS
11	309	P11_SPECTRAL_PAIR	Galois row uses Z-hat; Weil row uses Z	same pair	authority pixels; quotient groups Gal/I and W/I	PASS
12	310	P12_PARITY	E₂^{pq}=0 pour q pair	E₂^{pq}=0 pour q impair	displayed E₂ array has q=1 and q=3 rows zero; this kills d₂	PASS
12	310	P12_DOMAIN_COEFFICIENT	H²(W(K̄/K))→H²(K̄*,Z(1))	H²(W(K̄/K),Z(1))→H²(K̄*,Z(1))	extension and spectral-sequence coefficient system is Z(1)	PASS
12	310	P12_GROUP_DOMAIN	z∈K̄ in F-tilde conjugation relation	S02 adopted z∈K̄*; superseded in S03 by the printed z∈K̄	In E|_{K̄*}=K̄, z is an element of the additive covering group; conjugation by the lift acts by complex conjugation.	SUPERSEDED_BY_S03
12	310	P12_ARRAY_AND_DIFFERENTIAL	four-row E₂ array; d₃:E₃^{0,2}→E₃^{3,0}	same array and differential	authority pixels; bidegree and abutment checked	PASS
