structural_id,unit_id,structure_type,language,script,source_role,target_path,start_line,end_line,parent_id,order_index,type_ordinal,paired_script_id,pairing_state,labels,references,unresolved_references,file_sha256,span_sha256,completion_state,review_state,publication_state,boundary_confidence,boundary_basis,continuation_cursor
SLISV-STR-57A2B4C8246B-DOCUMENT-0001,SLISV-UNIT-57A2B4C8246B,document,isv-Latn,Latin,editable_authority,private-source/Noether_Post45_SourceFidelity_Interslavic_v001.tex,1,597,,0,1,SLISV-STR-FDB6D361982F-DOCUMENT-0001,paired_by_logical_type_ordinal,eq:kap-1|eq:kap-2|eq:kap-3|eq:kap-4a|eq:kap-4b|eq:kap-5|eq:kap-6|satz:kap-II|satz:kap-III|satz:kap-IV,eq:kap-1|eq:kap-2|eq:kap-3|eq:kap-4a|eq:kap-4b|eq:kap-5|eq:kap-6|satz:kap-II|satz:kap-III|satz:kap-IV,,24EB1BF98DD0D524084BD37B51CCD5518AE1B2ECDCEC64EDB6E390B902DF1986,376FD236481A080DF65BBEDAFFB478EDCCB1E25B46E7FE7287C85CE4C88F09C5,structurally_indexed,normalization_reopened,withheld_pending_corrected_audit,high,complete canonical TeX file,SLISV-STR-57A2B4C8246B-CLOSED_PROSE_UNIT-0001
SLISV-STR-57A2B4C8246B-CLOSED_PROSE_UNIT-0001,SLISV-UNIT-57A2B4C8246B,closed_prose_unit,isv-Latn,Latin,editable_authority,private-source/Noether_Post45_SourceFidelity_Interslavic_v001.tex,27,29,SLISV-STR-57A2B4C8246B-DOCUMENT-0001,1,1,SLISV-STR-FDB6D361982F-CLOSED_PROSE_UNIT-0001,paired_by_logical_type_ordinal,,,,24EB1BF98DD0D524084BD37B51CCD5518AE1B2ECDCEC64EDB6E390B902DF1986,83C2C8CF5A3360036812AF1628BC878BA016C2CDEF43A3DB3DDDB74FF59734B9,structurally_indexed,normalization_reopened,withheld_pending_corrected_audit,medium,blank-line-delimited TeX source block,SLISV-STR-57A2B4C8246B-PART-0001
SLISV-STR-57A2B4C8246B-PART-0001,SLISV-UNIT-57A2B4C8246B,part,isv-Latn,Latin,editable_authority,private-source/Noether_Post45_SourceFidelity_Interslavic_v001.tex,28,597,SLISV-STR-57A2B4C8246B-DOCUMENT-0001,2,1,SLISV-STR-FDB6D361982F-PART-0001,paired_by_logical_type_ordinal,eq:kap-1|eq:kap-2|eq:kap-3|eq:kap-4a|eq:kap-4b|eq:kap-5|eq:kap-6|satz:kap-II|satz:kap-III|satz:kap-IV,eq:kap-1|eq:kap-2|eq:kap-3|eq:kap-4a|eq:kap-4b|eq:kap-5|eq:kap-6|satz:kap-II|satz:kap-III|satz:kap-IV,,24EB1BF98DD0D524084BD37B51CCD5518AE1B2ECDCEC64EDB6E390B902DF1986,D0AD1D005E198BB513A381ECBB9F04E758CF48583D1BF60F12AC3A500ADE776D,structurally_indexed,normalization_reopened,withheld_pending_corrected_audit,high,explicit TeX part command; extent to next same/higher heading,SLISV-STR-57A2B4C8246B-CLOSED_PROSE_UNIT-0002
SLISV-STR-57A2B4C8246B-CLOSED_PROSE_UNIT-0002,SLISV-UNIT-57A2B4C8246B,closed_prose_unit,isv-Latn,Latin,editable_authority,private-source/Noether_Post45_SourceFidelity_Interslavic_v001.tex,31,38,SLISV-STR-57A2B4C8246B-PART-0001,3,2,SLISV-STR-FDB6D361982F-CLOSED_PROSE_UNIT-0002,paired_by_logical_type_ordinal,,,,24EB1BF98DD0D524084BD37B51CCD5518AE1B2ECDCEC64EDB6E390B902DF1986,5130049B2FA4C94AF302FFE8A79D608072D92712C15819102AB696EA87F71F46,structurally_indexed,normalization_reopened,withheld_pending_corrected_audit,medium,blank-line-delimited TeX source block,SLISV-STR-57A2B4C8246B-CLOSED_PROSE_UNIT-0003
SLISV-STR-57A2B4C8246B-CLOSED_PROSE_UNIT-0003,SLISV-UNIT-57A2B4C8246B,closed_prose_unit,isv-Latn,Latin,editable_authority,private-source/Noether_Post45_SourceFidelity_Interslavic_v001.tex,40,40,SLISV-STR-57A2B4C8246B-PART-0001,4,3,SLISV-STR-FDB6D361982F-CLOSED_PROSE_UNIT-0003,paired_by_logical_type_ordinal,,,,24EB1BF98DD0D524084BD37B51CCD5518AE1B2ECDCEC64EDB6E390B902DF1986,D84B77DFD8700C584A53DF5B9B32DB72BE3B7137E1FABA40EA6D363346E78E35,structurally_indexed,normalization_reopened,withheld_pending_corrected_audit,medium,blank-line-delimited TeX source block,SLISV-STR-57A2B4C8246B-CLOSED_PROSE_UNIT-0004
SLISV-STR-57A2B4C8246B-CLOSED_PROSE_UNIT-0004,SLISV-UNIT-57A2B4C8246B,closed_prose_unit,isv-Latn,Latin,editable_authority,private-source/Noether_Post45_SourceFidelity_Interslavic_v001.tex,42,48,SLISV-STR-57A2B4C8246B-PART-0001,5,4,SLISV-STR-FDB6D361982F-CLOSED_PROSE_UNIT-0004,paired_by_logical_type_ordinal,,,,24EB1BF98DD0D524084BD37B51CCD5518AE1B2ECDCEC64EDB6E390B902DF1986,C5ABAABBFA37551C53395047A0EA6FB55384CA21137BC54D722E8EADB04803CD,structurally_indexed,normalization_reopened,withheld_pending_corrected_audit,medium,blank-line-delimited TeX source block,SLISV-STR-57A2B4C8246B-THEOREM-0001
SLISV-STR-57A2B4C8246B-THEOREM-0001,SLISV-UNIT-57A2B4C8246B,theorem,isv-Latn,Latin,editable_authority,private-source/Noether_Post45_SourceFidelity_Interslavic_v001.tex,50,58,SLISV-STR-57A2B4C8246B-PART-0001,6,1,SLISV-STR-FDB6D361982F-THEOREM-0001,paired_by_logical_type_ordinal,,,,24EB1BF98DD0D524084BD37B51CCD5518AE1B2ECDCEC64EDB6E390B902DF1986,7D4F9E3493D9F24963F85DDCDF569BF58656A2CCB992C8A28704EFE192F56CAC,structurally_indexed,normalization_reopened,withheld_pending_corrected_audit,medium,named bold heading inside blank-line-delimited TeX source block,SLISV-STR-57A2B4C8246B-THEOREM-0002
SLISV-STR-57A2B4C8246B-THEOREM-0002,SLISV-UNIT-57A2B4C8246B,theorem,isv-Latn,Latin,editable_authority,private-source/Noether_Post45_SourceFidelity_Interslavic_v001.tex,60,64,SLISV-STR-57A2B4C8246B-PART-0001,7,2,SLISV-STR-FDB6D361982F-THEOREM-0002,paired_by_logical_type_ordinal,,,,24EB1BF98DD0D524084BD37B51CCD5518AE1B2ECDCEC64EDB6E390B902DF1986,DC0027AAAF5CDF7A4EDAD8BE642688E3189D4C7659B1062510426886B9DB4055,structurally_indexed,normalization_reopened,withheld_pending_corrected_audit,medium,named bold heading inside blank-line-delimited TeX source block,SLISV-STR-57A2B4C8246B-CLOSED_PROSE_UNIT-0005
SLISV-STR-57A2B4C8246B-CLOSED_PROSE_UNIT-0005,SLISV-UNIT-57A2B4C8246B,closed_prose_unit,isv-Latn,Latin,editable_authority,private-source/Noether_Post45_SourceFidelity_Interslavic_v001.tex,66,72,SLISV-STR-57A2B4C8246B-PART-0001,8,5,SLISV-STR-FDB6D361982F-CLOSED_PROSE_UNIT-0005,paired_by_logical_type_ordinal,,,,24EB1BF98DD0D524084BD37B51CCD5518AE1B2ECDCEC64EDB6E390B902DF1986,D486562002DD48064BFCC10C58C7F00828AF7B475718FA474C30117A095029CF,structurally_indexed,normalization_reopened,withheld_pending_corrected_audit,medium,blank-line-delimited TeX source block,SLISV-STR-57A2B4C8246B-EQUATION_DISPLAY-0001
SLISV-STR-57A2B4C8246B-EQUATION_DISPLAY-0001,SLISV-UNIT-57A2B4C8246B,equation_display,isv-Latn,Latin,editable_authority,private-source/Noether_Post45_SourceFidelity_Interslavic_v001.tex,69,72,SLISV-STR-57A2B4C8246B-PART-0001,9,1,SLISV-STR-FDB6D361982F-EQUATION_DISPLAY-0001,paired_by_logical_type_ordinal,,,,24EB1BF98DD0D524084BD37B51CCD5518AE1B2ECDCEC64EDB6E390B902DF1986,49700D3A0570C3C4B927C311B2D117C8E6655264E5C9F8F4B853AF4D2EEB299E,structurally_indexed,normalization_reopened,withheld_pending_corrected_audit,high,explicit TeX \[ ... \] display,SLISV-STR-57A2B4C8246B-CLOSED_PROSE_UNIT-0006
