"lane","source_path","source_relative_path","package_relative_path","bytes","sha256","source_last_write_utc","package_action"
"noether-arabic-rtl-source-evidence-draft-lane","C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\NOETHER_ARABIC_RTL_CORPUS_TRANSLATION_MANIFEST_20260704.md","NOETHER_ARABIC_RTL_CORPUS_TRANSLATION_MANIFEST_20260704.md","lane_outputs\noether-arabic-rtl-source-evidence-draft-lane\NOETHER_ARABIC_RTL_CORPUS_TRANSLATION_MANIFEST_20260704.md","1712","09162526312229C675164919562FD1E462F7F233F8F20D683D92B6ED4A9DE525","2026-07-04T04:16:32.9596755Z","copied"
"noether-arabic-rtl-source-evidence-draft-lane","C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\NOETHER_ARABIC_RTL_CORPUS_TRANSLATION_SHA256_20260704.txt","NOETHER_ARABIC_RTL_CORPUS_TRANSLATION_SHA256_20260704.txt","lane_outputs\noether-arabic-rtl-source-evidence-draft-lane\NOETHER_ARABIC_RTL_CORPUS_TRANSLATION_SHA256_20260704.txt","486","8EBE1AA61543BF58E50C29D2D90DF8CB713D3B3660F7F5B7203FE4DF5371D6C3","2026-07-04T04:20:54.8789877Z","copied"
"noether-arabic-rtl-source-evidence-draft-lane","C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\NOETHER_ARABIC_RTL_CORPUS_TRANSLATION_SLICES_20260704.json","NOETHER_ARABIC_RTL_CORPUS_TRANSLATION_SLICES_20260704.json","lane_outputs\noether-arabic-rtl-source-evidence-draft-lane\NOETHER_ARABIC_RTL_CORPUS_TRANSLATION_SLICES_20260704.json","7552","440B36357DD006FE156DB44F35551486132355B4A35B189B7BA4CE65FC4EA51D","2026-07-04T04:14:31.0431498Z","copied"
"noether-arabic-rtl-source-evidence-draft-lane","C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\NOETHER_ARABIC_RTL_CORPUS_TRANSLATION_SLICES_20260704.md","NOETHER_ARABIC_RTL_CORPUS_TRANSLATION_SLICES_20260704.md","lane_outputs\noether-arabic-rtl-source-evidence-draft-lane\NOETHER_ARABIC_RTL_CORPUS_TRANSLATION_SLICES_20260704.md","30082","E9112156138AB0603C6E3DFC06821113512FBFC42ED22469771F3749E990630D","2026-07-04T04:14:31.0411423Z","copied"
"noether-arabic-rtl-source-evidence-draft-lane","C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\NOETHER_ARABIC_RTL_DRAFT_CORPUS_SIDECAR_20260704.json","NOETHER_ARABIC_RTL_DRAFT_CORPUS_SIDECAR_20260704.json","lane_outputs\noether-arabic-rtl-source-evidence-draft-lane\NOETHER_ARABIC_RTL_DRAFT_CORPUS_SIDECAR_20260704.json","15803","1FA4CB037A274545544992D341054AFBB924FEA0C89E13D3BF53455EC5FD2F32","2026-07-04T04:00:17.2775433Z","copied"
"noether-arabic-rtl-source-evidence-draft-lane","C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\NOETHER_ARABIC_RTL_DRAFT_CORPUS_SIDECAR_20260704.md","NOETHER_ARABIC_RTL_DRAFT_CORPUS_SIDECAR_20260704.md","lane_outputs\noether-arabic-rtl-source-evidence-draft-lane\NOETHER_ARABIC_RTL_DRAFT_CORPUS_SIDECAR_20260704.md","17499","9DCBA57878612627B39D3E5D2B91DCB08B480EDB55BC98429DE0976B9AFD3A64","2026-07-04T04:00:17.2766322Z","copied"
"noether-arabic-rtl-source-evidence-draft-lane","C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\NOETHER_ARABIC_RTL_DRAFT_CORPUS_SIDECAR_MANIFEST_20260704.md","NOETHER_ARABIC_RTL_DRAFT_CORPUS_SIDECAR_MANIFEST_20260704.md","lane_outputs\noether-arabic-rtl-source-evidence-draft-lane\NOETHER_ARABIC_RTL_DRAFT_CORPUS_SIDECAR_MANIFEST_20260704.md","1927","CD8E9E32AA4DBFA5F728437F2F8D22B86CEA6E2EC71AAFBFDE2769338471CB88","2026-07-04T04:00:57.5889711Z","copied"
"noether-arabic-rtl-source-evidence-draft-lane","C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\NOETHER_ARABIC_RTL_DRAFT_CORPUS_SIDECAR_SHA256_20260704.txt","NOETHER_ARABIC_RTL_DRAFT_CORPUS_SIDECAR_SHA256_20260704.txt","lane_outputs\noether-arabic-rtl-source-evidence-draft-lane\NOETHER_ARABIC_RTL_DRAFT_CORPUS_SIDECAR_SHA256_20260704.txt","365","CE826F0E3567217B39E429D060FA24D346F99E22DE43448295AB8CA95C7EAC32","2026-07-04T04:01:34.7905755Z","copied"
"noether-arabic-rtl-source-evidence-draft-lane","C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\NOETHER_ARABIC_RTL_DURABLE_RUN_LOG_20260704.md","NOETHER_ARABIC_RTL_DURABLE_RUN_LOG_20260704.md","lane_outputs\noether-arabic-rtl-source-evidence-draft-lane\NOETHER_ARABIC_RTL_DURABLE_RUN_LOG_20260704.md","11701","6B8A6068B87705F4B10BEA647529329EE9703E33BDEEF432403CD9AF35BB6C92","2026-07-04T04:20:10.6037774Z","copied"
"noether-arabic-rtl-source-evidence-draft-lane","C:\Users\memo_\Documents\Codex\2026-07-04\noether-arabic-rtl-source-evidence-draft-lane\outputs\NOETHER_ARABIC_RTL_ZENODO_READER_INTEGRATION_FIXPASS_20260704.json","NOETHER_ARABIC_RTL_ZENODO_READER_INTEGRATION_FIXPASS_20260704.json","lane_outputs\noether-arabic-rtl-source-evidence-draft-lane\NOETHER_ARABIC_RTL_ZENODO_READER_INTEGRATION_FIXPASS_20260704.json","2897","0D3BC448DB35A5631A723F4D03E47A17B238B3526AE81B1704D18AEF5FC63FF4","2026-07-04T04:19:49.6989042Z","copied"
