"field","value","source","boundary"
"current_frontier","9f97502ef4bb6fdb94bfe95290a3cecbe5c064e8","origin/codex/noether-pc-20260629 after fetch","generated-draft/non-canonical route visibility only"
"current_subject","Refresh d214 Non-Slavic E29 frozen route","git log -1 origin/codex/noether-pc-20260629","generated-draft/non-canonical route visibility only"
"current_parent","d214d122f6dfa5ba10d37e9b45e8c1119a14017d","git log -1 --pretty=%P origin/codex/noether-pc-20260629","prior packet lineage"
"prior_interlinear_package","OLP_B95298E7_INTERLINEAR_TERMINOLOGY_HEARTBEAT_20260707","local OLP package lineage","prior generated-draft packet; not completion"
"prior_local_boundary_package","OLP_E29C04C4_FRONTIER_CORRECTION_REVIEW_BOUNDARY_20260707","local OLP package lineage","prior review-boundary packet; not reviewer return"
"prior_local_frontier","e29c04c47fbbdf2ec1a0c152413bc5b00d08bede","latest E29C local package state","prior local packet lineage"
"intermediate_frontier_1","731f70d472f17cb0d9b8808ead5337815364fff9","git log e29c04c4..origin/codex/noether-pc-20260629","intermediate route lineage"
"intermediate_subject_1","Add e29 Non-Slavic B059 and OLP E29 batch","git log e29c04c4..origin/codex/noether-pc-20260629","route visibility only"
"intermediate_frontier_2","d214d122f6dfa5ba10d37e9b45e8c1119a14017d","git log e29c04c4..origin/codex/noether-pc-20260629","intermediate route lineage"
"intermediate_subject_2","Add 731 Non-Slavic E29 CJK route batch","git log e29c04c4..origin/codex/noether-pc-20260629","route visibility only"
"compare_prior_to_current_ahead_by","3","git log e29c04c4..origin/codex/noether-pc-20260629 count","route visibility only"
"compare_prior_to_current_changed_paths","126","git diff --name-only e29c04c4..origin/codex/noether-pc-20260629","route visibility only"
"generated_draft_status","non-canonical","lane boundary rule","no accepted terminology or translation-completion claim"
"real_reviewer_return_rows","0","no direct reviewer/source return evidence found in OLP lane","zero-claim boundary"
"mapping_count_delta","0","no direct mapping evidence changed in OLP lane","zero-claim boundary"
"translation_count_delta","0","no direct translation evidence changed in OLP lane","zero-claim boundary"
"approval_count_delta","0","no direct approval evidence changed in OLP lane","zero-claim boundary"
