"field","value","source","boundary"
"requested_frontier","2c2df6b09c48aa13b0341219929ae89ff3d5fe33","heartbeat fetch + origin/codex/noether-pc-20260629","requested generated-draft OLP frontier"
"requested_subject","Add 698 Non-Slavic 5838 OLP visibility route","git log 2c2df6b0","route visibility only"
"requested_parent","69858e98af9cb5c503174a59ac00dd7a4a7a764f","git show 2c2df6b0","prior package lineage"
"prior_local_frontier","5838ea80af6b99128ac8c2dd39da686d27eb0478","ACTIVE_SESSION_STATE before heartbeat continuation","prior local OLP packet set"
"intermediate_frontier","69858e98af9cb5c503174a59ac00dd7a4a7a764f","git log 5838ea80..2c2df6b0","intermediate package import lineage"
"intermediate_subject","Add 5838 OLP 49D route packet set","git log 5838ea80..2c2df6b0","B3 package import lineage only"
"local_compare_698_to_2c2_ahead_by","1","git rev-list --count 69858e98..2c2df6b0","route visibility only"
"local_compare_698_to_2c2_changed_paths","28","git diff --name-only 69858e98..2c2df6b0","route visibility only"
"local_compare_5838_to_2c2_ahead_by","2","git rev-list --count 5838ea80..2c2df6b0","package import plus route visibility"
"local_compare_5838_to_2c2_changed_paths","87","git diff --name-only 5838ea80..2c2df6b0","package import plus route visibility"
"local_compare_49d_to_2c2_ahead_by","4","git rev-list --count 49d0983c..2c2df6b0","prior route lineage only"
"local_compare_49d_to_2c2_changed_paths","159","git diff --name-only 49d0983c..2c2df6b0","prior route lineage only"
"previous_source_use_package","OLP_5838EA80_SOURCE_USE_FABLE_E084_ROUTE_20260707","local artifact lineage","prior source-use/Fable package"
"previous_interlinear_package","OLP_5838EA80_INTERLINEAR_TERMINOLOGY_E084_ROUTE_20260707","local artifact lineage","prior interlinear package"
"previous_review_boundary_package","OLP_5838EA80_REVIEW_BOUNDARY_E084_ROUTE_20260707","local artifact lineage","prior review-boundary package"
"imported_5838_packet_commit","69858e98af9cb5c503174a59ac00dd7a4a7a764f","git log 5838ea80..2c2df6b0","B3 package visibility only"
"visibility_route_commit","2c2df6b09c48aa13b0341219929ae89ff3d5fe33","git log 5838ea80..2c2df6b0","route visibility only"
"fable_formal_object_status","languages/source_documents/lexemes/forms/weights/branch/marginal/do_not_use/source_use/adverse ledgers carried forward","interlanguage-sidecar/20260705/olp_relation_function_fable_block","formal-object support; no accepted terminology claim"
"generated_draft_noncanonical_boundary","all interlinear and terminology rows remain generated-draft/non-canonical","lane boundary","no native review or accepted terminology"
"real_reviewer_return_rows","0","no direct reviewer/source return evidence changed in OLP lane","zero-claim boundary"
"mapping_count_delta","0","no direct mapping evidence changed in OLP lane","zero-claim boundary"
"translation_count_delta","0","no direct translation evidence changed in OLP lane","zero-claim boundary"
"approval_count_delta","0","no direct approval evidence changed in OLP lane","zero-claim boundary"
"interlinear_packet_boundary","terminology/interlinear rows remain generated-draft/non-canonical","OLP interlinear lane boundary","no accepted terminology or translation completion claim"
