"branch_head","row_id","topic","covered_status","source_witness_paths","source_anchor_terms","source_context_note","source_aligned_control_rendering","draft_interlanguage_rendering_noncanonical","term_alternatives_register_notes","formula_neighboring_usage_note","interlinear_scaffold","owner_route","claim_boundary"
"2c2df6b09c48aa13b0341219929ae89ff3d5fe33","K-IL-001","proof reading and definition use","baseline_source_witness_sufficient_for_draft_support","native-source-bodies/openlogic-olp/sets-functions-relations.tex; native-source-bodies/dmoi/edition_source_82336dc87d77c3f18d2cdbc8ec1e74eb3ba38799/source_files/sec_structures-sets.ptx","proof; definition; hypothesis; conclusion","Separate use of a definition from proof of a claim; keep hypotheses and required conclusion visible.","Use the definition with the given variables, then prove the required conclusion.","definitio aplica; prova/argumento deriva conclusio","proof/demonstration/argument are register alternatives; owners choose local proof-literacy term.","Often neighbors forall, exists, implies, iff, and named hypotheses.","GIVEN definition D + variables -> SHOW conclusion C","proof-literacy and language owner lanes","generated-draft; non-canonical; not native reviewed; no accepted terminology"
"2c2df6b09c48aa13b0341219929ae89ff3d5fe33","K-IL-002","sets membership subset equality","baseline_source_witness_sufficient_for_draft_support","native-source-bodies/openlogic-olp/sets-functions-relations.tex; native-source-bodies/dmoi/edition_source_82336dc87d77c3f18d2cdbc8ec1e74eb3ba38799/source_files/sec_structures-sets.ptx","set; element; member; subset; equality","Track whether the text speaks about an object in a set, a subset relation, or set equality.","x is an element of A; A is a subset of B; A equals B.","SET: elemento x in A; inclusio A subset B; equalitas A = B","member/element and subset/inclusion may require different registers; avoid making subset sound like membership.","Formula neighbors include x in A, A subset B, A = B, empty set, union, intersection.","OBJECT x -> MEMBER-OF set A; SET A -> INCLUDED-IN set B","set-theory and language owner lanes","generated-draft; non-canonical; not native reviewed; no accepted terminology"
"2c2df6b09c48aa13b0341219929ae89ff3d5fe33","K-IL-003","relation/function boundary","baseline_source_witness_sufficient_for_draft_support","native-source-bodies/openlogic-olp/sets-functions-relations.tex; native-source-bodies/dmoi/edition_source_82336dc87d77c3f18d2cdbc8ec1e74eb3ba38799/source_files/sec_structures-relations.ptx; native-source-bodies/dmoi/edition_source_82336dc87d77c3f18d2cdbc8ec1e74eb3ba38799/source_files/sec_structures-functions.ptx","relation; function; ordered pair; domain; codomain","A relation may allow many outputs or none; a function assigns exactly one output for each input in its domain.","R is a relation from A to B; f is a function A -> B with a unique value f(x).","relatio R subset A x B; functio f: A -> B; unic output f(x)","relation/relacio/odnos and function/functio/preslikanje are alternatives only; owners must check language norms.","Formula neighbors include R subset A x B, x R y, f: A -> B, f(x)=y, uniqueness quantifier.","RELATION: x R y allowed; FUNCTION: each x maps to one y","relation/function language owners; Session D for new construction method issues","generated-draft; non-canonical; not native reviewed; no accepted terminology"
"2c2df6b09c48aa13b0341219929ae89ff3d5fe33","K-IL-004","domain codomain range image","baseline_source_witness_sufficient_for_draft_support","native-source-bodies/openlogic-olp/sets-functions-relations-complete.tex; native-source-bodies/dmoi/edition_source_82336dc87d77c3f18d2cdbc8ec1e74eb3ba38799/source_files/sec_structures-functions.ptx","domain; codomain; range; image; preimage","Keep declared target set distinct from actual values attained; avoid collapsing codomain and range/image.","The domain is A, the codomain is B, and the image/range is the set of values f(x).","dominio A; codominio B; imago/rango f(A)","range/image is unstable across traditions; owners should record local convention and formula context.","Formula neighbors include f: A -> B, im(f), f(A), range(f), f^{-1}(S).","DECLARED INPUT A; DECLARED TARGET B; ATTAINED VALUES f(A)","relation/function language owners","generated-draft; non-canonical; not native reviewed; no accepted terminology"
"2c2df6b09c48aa13b0341219929ae89ff3d5fe33","K-IL-005","injective surjective bijective family","baseline_source_witness_sufficient_for_draft_support","native-source-bodies/openlogic-olp/sets-functions-relations.tex; native-source-bodies/dmoi/edition_source_82336dc87d77c3f18d2cdbc8ec1e74eb3ba38799/source_files/sec_structures-functions.ptx","injective; surjective; bijective; one-to-one; onto","Preserve whether the source uses formal property names or explanatory one-to-one/onto language.","Injective means equal outputs force equal inputs; surjective means every target value is hit; bijective means both.","injectiv: f(x1)=f(x2) => x1=x2; surjectiv: forall y exists x; bijectiv both","one-to-one/onto may be better as glosses than main terms depending on target lane.","Formula neighbors include f(x1)=f(x2), forall y in B exists x in A, bijection inverse.","INJECTIVE: outputs equal -> inputs equal; SURJECTIVE: target covered","relation/function language owners","generated-draft; non-canonical; not native reviewed; no accepted terminology"
"2c2df6b09c48aa13b0341219929ae89ff3d5fe33","K-IL-006","relation properties equivalence order poset","baseline_source_witness_sufficient_for_draft_support","native-source-bodies/openlogic-olp/sets-functions-relations.tex; native-source-bodies/dmoi/edition_source_82336dc87d77c3f18d2cdbc8ec1e74eb3ba38799/source_files/sec_structures-relations.ptx","reflexive; symmetric; antisymmetric; transitive; equivalence relation; partial order","Relation-property names often sit next to quantified formulas; keep property and formula aligned.","Reflexive, symmetric, and transitive support equivalence; reflexive, antisymmetric, and transitive support partial order.","reflexiv; symmetrik; antisymmetrik; transitiv; equivalens; ordo partial","equivalence/order terminology should be owner-checked for local mathematical register.","Formula neighbors include xRx, xRy => yRx, xRy and yRz => xRz, xRy and yRx => x=y.","PROPERTY LIST + QUANTIFIER FORMULA -> RELATION CLASS","relation/function language owners","generated-draft; non-canonical; not native reviewed; no accepted terminology"
"2c2df6b09c48aa13b0341219929ae89ff3d5fe33","K-IL-007","composition inverse arrow reading","baseline_source_witness_sufficient_for_draft_support","native-source-bodies/openlogic-olp/sets-functions-relations.tex; native-source-bodies/dmoi/edition_source_82336dc87d77c3f18d2cdbc8ec1e74eb3ba38799/source_files/sec_structures-functions.ptx","composition; inverse; identity; map; arrow","Composition order and inverse notation can mislead in prose; preserve diagram/arrow direction.","The composition g after f sends x to g(f(x)); an inverse reverses a bijection.","compositio g o f; inversa f^{-1}; identitas id_A","after/of order needs owner attention; some languages read composition right-to-left explicitly.","Formula neighbors include g o f, g(f(x)), f^{-1}, id_A, A -> B -> C.","x --f--> f(x) --g--> g(f(x))","relation/function language owners","generated-draft; non-canonical; not native reviewed; no accepted terminology"
"2c2df6b09c48aa13b0341219929ae89ff3d5fe33","K-IL-008","finite infinite equinumerosity","baseline_source_witness_sufficient_for_draft_support","native-source-bodies/openlogic-olp/sets-functions-relations-complete.tex; native-source-bodies/dmoi/edition_source_82336dc87d77c3f18d2cdbc8ec1e74eb3ba38799/source_files/sec_structures-sets.ptx","finite; infinite; countable; cardinality; same size; bijection","Use bijection context to distinguish same cardinality from ordinary physical size.","Two sets have the same cardinality when there is a bijection between them.","finit/infin; kardinalitas; eknumeral per bijection","same size can be a teaching gloss; cardinality/equinumerosity may be formal register.","Formula neighbors include |A|=|B|, exists bijection f: A -> B, countable/infinite.","SAME-NUMBER-OF-ELEMENTS iff BIJECTION EXISTS","set-theory and relation/function language owners","generated-draft; non-canonical; not native reviewed; no accepted terminology"
"2c2df6b09c48aa13b0341219929ae89ff3d5fe33","K-IL-009","OpenIntro numeracy to function bridge","baseline_source_witness_sufficient_for_draft_support","native-source-bodies/openintro/github_ims_index_qmd_at_b88f367a.qmd; source-witnesses/openintro/openintro_ims_book_page.html; source-witnesses/openintro/openintro_license_page.html","variable; rate; table; input; output; model","Numeracy examples may introduce function language through tables, rates, and modeled variables rather than abstract set maps.","A function-like model assigns an output quantity to each input value in context.","quantitas input -> output; model functio-like; rata/table context","rate/model/table language belongs to numeracy owner; avoid importing abstract algebra register too early.","Formula neighbors include y=f(x), table columns, rate units, regression/model notation.","CONTEXT VARIABLE x -> MEASURED/MODELED VALUE y","OpenIntro numeracy owner lane","generated-draft; non-canonical; not native reviewed; no accepted terminology"
"2c2df6b09c48aa13b0341219929ae89ff3d5fe33","K-IL-010","linear map and abstract algebra extension","baseline_source_witness_sufficient_for_draft_support","native-source-bodies/aata/project_ptx_at_master.ptx; source-witnesses/fcla/README_at_master.md; source-witnesses/fcla/COPYING_at_master.txt","linear map; homomorphism; kernel; image; structure-preserving map","Advanced algebra terms are only bridge witnesses here; route detailed construction to advanced algebra owners.","A homomorphism or linear map preserves the relevant structure; kernel and image record special subsets.","mapa linear; homomorfismo; kernel; imago; preserva structura","linear map vs homomorphism vs transformation depends on target tradition and algebra level.","Formula neighbors include T(u+v)=T(u)+T(v), T(cu)=cT(u), ker(T), im(T).","MAP preserves operation/structure -> kernel/image record behavior","advanced algebra/Noether owner lane; Session D for novel construction method issues","generated-draft; non-canonical; not native reviewed; no accepted terminology"
