manual_review_id,frontier,row_id,language_lane,english_concept,draft_target_rendering,source_gate,review_status,target_witness_ids,target_source_entries,source_context_note,formula_neighboring_usage_note,codepoint_tex_pdf_note,next_action,non_claim_boundary,requested_frontier,observed_checkout_head,current_frontier_effect,previous_cjk_frontier
8b-row-review-0001,8b525a12d3f6541c8bd6c3af2f8e56bf5098d898,term-ja-0004,japanese,field,体,native_source_candidate,source-context-manual-review,ja-src-001,"matsumura.tex, section*.tex, matsumura.pdf",Japanese candidate: inspect Matsumura TeX/PDF context first,"Use near formulas only with the exact source anchor already present in the row packet; keep TeX variables, ideals/modules/rings, and arrows/macros unchanged. Use UTF-8 and a CJK-capable TeX/PDF path. Do not split the target term across inline math; check punctuation, CJK/Latin spacing, and line breaks around formulas.",Use UTF-8; keep CJK terms outside math mode; verify CJK-capable TeX/PDF rendering and formula-adjacent spacing before reviewer packet use.,context-filter hits and move safe rows into source-backed draft packet,generated-draft/non-canonical/source-use/gap support only; not native review/not accepted terminology/not approval/not license clearance/not gate promotion/not source certification/not final status/not bridge-pilot/not visual inventory/not term spine/not sign rendering/not translation completion,eb15c5dd5c0da522921a0342911aeb804c8cc3f4,4ad9b266e47c2981979d46d2856bd5e3c3da861c,carried forward under EB15C5DD; branch delta is R6 source-start route/source-use context and adds no direct JP/zh-Hans source-body row movement,732b5139b66ff3a849ce16d6c79a66a168b061e2
8b-row-review-0002,8b525a12d3f6541c8bd6c3af2f8e56bf5098d898,term-ja-0012,japanese,free module,自由加群,native_source_candidate,source-context-manual-review,ja-src-001,"matsumura.tex, section*.tex, matsumura.pdf",Japanese candidate: inspect Matsumura TeX/PDF context first,"Use near formulas only with the exact source anchor already present in the row packet; keep TeX variables, ideals/modules/rings, and arrows/macros unchanged. Use UTF-8 and a CJK-capable TeX/PDF path. Do not split the target term across inline math; check punctuation, CJK/Latin spacing, and line breaks around formulas.",Use UTF-8; keep CJK terms outside math mode; verify CJK-capable TeX/PDF rendering and formula-adjacent spacing before reviewer packet use.,context-filter hits and move safe rows into source-backed draft packet,generated-draft/non-canonical/source-use/gap support only; not native review/not accepted terminology/not approval/not license clearance/not gate promotion/not source certification/not final status/not bridge-pilot/not visual inventory/not term spine/not sign rendering/not translation completion,eb15c5dd5c0da522921a0342911aeb804c8cc3f4,4ad9b266e47c2981979d46d2856bd5e3c3da861c,carried forward under EB15C5DD; branch delta is R6 source-start route/source-use context and adds no direct JP/zh-Hans source-body row movement,732b5139b66ff3a849ce16d6c79a66a168b061e2
8b-row-review-0006,8b525a12d3f6541c8bd6c3af2f8e56bf5098d898,term-zh-hans-0003,simplified_chinese,basis theorem,基定理,native_source_candidate,source-context-manual-review,zh-Hans-src-001;zh-Hans-src-002,Al-jabr-1/2 main TeX/PDF and chapter*.tex,Simplified Chinese candidate: inspect AlJabr source chapters/PDF context,"Formula-neighboring note: preserve source TeX/math notation and do not upgrade the draft term beyond the cited source context. Use UTF-8 and a CJK-capable TeX/PDF path. Do not split the target term across inline math; check punctuation, CJK/Latin spacing, and line breaks around formulas.",Use UTF-8; keep CJK terms outside math mode; verify CJK-capable TeX/PDF rendering and formula-adjacent spacing before reviewer packet use.,context-filter hits and move safe rows into source-backed draft packet,generated-draft/non-canonical/source-use/gap support only; not native review/not accepted terminology/not approval/not license clearance/not gate promotion/not source certification/not final status/not bridge-pilot/not visual inventory/not term spine/not sign rendering/not translation completion,eb15c5dd5c0da522921a0342911aeb804c8cc3f4,4ad9b266e47c2981979d46d2856bd5e3c3da861c,carried forward under EB15C5DD; branch delta is R6 source-start route/source-use context and adds no direct JP/zh-Hans source-body row movement,732b5139b66ff3a849ce16d6c79a66a168b061e2
8b-row-review-0007,8b525a12d3f6541c8bd6c3af2f8e56bf5098d898,term-zh-hans-0007,simplified_chinese,field,域,native_source_candidate,source-context-manual-review,zh-Hans-src-001;zh-Hans-src-002,Al-jabr-1/2 main TeX/PDF and chapter*.tex,Simplified Chinese candidate: inspect AlJabr source chapters/PDF context,"Use near formulas only with the exact source anchor already present in the row packet; keep TeX variables, ideals/modules/rings, and arrows/macros unchanged. Use UTF-8 and a CJK-capable TeX/PDF path. Do not split the target term across inline math; check punctuation, CJK/Latin spacing, and line breaks around formulas.",Use UTF-8; keep CJK terms outside math mode; verify CJK-capable TeX/PDF rendering and formula-adjacent spacing before reviewer packet use.,context-filter hits and move safe rows into source-backed draft packet,generated-draft/non-canonical/source-use/gap support only; not native review/not accepted terminology/not approval/not license clearance/not gate promotion/not source certification/not final status/not bridge-pilot/not visual inventory/not term spine/not sign rendering/not translation completion,eb15c5dd5c0da522921a0342911aeb804c8cc3f4,4ad9b266e47c2981979d46d2856bd5e3c3da861c,carried forward under EB15C5DD; branch delta is R6 source-start route/source-use context and adds no direct JP/zh-Hans source-body row movement,732b5139b66ff3a849ce16d6c79a66a168b061e2
8b-row-review-0008,8b525a12d3f6541c8bd6c3af2f8e56bf5098d898,term-zh-hans-0008,simplified_chinese,division ring,除环,native_source_candidate,source-context-manual-review,zh-Hans-src-001;zh-Hans-src-002,Al-jabr-1/2 main TeX/PDF and chapter*.tex,Simplified Chinese candidate: inspect AlJabr source chapters/PDF context,"Use near formulas only with the exact source anchor already present in the row packet; keep TeX variables, ideals/modules/rings, and arrows/macros unchanged. Use UTF-8 and a CJK-capable TeX/PDF path. Do not split the target term across inline math; check punctuation, CJK/Latin spacing, and line breaks around formulas.",Use UTF-8; keep CJK terms outside math mode; verify CJK-capable TeX/PDF rendering and formula-adjacent spacing before reviewer packet use.,context-filter hits and move safe rows into source-backed draft packet,generated-draft/non-canonical/source-use/gap support only; not native review/not accepted terminology/not approval/not license clearance/not gate promotion/not source certification/not final status/not bridge-pilot/not visual inventory/not term spine/not sign rendering/not translation completion,eb15c5dd5c0da522921a0342911aeb804c8cc3f4,4ad9b266e47c2981979d46d2856bd5e3c3da861c,carried forward under EB15C5DD; branch delta is R6 source-start route/source-use context and adds no direct JP/zh-Hans source-body row movement,732b5139b66ff3a849ce16d6c79a66a168b061e2
8b-row-review-0009,8b525a12d3f6541c8bd6c3af2f8e56bf5098d898,term-zh-hans-0010,simplified_chinese,finite-dimensional,有限维,native_source_candidate,source-context-manual-review,zh-Hans-src-001;zh-Hans-src-002,Al-jabr-1/2 main TeX/PDF and chapter*.tex,Simplified Chinese candidate: inspect AlJabr source chapters/PDF context,"Formula-neighboring note: preserve source TeX/math notation and do not upgrade the draft term beyond the cited source context. Use UTF-8 and a CJK-capable TeX/PDF path. Do not split the target term across inline math; check punctuation, CJK/Latin spacing, and line breaks around formulas.",Use UTF-8; keep CJK terms outside math mode; verify CJK-capable TeX/PDF rendering and formula-adjacent spacing before reviewer packet use.,context-filter hits and move safe rows into source-backed draft packet,generated-draft/non-canonical/source-use/gap support only; not native review/not accepted terminology/not approval/not license clearance/not gate promotion/not source certification/not final status/not bridge-pilot/not visual inventory/not term spine/not sign rendering/not translation completion,eb15c5dd5c0da522921a0342911aeb804c8cc3f4,4ad9b266e47c2981979d46d2856bd5e3c3da861c,carried forward under EB15C5DD; branch delta is R6 source-start route/source-use context and adds no direct JP/zh-Hans source-body row movement,732b5139b66ff3a849ce16d6c79a66a168b061e2
8b-row-review-0010,8b525a12d3f6541c8bd6c3af2f8e56bf5098d898,term-zh-hans-0011,simplified_chinese,right module,右模,native_source_candidate,source-context-manual-review,zh-Hans-src-001;zh-Hans-src-002,Al-jabr-1/2 main TeX/PDF and chapter*.tex,Simplified Chinese candidate: inspect AlJabr source chapters/PDF context,"Use near formulas only with the exact source anchor already present in the row packet; keep TeX variables, ideals/modules/rings, and arrows/macros unchanged. Use UTF-8 and a CJK-capable TeX/PDF path. Do not split the target term across inline math; check punctuation, CJK/Latin spacing, and line breaks around formulas.",Use UTF-8; keep CJK terms outside math mode; verify CJK-capable TeX/PDF rendering and formula-adjacent spacing before reviewer packet use.,context-filter hits and move safe rows into source-backed draft packet,generated-draft/non-canonical/source-use/gap support only; not native review/not accepted terminology/not approval/not license clearance/not gate promotion/not source certification/not final status/not bridge-pilot/not visual inventory/not term spine/not sign rendering/not translation completion,eb15c5dd5c0da522921a0342911aeb804c8cc3f4,4ad9b266e47c2981979d46d2856bd5e3c3da861c,carried forward under EB15C5DD; branch delta is R6 source-start route/source-use context and adds no direct JP/zh-Hans source-body row movement,732b5139b66ff3a849ce16d6c79a66a168b061e2
8b-row-review-0011,8b525a12d3f6541c8bd6c3af2f8e56bf5098d898,term-zh-hans-0012,simplified_chinese,submodule,子模,native_source_candidate,source-context-manual-review,zh-Hans-src-001;zh-Hans-src-002,Al-jabr-1/2 main TeX/PDF and chapter*.tex,Simplified Chinese candidate: inspect AlJabr source chapters/PDF context,"Use near formulas only with the exact source anchor already present in the row packet; keep TeX variables, ideals/modules/rings, and arrows/macros unchanged. Use UTF-8 and a CJK-capable TeX/PDF path. Do not split the target term across inline math; check punctuation, CJK/Latin spacing, and line breaks around formulas.",Use UTF-8; keep CJK terms outside math mode; verify CJK-capable TeX/PDF rendering and formula-adjacent spacing before reviewer packet use.,context-filter hits and move safe rows into source-backed draft packet,generated-draft/non-canonical/source-use/gap support only; not native review/not accepted terminology/not approval/not license clearance/not gate promotion/not source certification/not final status/not bridge-pilot/not visual inventory/not term spine/not sign rendering/not translation completion,eb15c5dd5c0da522921a0342911aeb804c8cc3f4,4ad9b266e47c2981979d46d2856bd5e3c3da861c,carried forward under EB15C5DD; branch delta is R6 source-start route/source-use context and adds no direct JP/zh-Hans source-body row movement,732b5139b66ff3a849ce16d6c79a66a168b061e2
8b-row-review-0013,8b525a12d3f6541c8bd6c3af2f8e56bf5098d898,term-zh-hans-0015,simplified_chinese,module homomorphism,模同态,native_source_candidate,source-context-manual-review,zh-Hans-src-001;zh-Hans-src-002,Al-jabr-1/2 main TeX/PDF and chapter*.tex,Simplified Chinese candidate: inspect AlJabr source chapters/PDF context,"Use near formulas only with the exact source anchor already present in the row packet; keep TeX variables, ideals/modules/rings, and arrows/macros unchanged. Use UTF-8 and a CJK-capable TeX/PDF path. Do not split the target term across inline math; check punctuation, CJK/Latin spacing, and line breaks around formulas.",Use UTF-8; keep CJK terms outside math mode; verify CJK-capable TeX/PDF rendering and formula-adjacent spacing before reviewer packet use.,context-filter hits and move safe rows into source-backed draft packet,generated-draft/non-canonical/source-use/gap support only; not native review/not accepted terminology/not approval/not license clearance/not gate promotion/not source certification/not final status/not bridge-pilot/not visual inventory/not term spine/not sign rendering/not translation completion,eb15c5dd5c0da522921a0342911aeb804c8cc3f4,4ad9b266e47c2981979d46d2856bd5e3c3da861c,carried forward under EB15C5DD; branch delta is R6 source-start route/source-use context and adds no direct JP/zh-Hans source-body row movement,732b5139b66ff3a849ce16d6c79a66a168b061e2
8b-row-review-0016,8b525a12d3f6541c8bd6c3af2f8e56bf5098d898,term-zh-hans-0018,simplified_chinese,endomorphism,自同态,native_source_candidate,source-context-manual-review,zh-Hans-src-001;zh-Hans-src-002,Al-jabr-1/2 main TeX/PDF and chapter*.tex,Simplified Chinese candidate: inspect AlJabr source chapters/PDF context,"Use near formulas only with the exact source anchor already present in the row packet; keep TeX variables, ideals/modules/rings, and arrows/macros unchanged. Use UTF-8 and a CJK-capable TeX/PDF path. Do not split the target term across inline math; check punctuation, CJK/Latin spacing, and line breaks around formulas.",Use UTF-8; keep CJK terms outside math mode; verify CJK-capable TeX/PDF rendering and formula-adjacent spacing before reviewer packet use.,context-filter hits and move safe rows into source-backed draft packet,generated-draft/non-canonical/source-use/gap support only; not native review/not accepted terminology/not approval/not license clearance/not gate promotion/not source certification/not final status/not bridge-pilot/not visual inventory/not term spine/not sign rendering/not translation completion,eb15c5dd5c0da522921a0342911aeb804c8cc3f4,4ad9b266e47c2981979d46d2856bd5e3c3da861c,carried forward under EB15C5DD; branch delta is R6 source-start route/source-use context and adds no direct JP/zh-Hans source-body row movement,732b5139b66ff3a849ce16d6c79a66a168b061e2
