"frontier_id","route","source_title","source_url","probe_source","source_archive_status","language_topic_tags","license_or_access_signal","hash_or_local_path","blocker_or_reason","upload_policy","non_claim_boundary"
"R3-SAFP-001","Persianate/Tajik lane - fa_IR only","SireJeff Persian linear-algebra TeX source repository","https://github.com/SireJeff/linear-algebra-3blue1brown-notes","web search result: site:github.com xepersian ""linear algebra""","already_indexed_source_level_witness","Persian/Farsi; linear algebra; TeX; XePersian; matrices; eigenvectors","README says educational purpose and original video content belongs to 3Blue1Brown; no separate open-license closure from R3","See current R3 witness/policy rows for already indexed hashes; this frontier row avoids duplicating raw payloads.","Existing R3 source-level witness for Persian linear algebra only; does not close Persian invariant-theory/Noether algebra source gap.","manifest_only_existing_pointer_no_duplicate_payload","Source-canon/source-archive frontier evidence only; no translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, Git staging, commit, or push."
"R3-SAFP-002","Persianate/Tajik lane - fa_IR only","neyof03 linear-algebra-3blue1brown-notes GitHub web-visible TeX lead","https://github.com/neyof03/linear-algebra-3blue1brown-notes","web search/open result showed public GitHub page, persian_notes folder, TeX 100%, MIT license text, Persian/English linear-algebra description","web_visible_but_source_archive_fetch_blocked_or_inconsistent","Persian/Farsi; linear algebra; TeX; potential source archive; GitHub","GitHub web page text says MIT License, but direct git/codeload/shell fetch returned repository-not-found or 404 in this pass; verify before reuse","no source hash; direct shell fetch of repo page returned 404; codeload main/master and git ls-remote failed","Do not admit as source payload until source archive can be fetched and hashed; keep as access inconsistency/source-acquisition blocker.","blocked_not_uploaded_fetch_or_access","Source-canon/source-archive frontier evidence only; no translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, Git staging, commit, or push."
"R3-SAFP-003","Arabic RTL source-canon lane","GitHub repository search: Arabic algebra LaTeX","https://api.github.com/search/repositories?q=Arabic%20algebra%20LaTeX","GitHub repository API, unauthenticated","zero_hit_gap","Arabic; algebra; LaTeX; source archive","not applicable: zero repository hits","total_count=0","No Arabic algebra LaTeX repository surfaced by this exact GitHub API query.","gap_only_no_payload","Source-canon/source-archive frontier evidence only; no translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, Git staging, commit, or push."
"R3-SAFP-004","Arabic RTL source-canon lane","GitHub repository search: Arabic linear algebra tex","https://api.github.com/search/repositories?q=Arabic%20linear%20algebra%20tex","GitHub repository API, unauthenticated","zero_hit_gap","Arabic; linear algebra; TeX; source archive","not applicable: zero repository hits","total_count=0","No Arabic linear-algebra TeX repository surfaced by this exact GitHub API query.","gap_only_no_payload","Source-canon/source-archive frontier evidence only; no translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, Git staging, commit, or push."
"R3-SAFP-005","Arabic RTL source-canon lane","GitHub repository search: Arabic-script linear algebra latex query","https://api.github.com/search/repositories?q=%D8%AC%D8%A8%D8%B1%20%D8%AE%D8%B7%D9%8A%20latex","GitHub repository API, unauthenticated","zero_hit_gap","Arabic; linear algebra; LaTeX; source archive","not applicable: zero repository hits","total_count=0","No Arabic-script linear-algebra LaTeX repository surfaced by this exact GitHub API query.","gap_only_no_payload","Source-canon/source-archive frontier evidence only; no translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, Git staging, commit, or push."
"R3-SAFP-006","Persianate/Tajik lane - fa_IR only","GitHub repository search: Persian linear algebra xepersian","https://api.github.com/search/repositories?q=Persian%20linear%20algebra%20xepersian","GitHub repository API, unauthenticated","zero_hit_gap_for_exact_query","Persian/Farsi; linear algebra; XePersian; source archive","not applicable for exact-query zero hit; web topic search separately found Persian linear-algebra TeX leads","total_count=0","Exact GitHub API query did not surface a repo; web/GitHub topic search remains the better source for SireJeff/neyof03 style leads.","gap_only_for_exact_query_no_payload","Source-canon/source-archive frontier evidence only; no translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, Git staging, commit, or push."
"R3-SAFP-007","Persianate/Tajik lane - fa_IR only","GitHub repository search: Persian Noetherian-ring TeX query","https://api.github.com/search/repositories?q=%D8%AD%D9%84%D9%82%D9%87%20%D9%86%D9%88%D8%AA%D8%B1%DB%8C%20tex","GitHub repository API, unauthenticated","zero_hit_gap","Persian/Farsi; Noetherian ring; TeX; source archive","not applicable: zero repository hits","total_count=0","No Persian/Farsi Noetherian-ring TeX repository surfaced by this exact GitHub API query.","gap_only_no_payload","Source-canon/source-archive frontier evidence only; no translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, Git staging, commit, or push."
"R3-SAFP-008","Persianate/Tajik lane - tg_Cyrl_TJ separate gate","GitHub repository search: Tajik algebra latex","https://api.github.com/search/repositories?q=Tajik%20algebra%20latex","GitHub repository API, unauthenticated","zero_hit_gap","Tajik Cyrillic; algebra; LaTeX; source archive","not applicable: zero repository hits","total_count=0","No Tajik algebra LaTeX repository surfaced by this exact GitHub API query.","gap_only_no_payload","Source-canon/source-archive frontier evidence only; no translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, Git staging, commit, or push."
"R3-SAFP-009","Persianate/Tajik lane - fa_IR only","GitHub repository API search rate-limit blocker after source-archive queries","https://api.github.com/search/repositories","GitHub repository API, unauthenticated","search_access_blocker","Persian/Farsi; XePersian; algebra; source archive search frontier","GitHub API access/rate limit; no source license conclusion","queries xepersian algebra and fa_IR LaTeX algebra returned 403 rate limit exceeded","Additional GitHub API source-archive probing needs authenticated or later retry; do not infer source absence from rate-limited queries.","blocker_only_no_payload","Source-canon/source-archive frontier evidence only; no translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, Git staging, commit, or push."
"R3-SAFP-010","novel_or_blocked_false_positive","Web false positives for Arabic source-archive queries","https://github.com/Nicholas42/AlgebraFranke/blob/master/AlgebraI/Alg1.tex","web search: site:github.com Arabic/Noetherian/TeX variants","false_positive_not_target_language","English TeX; Noetherian rings; LaTeX arabic counter word only","not checked after rejection","not fetched; web result text is English TeX using LaTeX arabic numbering, not Arabic language","Reject as Arabic evidence; contains English noetherian-ring math but not target-language Arabic source corpus.","rejection_row_no_payload","Source-canon/source-archive frontier evidence only; no translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, Git staging, commit, or push."
