unit_id,start_line,end_line,chars,utf8_bytes,source_sha256,source_path,start_excerpt
P01,382,473,8108,8188,53E7BA2F217E58E7212E3E4295D2FE5D9466FEBCE4ECE58841657958D4873DB4,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex,{\Large\bfseries 1. Über die Bildung des Formensystems der ternären\ biquadratischen Form.}\par
P02,474,3523,146108,146717,7232355BD713E40C51BD8476D845BA4690F217B48A3799B9563A6D2FB1A5DCF3,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex,{\Large\bfseries 2. Über die Bildung des Formensystems der ternären\ biquadratischen Form\footnote{Ein kurzer Auszug aus Einleitung und Kapitel I ist in den \gl
P03,3524,3561,8215,8313,C6D3E1B29A0CA6260C34DB67CE518C8F2E5448D331E81FA1C7E155778C3B7CD1,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex,"{\Large\bfseries 3. Zur Invariantentheorie der Formen von $n$ Variabeln.\srcfn{1)}{Vortrag, gehalten auf der Salzburger Naturforscherversammlung 1909.}}\par"
P04,3562,4509,100068,100419,9FC3F05AECA4F993BDDCE711E4D4AEFEDF2791FAA04BF5F8141A2B33776C2EB7,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex,{\Large\bfseries Zur Invariantentheorie\\
P05,4510,4550,8055,8176,618A1253ECA9390D37B8564D570E25E77945FB1BCB60862AC88EAAF0839E0DC0,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex,"{\Large\bfseries 5. Rationale Funktionenkörper.\srcfn{1)}{Vortrag, gehalten auf der Naturforscherversammlung Wien 1913.}}\par"
P06,4551,5815,92588,93572,76E910B534E8EDA2BE1486B624CC504DB0A5D2E887FDAAB1147F222B415274C0,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex,{\Large\bfseries 6. Körper und Systeme rationaler Funktionen}\par
P07,5816,5930,8451,8523,18EB5FFBE8A5CA1031AF7922F76486C50FC8FC20F97F5C9243BE230305835554,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex,\section*{7. Der Endlichkeitssatz der Invarianten endlicher Gruppen}
P08,5931,6321,25110,25256,63C3F5D3CC4899F1F5D0E07D5317C1336D61573242540A4BA75453790572A5A8,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex,\section*{8. Über ganze rationale Darstellung der Invarianten eines Systems von beliebig vielen Grundformen}
P09,6322,7653,76777,77798,7C9C4970145A374552E0D68C5A5C8B5614447086737D808E2235805E38217FA7,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex,\section*{9. Die allgemeinsten Bereiche aus ganzen transzendenten Zahlen}
P10,7654,7854,27851,28142,4EDD9F5B95EE308344B11190088C6D864FB4456AC8AD20E152FA1254E5612234,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex,\section*{10. Die Funktionalgleichungen der isomorphen Abbildung.}
P11,7855,8060,25404,25720,DE540AFFE512CF39871019A946F7CEBA9FFF04ADFB54FA1D531E5A40ADA5CBA1,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex,\section*{11. Gleichungen mit vorgeschriebener Gruppe.}
P12,8061,8461,18524,18724,CD538526814F2E5812FE1D8C03ACF2BBDB0FED7F45ECC7DE5802394B07E05652,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex,\section*{12. Invarianten beliebiger Differentialausdrücke.}
P13,8462,9077,57221,57812,F785988F9923D89D4F352A95EC40070FC0938A8416B5A8C32835CAA63CC04C3F,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex,\section*{13. Invariante Variationsprobleme.}
P14,9078,9256,62923,63758,9DB240C8CC76AFBE3C95853AAB0F58BA9965EE5AFC301B2EF52F072033854964,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex,"{\Large\bfseries 14. Die arithmetische Theorie der algebraischen Funktionen einer Veränderlichen, in ihrer Beziehung zu den übrigen Theorien und zu der Zahlkörp"
P15,9257,9876,47167,47476,DD8FD99E948DC0D16831B35E82C02483446867BEA949C9673D1E864366ABD49B,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex,\section*{15. Die Endlichkeit des Systems der ganzzahligen Invarianten binärer Formen.}
P16,9877,10043,16710,16822,D3B4FD013B380BAC9C5C5A6144D61345F2E4578051DAEE1C09FE94E0E73AB777,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex,\section*{16. Zur Reihenentwicklung in der Formentheorie.}
P17,10044,11190,93178,93905,E2C254B35629D7211201AB449A487EB90305A29E3D2F533064D4C9B10C0F2A91,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex,"% Paper 17: publication metadata is retained in the provenance ledger, not the reader text."
