record_id,work_or_layer,languages,path,evidence_role,authority_state,caveat
GOV-001,user-verbatim authority,multilingual,C:\Users\Floris\Documents\interlanguage\00_governance\USER_VERBATIM_THREAD_BRIEF_20260717.md,governance,current,"Read before lane decisions"
METH-001,research reconciliation,multilingual,C:\Users\Floris\Documents\interlanguage\01_methodology\research_department\README.md,methodology,current,"Routes to mandatory method files"
METH-002,Romance lane handoff,Romance,C:\Users\Floris\Documents\interlanguage\01_methodology\research_department\LANE_HANDOFFS\ROMANCE.md,methodology,current,"Typed evidence graph plus declared family/cohort tree"
PUB-001,public archive current,all,C:\IL_GitHub\00_main_current,source-and-record shelf,current public disk state,"Records must be read per work; public state can lag a newer local package"
PUB-002,public work sources,"Noether; SGA; EGA; Deligne; Dedekind; Dirichlet; Gauss; Riemann; Steinitz; Sylvester; Weber; classical; non-European; author clusters; Ukrainian applied mathematics",C:\IL_GitHub\00_main_current\sources,source shelf,mixed,"Per-work status varies"
PUB-003,public work records,all,C:\IL_GitHub\00_main_current\docs\records,status and provenance,current public disk state,"Not a substitute for source inspection"
NOE-001,Noether R823 German complete package,German,C:\Users\Floris\Documents\Papors\Chatnotes\CHat translates and clean\Noether Multilingual\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717_COMPLETE.zip,source authority,current local authority,"SHA-256 recorded in recovery audit; preserve ZIP"
NOE-002,Noether public German control v26 R822,German,C:\IL_GitHub\00_main_current\sources\noether\current-german-source-control-v26-r822-20260717,public source control,public-current,"Older than local R823 authority"
NOE-003,Noether recovered Spanish cumulative,Spanish,C:\Users\Floris\Downloads\codex backup dump 7-4\$germanOut\sources\non_slavic_existing_translation_artifacts\zenodo_20836874_20260628\extracted\12_Noether_-_Spanish_Current_RA10_20260612\cumulative\cum_es.tex,translation memory,incomplete recovered draft,"Nominal Papers 1-43; no R823 terminal scope"
NOE-004,Noether Spanish RA10 original archive,Spanish,C:\Users\Floris\Documents\Papors\Chatnotes\CHat translates and clean\Noether Multilingual\N_RA10_20260605,translation memory,incomplete older draft,"Compiled 435-page witness; predates R823"
NOE-005,Noether recovered French cumulative,French,C:\Users\Floris\Downloads\codex backup dump 7-4\$germanOut\sources\non_slavic_existing_translation_artifacts\zenodo_20836874_20260628\extracted\14_Noether_-_French_and_Simplified_Chinese_Checkpoint_P19s06_20260612\tex\cum_fr_P43.tex,translation memory,incomplete recovered draft,"Misleading package name; nominal Papers 1-43; linguistic defects remain"
NOE-006,Noether French P19s06 original checkpoint,French,C:\Users\Floris\Documents\Papors\Chatnotes\CHat translates and clean\Noether Multilingual\N_FRZH_P19s06_20260610_extracted_by_codex\N_FRZH_P19s06_20260610,translation memory,source-scanned checkpoint,"Ends at Paper 19 section 6 in this package; not the furthest recovered French state"
NOE-007,Noether French Codex,French,C:\Users\Floris\Documents\Papors\Chatnotes\CHat translates and clean\Noether French Codex,translation memory,mixed,"Early-paper compiled and audited witnesses; filenames do not prove completeness"
NOE-008,Noether multilingual archive,multilingual,C:\Users\Floris\Documents\Papors\Chatnotes\CHat translates and clean\Noether Multilingual,archive shelf,mixed,"Preserve originals; contains source audits and many checkpoint packages"
NOE-009,Noether current Romance R823 lane,French; Spanish; controlled Romance,C:\Users\Floris\Documents\interlanguage\03_projects\language_management\romance\03_redo_ultra_20260717,active working layer,active,"Noether work is incomplete; controlled-Romance T001 is a test only"
SGA-001,SGA6 current French rescribe,French,C:\IL_GitHub\00_main_current\sources\sga\sga6-claude-workpass-source-rescribe-20260704,source control,source-checked through declared frontier,"Later scaffold is inherited and not certified"
SGA-002,SGA6 Expose X idx532-537 bounded packet,French; English,C:\IL_GitHub\00_main_current\sources\sga\sga6-claude-workpass-source-rescribe-20260704\english_source_checked_restart\working_exposeX_idx532_537_en,bounded source witness,row-verified six-page packet,"English is comparison control; French plus scans control content"
SGA-003,SGA5 high-fidelity semi-restart,French; English,C:\Users\Floris\Documents\Papors\Chatnotes\CHat translates and clean\SGA high fidelity semi restart,historical working archive,incomplete/error-bearing,"Do not call certified"
SGA-004,SGA continuation archive,multilingual,C:\Users\Floris\Documents\Papors\Chatnotes\CHat translates and clean\SGA continuation 2,repair and witness archive,mixed,"Contains duplicates and repair evidence"
SGA-005,SGA restart archive,multilingual,C:\Users\Floris\Documents\Papors\Chatnotes\CHat translates and clean\SGA restart,working archive,mixed,"Inspect per unit"
SGA-006,SGA translation archive,multilingual,C:\Users\Floris\Documents\Papors\Chatnotes\CHat translates and clean\translations\SGA + translation,translation memory,mixed,"Batch histories and multiple SGA volumes"
EGA-001,EGA French volumes and partial English,French; English,C:\IL_GitHub\00_main_current\sources\ega,source shelf,French source PDFs authoritative; English partial,"All eight NUMDAM French volumes present; English draft incomplete"
DEL-001,Deligne source and working editions,French; English,C:\IL_GitHub\00_main_current\sources\deligne,source and translation shelf,mixed,"Read docs record before promotion"
ROM-001,Romance B3 transfer-ready bodies,Spanish; French; Italian; Portuguese,C:\IL_GitHub\01_other_pc_full\language-source-bodies\romance-b3-transfer-ready-20260706,native target-register witness shelf,discovered/manifested,"No native review or blanket license clearance; row and sense checks required"
ROM-002,Romance-Germanic baseline bodies,Romance; Germanic,C:\IL_GitHub\01_other_pc_full\language-source-bodies\romance-germanic-baselines-20260705-spanish-san-salvador,native target-register witness shelf,discovered,"San Salvador license gap remains"
ROM-003,French-Spanish native math register,French; Spanish,C:\Users\Floris\Downloads\codex backup dump 7-4\$germanOut\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register,native target-register witness shelf,recovered,"52 accepted sources recorded; exact rows still require sense checks"
METH-003,live interlanguage methodology,multilingual,C:\Users\Floris\Documents\CLAUDE PLEASE DONT DELETE WINDOWS 32\_claude_aid\interlingua_program_20260704,method and historical ledgers,mixed,"New research reconciliation overrides scalar/readiness language"
ROOT-001,Papors work archive,"Bianchi; Cayley; Dedekind; Deligne; Dirichlet; Frobenius; Galois; Gauss; Gordan; Kronecker; Noether; Poincare; SGA; Weber; others",C:\Users\Floris\Documents\Papors\Chatnotes\CHat translates and clean,archive shelf,mixed,"Inventory roots first; preserve originals"
