unit_id,source_start_line,source_end_line,source_chars,source_sha256,target_start_line,target_end_line,target_chars,target_sha256,status,review_evidence,notes
P01,382,473,8108,53E7BA2F217E58E7212E3E4295D2FE5D9466FEBCE4ECE58841657958D4873DB4,302,388,7679,7ABC8B5E4F818447CB4EBCE69BFB23252ECA4B310DD8D53FC5ECD9BC4DD5789D,pending-source-reconciliation,,hash changed; prior status pending-source-reconciliation invalidated
P02,474,3523,146108,7232355BD713E40C51BD8476D845BA4690F217B48A3799B9563A6D2FB1A5DCF3,389,3298,139663,AB998F8B3E32AEF467FBFCF0324554B24AA99F9EB714EA8BDC47185AABE7B4C2,pending-source-reconciliation,,hash changed; prior status pending-source-reconciliation invalidated
P03,3524,3561,8215,C6D3E1B29A0CA6260C34DB67CE518C8F2E5448D331E81FA1C7E155778C3B7CD1,3299,3337,8433,9B0FFFCAB07E30825E11277692D90A47A2254411708F8D113C6C8FE24B138265,pending-source-reconciliation,,hash changed; prior status pending-source-reconciliation invalidated
P04,3562,4509,100068,9FC3F05AECA4F993BDDCE711E4D4AEFEDF2791FAA04BF5F8141A2B33776C2EB7,3338,4257,98978,DD471C9D5624A6CA750BDC80E4D1CAD9BBA78AC4E5FD7C83D9AC84CB1F928915,pending-source-reconciliation,,hash changed; prior status pending-source-reconciliation invalidated
P05,4510,4550,8055,618A1253ECA9390D37B8564D570E25E77945FB1BCB60862AC88EAAF0839E0DC0,4258,4298,8155,5620527DEAE36C772E1699537FF1CFDC22A3564DABF11CA82C625C267BE09533,pending-source-reconciliation,,hash changed; prior status pending-source-reconciliation invalidated
P06,4551,5815,92588,76E910B534E8EDA2BE1486B624CC504DB0A5D2E887FDAAB1147F222B415274C0,4299,5544,94071,95CE27B974F1DB80098F33983163A9259223E0044556AF13950DA8964E188D3B,pending-source-reconciliation,,
P07,5816,5930,8451,18EB5FFBE8A5CA1031AF7922F76486C50FC8FC20F97F5C9243BE230305835554,5545,5663,8401,1314CD4F5412B844ED1319B03C00880CC77131D9B3E4023D18E2FF154E444BFC,pending-source-reconciliation,,
P08,5931,6321,25110,63C3F5D3CC4899F1F5D0E07D5317C1336D61573242540A4BA75453790572A5A8,5664,6037,24926,D47E50F8A27009B4FA47C433E3E24DC771F7F650E504C799CF043C03ED73FCE9,pending-source-reconciliation,,
P09,6322,7653,76777,7C9C4970145A374552E0D68C5A5C8B5614447086737D808E2235805E38217FA7,6038,6523,75543,AA614F15671735D5366C744895D304C364FBFA00BFEF9C08DEBE416013F02E29,pending-source-reconciliation,,hash changed; prior status pending-source-reconciliation invalidated
P10,7654,7854,27851,4EDD9F5B95EE308344B11190088C6D864FB4456AC8AD20E152FA1254E5612234,6524,6745,27884,FC83FFB567AB8EB638BD42058F8CECF1E726AEF3A0838E02787C100A8874AE5C,pending-source-reconciliation,,hash changed; prior status pending-source-reconciliation invalidated
P11,7855,8060,25404,DE540AFFE512CF39871019A946F7CEBA9FFF04ADFB54FA1D531E5A40ADA5CBA1,6746,6998,25552,6EF713E7E93C7FD0D63E824178767080CD1CDCFC30856421B1B40C003853EC94,pending-source-reconciliation,,hash changed; prior status pending-source-reconciliation invalidated
P12,8061,8461,18524,CD538526814F2E5812FE1D8C03ACF2BBDB0FED7F45ECC7DE5802394B07E05652,6999,7394,19121,66623752875F18330E7684481D7C67C964E7F8F0EC63FB5B21D95FDC1B7FC579,pending-source-reconciliation,,hash changed; prior status pending-source-reconciliation invalidated
P13,8462,9077,57221,F785988F9923D89D4F352A95EC40070FC0938A8416B5A8C32835CAA63CC04C3F,7395,8023,57802,1C502F4793F2F4E4BE40F84C2C28CD889F15255BECA3421256F31AF456D0F64B,pending-source-reconciliation,,hash changed; prior status pending-source-reconciliation invalidated
P14,9078,9256,62923,9DB240C8CC76AFBE3C95853AAB0F58BA9965EE5AFC301B2EF52F072033854964,8024,8248,63775,4ED359FEFC7031EF78910C5FE404751987F579ECFCFC3BD43853AA303B6F13EB,pending-source-reconciliation,,hash changed; prior status pending-source-reconciliation invalidated
P15,9257,9876,47167,DD8FD99E948DC0D16831B35E82C02483446867BEA949C9673D1E864366ABD49B,8249,8898,46861,A82388A04A1C0ABE69C98B6BA22EF357BE8CA7B3E80731BB944EA5AA98A23775,pending-source-reconciliation,,hash changed; prior status pending-source-reconciliation invalidated
P16,9877,10043,16710,D3B4FD013B380BAC9C5C5A6144D61345F2E4578051DAEE1C09FE94E0E73AB777,8899,9111,18358,5DFB6AB93082D36596692AFFAA44E7D01F8BA78DBB8300B21B8C005E645958F5,pending-source-reconciliation,,hash changed; prior status pending-source-reconciliation invalidated
P17,10044,11190,93178,E2C254B35629D7211201AB449A487EB90305A29E3D2F533064D4C9B10C0F2A91,9112,10205,91013,EDB297E49DD425E715299E8F6E9308ACFF10D270F7CFAA378FE19665D9E3F178,pending-source-reconciliation,,hash changed; prior status pending-source-reconciliation invalidated
P18,11191,11219,2525,AF70CA850C29D2F708063EF8354D13A4F99C824F1C35FA37B65094DAAA51C045,10206,10240,2526,B17397ED4D8A0822023464310268A6317195B35A61FDAA67F0132C1CEF1D88F5,pending-source-reconciliation,,hash changed; prior status pending-source-reconciliation invalidated
P19,11220,12370,130338,DFD7279862CD65341F6EFF3DA8155261DD79BA5CA08D3D73A02C8587F22E4B34,10241,11377,125531,50DD54B17BB7CA5C473506EDDB3A4549ACD19D3F034EA35DD1FFE4C0932D3F0E,pending-source-reconciliation,,hash changed; prior status pending-source-reconciliation invalidated
P20,12371,12582,20941,44A8343BD50B9178737D4AAB6A70BDD17E92B0BACB0172294F443E1F1DB33E10,11378,11601,20991,1D9128847F4F54E0621729A5EE9E27DC11E7197D516306EFC19B1BD98BCAFE9F,pending-source-reconciliation,,
P21,12583,12674,9916,25FC435747190F4A18AB0AFD1456473658856C159FE54B46E2E1BAF6CDD7D3AD,11602,11730,10125,9F6C35AC1FDD5D0CBB9B599B1509EF6E822A91C6405E3F569E31402B9A5423BC,pending-source-reconciliation,,
P22,12675,13506,79570,15D42EBE2883194F496D84D37573029446F1FA3713348B9D81D300A8DCEFD7C1,11731,12532,79267,1EF6DA41F74F15BA8907E60FB7DC5D68758B07C5A2990161D43C33FF9E110D85,pending-source-reconciliation,,
P23,13507,13630,22360,15D485648EB211273E39A4B478659E68C5B60414AF5648B0116FD58702ECBE09,12533,12707,22154,75C8A994996BB75BA718BBD0060BDD438B12EA37E3F2EDABB8CBA2D97F453F42,pending-source-reconciliation,,
P24,13631,14119,96910,68C8AF8C01AA8B2837BA72203AEDC5AB98E8809298C43142B70A6C0B1BE34AE2,12708,13227,99713,9C4A26D30014F97A10EF52A376663D1A6AC92924B3283BCD3F96E3B2BAE5BEE7,pending-source-reconciliation,,
P25,14120,14178,13079,60F3335CA5AB41A5D660E54983261ADAA0506334ABBD81A61D15A53B8F3B7258,13228,13278,13345,0DD207775902585752B6DAD7E90E6E5375373D82455DA81887B3E0A2F198DA2E,pending-source-reconciliation,,
P26,14179,14191,1026,9709DCA79782E4E1A6844B99FB3BBBC57CE4914773E8DDCDC3C8712E3C8EC3D7,13279,13290,1080,64F979A682EB7CDB75D3437969C9F6A83A899869BEBD273E62166EEA7B937A4C,pending-source-reconciliation,,
P27,14192,14200,1642,4197C0DA2E8D27214813B1F29C081256F3B3A2C7E3D093A938783ED21B8617C3,13291,13298,1743,656BBC1DDA820C2A3189064E6E981719B597B1E63ED135B6930A150BB3F288F7,pending-source-reconciliation,,
P28,14201,14215,1409,F4CF5829011306550A094F0D794734DD395E50C0ED5FD14B5D3FE716039E5DA9,13299,13312,1463,2F7763144EE81636D076A0E045490CCDAC4AF295D02066ABE08EA7EF6EA4B3D9,pending-source-reconciliation,,
P29,14216,14315,21002,891D952F2CC33C7B8B3BAEA05ACB65B2D659469667ED1D5C5CAECFA64B973F9B,13313,13409,20725,C190704C79D7075B771B8DC51BCDF854CC27A3D727904E01BCD43CECD52095A0,pending-source-reconciliation,,
P30,14316,15576,107827,697FD687DE03F319D106E3D19D21D13062E3CC6BF7BA8B1D5808971DD879212E,13410,14216,104349,544F7026A19E1A573F4E9CDB24D79E4C09B7E96B192D8111EAB0D67D8A777761,pending-source-reconciliation,,
P31,15577,16068,80360,D6B3F636CD5BF45EDC725449B8A84E8A442C90DC43C619820AF27566333D205E,14217,14669,67160,375EA4974046729EF3DBC033ED3A62A68479AE3E730F660CCC7983C753E53176,pending-source-reconciliation,,
P32,16069,16237,22452,F27D12E201C4A3D4780D059D701CB32C4A8055418A2063C3D963A81BDDB556CA,14670,14814,22395,250F0F1CD1C7B3C2515C47C8824B26DEF9BE9CEE3B0F44C84D7165C8E9D2B2C5,pending-source-reconciliation,,
P33,16238,16311,9343,2DA9F57168A2AED355D3067246F46856E9CA22478A6C0927A743AA5DEE15259B,14815,14857,8096,B517B6A9C887ADB15E865B68DF56E2620335CB9308BBC99435E2E1B365CFA9D2,pending-source-reconciliation,,
P34,16312,18335,125667,244C787B9186F773D176E6724D67BAF08C8B00C0D303565187070928F252B580,14858,16798,125927,8E740DFA124599050349FAED93727912615C8CD951C6C2BD0F4CE31F1D57846A,pending-source-reconciliation,,
P35,18336,18599,33102,6769280871EA0257D7C63DB265F3111EC30A777B278F1DDBD77BBD1DF78DED47,16799,16982,30396,73BF28FB37D2792413FEFA9127FD3C22F32D01E906A77AE96879BAA25AAD7D9A,pending-source-reconciliation,,
P36,18600,18613,635,9474842663DE42505D0239DA2ABA1FBF22048ECC89A8D042C3403F69F549C7A6,16983,16994,608,C672359D57E23B5DA742C0A789402EA441A05716A31E4C7C0B308C7D6849D308,pending-source-reconciliation,,
P37,18614,18805,21895,B0C9C13740BAC244C673F60846542569FA296315A80F6261340E2BE5031EBBD3,16995,17181,22173,2D1449B6557E6903B148E47453B2B3861BE3C08F8C4FEB2E4ACD0C4269B16D19,pending-source-reconciliation,,
P38,18806,19026,26456,33744951A70FE09D570135D0FC12076EFE0EDDA74DE3AD9CE4DF1A336B4B3E28,17182,17381,25968,007CB680D7106403E57005C208EB8950E4D369D3803A9DF8706043215DDF8AD7,pending-source-reconciliation,,
P39,19027,19121,18504,A0068835CFBA8F0CFC85D4E8A86E3EA022B83846D7051EE5F90652256E9DE8F3,17382,17497,16970,C9228C8539EC8F7E98EC49CA0F8E5F1C252901F844A12E5502D06CDC8CD7C79F,pending-source-reconciliation,,
P40,19122,19769,82546,7965805D3A75C3354C85BC7A3E4725F07BF869A8833FC19D74E32BE369427937,17498,18323,82380,DCA331271EC9B8E6991ECFE2E7B2FC4FBDA7C79FBB463E49EBB561BCDAEB97CC,pending-source-reconciliation,,
P41,19770,19923,26771,FE2C2B22C884DF204DA733A90594668855D0930C1DD822B527D46ADA5BB695E6,18324,18551,20844,6B1971C4B98B8FDF2A39A2CF05C5BE766CD83C6DCDE4D6354ED8725908A5B7FB,pending-source-reconciliation,,
P42,19924,20156,23721,B6BB3A6267BA8495FC19914A72768351E4923B13374634701AF3CBDE659883CC,18552,18807,19440,951F834878E38FA2BF203C7BDEF630FBA67FA371B15F06C0525448D3B63ADBEF,pending-source-reconciliation,,hash changed; prior status pending-source-reconciliation invalidated
P43,20157,20984,88817,ACC81DC3D9303A6D2D358506AFF477EBFA10B6CDA0F251210461462F31F3511F,18808,19622,91064,2BB26166710C6F74D45BED4338F150AF5F4D7320DF775C4B645735232F5D4710,pending-source-reconciliation,,hash changed; prior status pending-source-reconciliation invalidated
BOOK_TITLE_INTRO,20985,21060,4784,EE0961B423D3DE5325AFF57DDE559CE64817FBE1CB8F1D1A1B290BC9ECA020F6,19623,19699,5019,2671734EA020400B47052AA97EE593E70C354E858672D7596A98E3CDAC8D5ADD,pending-source-reconciliation,,hash changed; prior status pending-source-reconciliation invalidated
BOOK_S01,21061,21088,1835,0F1710DAE06E6F55E55E84904AD8D5FA0789C3C56A057E9FBB43F955A34A3A04,19700,19727,1702,1C0E463D97EDA9AE38011FB1386F2BED3E8A43790ACCC91A94B5948CE53E5F70,pending-source-reconciliation,,
BOOK_S02,21089,21098,964,A3AA3EFEEBF94086BDD3A6D87D8387541EE1B354E9984A08E363C6B6D174D800,19728,19737,973,3CBE105F07C52B8B6E6B9D72273983E7E76E7E5481FF423D1D3A1BAB319F5D65,pending-source-reconciliation,,
