unit_id,target_start_line,target_end_line,target_chars,target_utf8_bytes,target_sha256,target_root_tex,start_excerpt
P01,302,388,7679,7775,7ABC8B5E4F818447CB4EBCE69BFB23252ECA4B310DD8D53FC5ECD9BC4DD5789D,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,{\Large\bfseries 1. Sobre la formación del sistema de formas de la forma ternaria bicuadrática.}\par
P02,389,3298,139663,140663,AB998F8B3E32AEF467FBFCF0324554B24AA99F9EB714EA8BDC47185AABE7B4C2,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,{\Large\bfseries 2. Sobre la formación del sistema de formas de la forma\ bicuadrática ternaria\footnote{Un breve extracto de la introducción y del capítulo I a
P03,3299,3337,8433,8542,9B0FFFCAB07E30825E11277692D90A47A2254411708F8D113C6C8FE24B138265,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,"{\Large\bfseries 3. Sobre la teoría de invariantes de las formas en $n$ variables\footnote{Conferencia pronunciada en la reunión de naturalistas de Salzburgo, 1"
P04,3338,4257,98978,99869,DD471C9D5624A6CA750BDC80E4D1CAD9BBA78AC4E5FD7C83D9AC84CB1F928915,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,{\Large\bfseries 4. Sobre la teoría de invariantes\\
P05,4258,4298,8155,8290,5620527DEAE36C772E1699537FF1CFDC22A3564DABF11CA82C625C267BE09533,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,"{\Large\bfseries 5. Cuerpos de funciones racionales\footnote{Conferencia pronunciada en la reunión de naturalistas de Viena, 1913.}}\par"
P06,4299,5544,94071,95070,95CE27B974F1DB80098F33983163A9259223E0044556AF13950DA8964E188D3B,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,{\Large\bfseries 6. Cuerpos y sistemas de funciones racionales}\par
P07,5545,5663,8401,8483,1314CD4F5412B844ED1319B03C00880CC77131D9B3E4023D18E2FF154E444BFC,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,\section*{7. El teorema de finitud para los invariantes de grupos finitos}
P08,5664,6037,24926,25106,D47E50F8A27009B4FA47C433E3E24DC771F7F650E504C799CF043C03ED73FCE9,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,\section*{8. Sobre la representación racional entera de los invariantes de un sistema de arbitrariamente muchas formas fundamentales}
P09,6038,6523,75543,76447,AA614F15671735D5366C744895D304C364FBFA00BFEF9C08DEBE416013F02E29,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,{\Large\bfseries 9. Los dominios más generales formados con números trascendentes enteros}\par\vspace{1.2em}
P10,6524,6745,27884,28205,FC83FFB567AB8EB638BD42058F8CECF1E726AEF3A0838E02787C100A8874AE5C,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,{\Large\bfseries 10. Las ecuaciones funcionales de la aplicación\\ isomorfa}\par
P11,6746,6998,25552,25856,6EF713E7E93C7FD0D63E824178767080CD1CDCFC30856421B1B40C003853EC94,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,{\Large\bfseries 11. Ecuaciones con grupo prescrito}\par
P12,6999,7394,19121,19304,66623752875F18330E7684481D7C67C964E7F8F0EC63FB5B21D95FDC1B7FC579,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,{\Large\bfseries 12. Invariantes de expresiones diferenciales arbitrarias}\par
P13,7395,8023,57802,58342,1C502F4793F2F4E4BE40F84C2C28CD889F15255BECA3421256F31AF456D0F64B,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,{\Large\bfseries 13. Problemas variacionales invariantes}\par
P14,8024,8248,63775,64798,4ED359FEFC7031EF78910C5FE404751987F579ECFCFC3BD43853AA303B6F13EB,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,{\Large\bfseries 14. La teoría aritmética de las funciones algebraicas de una variable en su relación con las demás teorías y con la teoría de los cuerpos numér
P15,8249,8898,46861,47378,A82388A04A1C0ABE69C98B6BA22EF357BE8CA7B3E80731BB944EA5AA98A23775,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,{\Large\bfseries 15. La finitud del sistema de invariantes enteros de las formas binarias}\par
P16,8899,9111,18358,18591,5DFB6AB93082D36596692AFFAA44E7D01F8BA78DBB8300B21B8C005E645958F5,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,{\Large\bfseries 16. Sobre el desarrollo en serie en la teoría de formas.}\\[0.5em]
P17,9112,10205,91013,92029,EDB297E49DD425E715299E8F6E9308ACFF10D270F7CFAA378FE19665D9E3F178,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,"% Paper 17: los metadatos de publicación se conservan en el registro de procedencia, no en el texto del lector."
