paper,french_draft_material,french_draft_build,spanish_draft_material,spanish_draft_build,rebase_priority,reason,next_action
P01,present,418-page cumulative,present,409-page cumulative,low,small/current-source or layout delta,verify during cumulative QA
P02,present,418-page cumulative,present,409-page cumulative,low,Spanish layout patch exists; small current-source delta,verify during cumulative QA
P03,present,418-page cumulative,present,409-page cumulative,low,French inline witness and Spanish patch exist; small source delta,verify during cumulative QA
P04,present,418-page cumulative,present,409-page cumulative,low,no material post-build token delta detected,build and visual QA
P05,present,418-page cumulative,present,409-page cumulative,low,independent French scan-fix witness and Spanish patch exist,build and visual QA
P06,present,418-page cumulative,present,409-page cumulative,low,Spanish patch exists; no material post-build token delta detected,build and visual QA
P07,present,418-page cumulative,present,409-page cumulative,low,no material post-build token delta detected,build and visual QA
P08,present,418-page cumulative,present,409-page cumulative,low,no material post-build token delta detected,build and visual QA
P09,present,418-page cumulative,present,409-page cumulative,low,small source drift and Spanish patch exists,reconcile source emphasis
P10,present,418-page cumulative,present,409-page cumulative,low,small French source drift and Spanish patch exists,reconcile source emphasis
P11,present,418-page cumulative,present,409-page cumulative,low,no material French post-build token delta detected,build and visual QA
P12,present,418-page cumulative,present,409-page cumulative,low,no material French post-build token delta detected,build and visual QA
P13,present,418-page cumulative,present,409-page cumulative,medium,notable source drift,rebase after critical tranche
P14,present,418-page cumulative,present,409-page cumulative,low,small source drift,reconcile source changes
P15,present,418-page cumulative,present,409-page cumulative,high,notable source drift in both languages,rebase after P20/P34
P16,present,418-page cumulative,present,409-page cumulative,low,no material French post-build token delta detected,build and visual QA
P17,present,418-page cumulative,present,409-page cumulative,low,small French source drift,reconcile source changes
P18,present,418-page cumulative,present,409-page cumulative,low,no material French post-build token delta detected,build and visual QA
P19,present,418-page cumulative,present,409-page cumulative,high,notable source drift in both languages,rebase after P20/P34
P20,present-old-notation,418-page cumulative,present-old-notation,409-page cumulative,critical,confirmed U_lambda to U_i source correction plus later emphasis changes,repair both languages first
P21,present,418-page cumulative,present,409-page cumulative,low,no material French post-build token delta detected,build and visual QA
P22,present,418-page cumulative,present,409-page cumulative,low,no material French post-build token delta detected,build and visual QA
P23,present,418-page cumulative,present,409-page cumulative,low,small source drift,reconcile source changes
P24,present,418-page cumulative,present,409-page cumulative,medium,notable French and smaller Spanish source drift,rebase after high queue
P25,present,418-page cumulative,present,409-page cumulative,low,no material French post-build token delta detected,build and visual QA
P26,present,418-page cumulative,present,409-page cumulative,low,small source drift,reconcile source changes
P27,present,418-page cumulative,present,409-page cumulative,low,no material French post-build token delta detected,build and visual QA
P28,present,418-page cumulative,present,409-page cumulative,low,no material French post-build token delta detected,build and visual QA
P29,present,418-page cumulative,present,409-page cumulative,medium,notable French source drift,rebase after high queue
P30,present,418-page cumulative,present,409-page cumulative,high,large source drift in both languages,rebase after P20/P34
P31,present,418-page cumulative,present,409-page cumulative,low,small source drift,reconcile source changes
P32,present,418-page cumulative,present,409-page cumulative,low,small source drift,reconcile source changes
P33,present,418-page cumulative,present,409-page cumulative,low,no material French post-build token delta detected,build and visual QA
P34,present-old-notation,418-page cumulative,present-old-notation,409-page cumulative,critical,three confirmed relation signs must change from simeq to sim,repair both languages second
P35,present,418-page cumulative,present,409-page cumulative,medium,small but explicit source drift,reconcile source changes
P36,present,418-page cumulative,present,409-page cumulative,low,no material French post-build token delta detected,build and visual QA
P37,present,418-page cumulative,present,409-page cumulative,low,small source drift; prior audit recorded no change,recheck against R821
P38,present,418-page cumulative,present,409-page cumulative,low,small source drift,reconcile source changes
P39,present,418-page cumulative,present,409-page cumulative,medium,notable source drift,rebase after high queue
P40,present,418-page cumulative,present,409-page cumulative,high-french,largest French source drift; Spanish baseline already aligned,rebase French then verify Spanish
P41,present,418-page cumulative,present,409-page cumulative,low,no post-R704 Spanish or post-R549 French token drift detected,build and visual QA
P42,present,418-page cumulative,present,409-page cumulative,low,no post-R704 Spanish or post-R549 French token drift detected,build and visual QA
P43,present,418-page cumulative,present,409-page cumulative,low,small source drift,reconcile source changes
POST44,partial-old-composite-working-chunks,not integrated,absent,not built,critical,R823 contains a complete 31-section book after P43; French chunks use a structurally different composite witness and Spanish has none,rebuild both languages against R823
POST45,standalone-old-witness-v001,not integrated,absent,not built,critical,R823 contains the Kapferer--Noether paper and supplement after the long book,reconcile French to R823 and translate Spanish
POSTBIB,standalone-old-witness-v001,not integrated,absent,not built,critical,R823 contains bibliography and terminal lists beyond the numbered papers,reconcile French to R823 and translate Spanish
