section,source_chars,target_chars,char_ratio,source_displays,target_displays,source_display_rows,target_display_rows,source_inline_math_openers,target_inline_math_openers,source_commands,target_commands,status,note
1,1823,1690,0.9270,3,3,0,0,38,72,41,38,present-structural-review,
2,958,967,1.0094,0,0,0,0,9,18,14,13,present-structural-review,
3,1418,1330,0.9379,2,2,0,0,27,52,58,53,present-structural-review,
4,7122,6441,0.9044,17,18,10,10,79,140,209,193,present-structural-review,
5,1673,1597,0.9546,3,4,3,3,21,40,82,85,present-structural-review,
6,2219,2058,0.9274,1,2,0,0,34,64,67,63,present-structural-review,
7,1632,1536,0.9412,0,0,0,0,32,64,28,29,present-structural-review,
8,945,954,1.0095,0,1,0,0,23,44,30,30,present-structural-review,
9,582,514,0.8832,0,1,0,0,14,24,9,8,present-structural-review,
10,600,554,0.9233,0,0,0,0,15,28,6,5,present-structural-review,
11,6824,6290,0.9217,16,16,0,0,128,246,281,259,present-structural-review,
12,1706,1444,0.8464,7,7,6,4,13,26,104,88,present-structural-review,
13,3394,3335,0.9826,9,10,0,1,43,82,157,148,present-structural-review,
14,1881,1921,1.0213,7,7,0,0,19,19,65,66,present-structural-review,
15,3573,3732,1.0445,6,6,0,0,65,64,87,85,present-structural-review,
16,760,823,1.0829,5,5,4,4,2,3,28,28,present-structural-review,
17,7503,7687,1.0245,11,11,5,5,134,139,289,291,present-structural-review,
18,5476,5582,1.0194,20,20,1,1,81,81,236,236,present-structural-review,
19,9263,9597,1.0361,19,19,17,16,120,122,312,313,present-structural-review,
20,13796,14304,1.0368,15,15,3,3,268,270,320,319,present-structural-review,
21,7300,7511,1.0289,10,10,1,1,122,123,192,193,present-structural-review,
22,8548,8721,1.0202,14,14,0,0,122,122,329,329,present-structural-review,
23,7532,7616,1.0112,23,23,1,1,127,127,286,284,present-structural-review,
24,20844,21794,1.0456,60,60,6,6,336,335,855,855,present-structural-review,
25,11879,12275,1.0333,44,44,3,3,168,170,291,292,present-structural-review,
26,3708,3703,0.9987,8,8,1,1,50,50,100,99,present-structural-review,
27,10600,9617,0.9073,16,17,2,2,195,324,302,266,present-structural-review,
28,9767,10391,1.0639,14,14,1,1,136,136,357,357,present-structural-review,
29,1893,1731,0.9144,2,3,0,0,30,48,40,43,present-structural-review,
30,5183,4615,0.8904,8,8,1,1,73,120,128,125,present-structural-review,
31,4793,4270,0.8909,1,2,0,0,78,136,87,78,present-structural-review,
