paper,source_chars,target_chars,char_ratio,source_displays,target_displays,source_display_rows,target_display_rows,source_inline_math_openers,target_inline_math_openers,source_math_tokens,target_math_tokens,math_token_ratio,source_commands,target_commands,status,note
1,8090,7657,0.9465,7,7,2,2,36,19,447,417,0.9329,145,96,present-structural-review,
2,145644,139220,0.9559,271,269,543,507,1840,1828,33838,32805,0.9695,7734,7457,present-structural-review,
3,8196,8418,1.0271,0,2,1,1,104,104,170,406,2.3882,109,107,present-structural-review,
4,99794,98620,0.9882,119,119,57,45,1282,1276,15937,15593,0.9784,3587,3420,present-structural-review,
5,8037,8137,1.0124,1,1,0,0,30,30,47,43,0.9149,33,26,present-structural-review,
6,92254,93359,1.0120,141,143,25,24,1808,1804,12307,11447,0.9301,2570,2490,present-structural-review,
7,8361,8312,0.9941,12,12,3,3,106,106,1219,1223,1.0033,226,218,present-structural-review,
8,24863,24681,0.9927,50,50,7,6,604,604,3897,3765,0.9661,893,835,present-structural-review,
9,76608,75376,0.9839,43,48,6,2,1936,1894,5580,5327,0.9547,2002,1843,present-structural-review,
10,27817,27841,1.0009,26,26,9,9,349,704,2624,2655,1.0118,600,575,present-structural-review,
11,25376,25520,1.0057,28,29,2,2,416,410,2838,2707,0.9538,670,621,present-structural-review,
12,18482,19092,1.0330,7,22,19,18,135,133,1208,2268,1.8775,507,533,present-structural-review,
13,57116,57672,1.0097,75,90,11,8,498,497,6282,7100,1.1302,1960,1974,present-structural-review,
14,62807,63666,1.0137,5,16,0,0,437,432,1832,1871,1.0213,803,604,present-structural-review,
15,45628,45319,0.9932,64,107,14,11,466,457,5384,7021,1.3040,1314,1251,present-structural-review,
16,16351,17940,1.0972,10,21,14,13,244,122,1184,1954,1.6503,431,506,present-structural-review,
17,92646,90473,0.9765,145,145,41,36,2033,2036,11098,10931,0.9850,3298,3155,present-structural-review,
18,2452,2427,0.9898,0,2,1,1,51,48,218,227,1.0413,57,46,present-structural-review,
19,129835,124919,0.9621,95,127,20,22,2866,2749,13034,12423,0.9531,3894,3295,present-structural-review,
20,20862,20913,1.0024,12,29,9,6,474,476,1549,2670,1.7237,539,533,present-structural-review,
21,9885,10058,1.0175,5,12,6,5,98,98,432,968,2.2407,271,269,present-structural-review,
22,79209,78954,0.9968,105,105,20,16,2271,2278,12695,12648,0.9963,2630,2544,present-structural-review,
23,22301,22078,0.9900,5,14,1,17,240,178,913,1695,1.8565,352,350,present-structural-review,
24,96694,99491,1.0289,45,54,8,3,2546,2524,9508,9579,1.0075,1774,1765,present-structural-review,
25,13055,13323,1.0205,3,3,1,0,304,302,810,807,0.9963,153,146,present-structural-review,
26,1020,1074,1.0529,0,0,0,0,0,0,0,0,1.0000,4,3,present-structural-review,
27,1638,1739,1.0617,0,0,0,0,12,12,30,41,1.3667,8,15,present-structural-review,
28,1402,1456,1.0385,0,0,0,0,0,0,0,0,1.0000,5,3,present-structural-review,
29,20957,20680,0.9868,5,7,2,0,610,608,1888,1881,0.9963,342,331,present-structural-review,
30,106640,103148,0.9673,79,87,9,1,2870,2744,7685,7062,0.9189,3438,2820,present-structural-review,
31,80004,66610,0.8326,33,47,18,5,2322,1856,5961,4398,0.7378,1992,1439,present-structural-review,
32,22264,22210,0.9976,19,19,19,10,506,502,1491,1517,1.0174,305,256,present-structural-review,
33,9327,8081,0.8664,2,2,8,5,52,28,192,141,0.7344,136,27,present-structural-review,
34,122335,122074,0.9979,235,259,89,44,2991,2881,13266,12438,0.9376,3936,3425,present-structural-review,
35,32701,30330,0.9275,6,5,3,1,944,938,3173,2909,0.9168,696,530,present-structural-review,
36,629,602,0.9571,0,0,0,0,0,0,0,0,1.0000,8,7,present-structural-review,
37,21537,21805,1.0124,15,15,4,4,275,274,1808,1811,1.0017,462,454,present-structural-review,
38,26344,25858,0.9816,19,16,2,3,333,328,1626,1556,0.9569,459,422,present-structural-review,
39,18348,16879,0.9199,3,15,7,0,120,106,577,693,1.2010,154,115,present-structural-review,
40,81688,81218,0.9942,43,90,19,7,1265,1181,4927,4659,0.9456,1394,1096,present-structural-review,
41,26717,20475,0.7664,7,35,2,0,306,192,2057,1748,0.8498,319,192,present-structural-review,
42,23653,18967,0.8019,17,30,4,3,686,235,1791,1561,0.8716,580,392,present-structural-review,
43,88370,90565,1.0248,108,108,8,8,2891,2891,10162,10163,1.0001,2455,2413,present-structural-review,
