"active_row_id","language_code","name","family","branch","native_source_status","scoped_sufficiency_or_gap_scope","exact_blocker_or_next_gate","recovery_action","applied_8f7_gate_id","post_8f7_decision","no_claim_boundary"
"R6-ACTIVE-002","bi","Bislama, Papiamento/Papiamentu, Mauritian/Seychellois/Indian Ocean Creoles, Sranan/Guyanas, Jamaican Creole/Patois, Nigerian Pidgin, Krio, Tok Pisin, others","Creole/contact","Creole/contact","source_canon_insufficient","source_acquisition_or_gap_only","Kreyol, Mauritius, Krio, Tok Pisin, Nigerian Pidgin, and Cape Verdean Kriolu route/candidate-source addenda are metadata only; continue named-language mathematical source-archive discovery before any source-archive claim.","continue source-canon/source-body acquisition and reviewer/source-owner route; no generated draft support from this row","8F7D-GATE-0022","gap/recovery only; do not create translation, pilot, visual inventory, term spine, or bridge output","R6 row ledger entry; no native review, source certification, accepted terminology, gate promotion, or completion claim."
"R6-ACTIVE-003","u","Cape Verdean Kriolu / Belize Kriol / other T0 creole rows","Creole/contact","Creole/contact","source_canon_insufficient","source_acquisition_or_gap_only","Use NOETHER_R6_CAPE_VERDEAN_KRIOLU_SOURCE_ROUTE_ADDENDUM_20260705.csv for Cape Verdean Kriolu route/context provenance; exact Kriolu mathematics/STEM body or validated mathematical source archive, source-owner/reviewer return, and reuse decision remain required. Belize Kriol and other T0 creole rows remain separate blockers.","continue source-canon/source-body acquisition and reviewer/source-owner route; no generated draft support from this row","8F7D-GATE-0022","gap/recovery only; do not create translation, pilot, visual inventory, term spine, or bridge output","R6 row ledger entry; no native review, source certification, accepted terminology, gate promotion, or completion claim."
"R6-ACTIVE-004","jam","Jamaican Creole / Jamaican Patois","Creole/contact","Creole/contact","source_canon_insufficient","source_acquisition_or_gap_only","no accepted source-authority row, term row, excerpt, reuse, translation, constructed surface, or pilot | no accepted source-authority row, term row, excerpt, reuse, translation, constructed surface, or pilot | Find Jamaican Creole/Patois math/numeracy/literacy-STEM source or reviewer route; English curriculum remains comparator only.","continue source-canon/source-body acquisition and reviewer/source-owner route; no generated draft support from this row","8F7D-GATE-0022","gap/recovery only; do not create translation, pilot, visual inventory, term spine, or bridge output","R6 row ledger entry; no native review, source certification, accepted terminology, gate promotion, or completion claim."
"R6-ACTIVE-005","jam","Jamaican Creole/Patois","Creole/contact","Creole/contact","source_canon_insufficient","source_acquisition_or_gap_only","Find Patois STEM/numeracy witness or reviewer route.","continue source-canon/source-body acquisition and reviewer/source-owner route; no generated draft support from this row","8F7D-GATE-0022","gap/recovery only; do not create translation, pilot, visual inventory, term spine, or bridge output","R6 row ledger entry; no native review, source certification, accepted terminology, gate promotion, or completion claim."
"R6-ACTIVE-007","ht","Kreyol/Haitian Creole","Creole/contact","Creole/contact","source_canon_insufficient","source_acquisition_or_gap_only","Use NOETHER_R6_KREYOL_MIT_AYITI_MENFP_SOURCE_ROUTE_ADDENDUM_20260705.csv for MIT-Ayiti route/context provenance; official MENFP-hosted Kreyol math body, source-owner/reviewer return, and reuse decision remain required.","continue source-canon/source-body acquisition and reviewer/source-owner route; no generated draft support from this row","8F7D-GATE-0022","gap/recovery only; do not create translation, pilot, visual inventory, term spine, or bridge output","R6 row ledger entry; no native review, source certification, accepted terminology, gate promotion, or completion claim."
"R6-ACTIVE-008","bi","Kreyol/Haitian Creole, Bislama, Papiamento/Papiamentu, Mauritian/Seychellois/Indian Ocean Creoles, Jamaican Creole/Patois, Nigerian Pidgin, Krio, Tok Pisin, Sranan/Guyanas, and adjacent named creole/contact rows","Creole/contact","Creole/contact","source_canon_insufficient","source_acquisition_or_gap_only","Use Kreyol GitHub candidate rows, Nigerian Pidgin pcm source-file candidates, and Mauritius/Krio/Tok Pisin/Cape Verdean Kriolu official route captures as blocker metadata only; keep named creole/contact repositories separate and require file-level capture policy, license scope, mathematical content review, and reviewer/source-owner route.","continue source-canon/source-body acquisition and reviewer/source-owner route; no generated draft support from this row","8F7D-GATE-0022","gap/recovery only; do not create translation, pilot, visual inventory, term spine, or bridge output","R6 row ledger entry; no native review, source certification, accepted terminology, gate promotion, or completion claim."
"R6-ACTIVE-009","kri","Krio","Creole/contact","Creole/contact","source_canon_insufficient","source_acquisition_or_gap_only","Use NOETHER_R6_KRIO_SIERRA_LEONE_MBSSE_SOURCE_ROUTE_ADDENDUM_20260705.csv for Krio/Sierra Leone route/context provenance; exact Krio mathematics/STEM body, source-owner/reviewer return, and reuse decision remain required.","continue source-canon/source-body acquisition and reviewer/source-owner route; no generated draft support from this row","8F7D-GATE-0022","gap/recovery only; do not create translation, pilot, visual inventory, term spine, or bridge output","R6 row ledger entry; no native review, source certification, accepted terminology, gate promotion, or completion claim."
"R6-ACTIVE-010","u","Mauritian/Seychellois/Indian Ocean Creoles","Creole/contact","Creole/contact","source_canon_insufficient","source_acquisition_or_gap_only","Use NOETHER_R6_MAURITIUS_KREOL_MIE_SOURCE_ROUTE_ADDENDUM_20260705.csv for MIE route/context provenance; exact named-language math/STEM body, source-owner/reviewer return, and reuse decision remain required.","continue source-canon/source-body acquisition and reviewer/source-owner route; no generated draft support from this row","8F7D-GATE-0022","gap/recovery only; do not create translation, pilot, visual inventory, term spine, or bridge output","R6 row ledger entry; no native review, source certification, accepted terminology, gate promotion, or completion claim."
"R6-ACTIVE-011","pcm","Nigerian Pidgin","Creole/contact","Creole/contact","source_canon_insufficient","source_acquisition_or_gap_only","Use NOETHER_R6_NIGERIAN_PIDGIN_SOURCE_ROUTE_ADDENDUM_20260705.csv for Nigerian Pidgin route/context/candidate-source provenance; exact Nigerian Pidgin mathematics/STEM body or validated mathematical source archive, source-owner/reviewer return, and reuse decision remain required.","continue source-canon/source-body acquisition and reviewer/source-owner route; no generated draft support from this row","8F7D-GATE-0022","gap/recovery only; do not create translation, pilot, visual inventory, term spine, or bridge output","R6 row ledger entry; no native review, source certification, accepted terminology, gate promotion, or completion claim."
"R6-ACTIVE-012","tpi","Nigerian Pidgin/Krio/Tok Pisin/Cape Verdean/Belize","Creole/contact","Creole/contact","source_canon_insufficient","source_acquisition_or_gap_only","Nigerian Pidgin, Krio, Tok Pisin, and Cape Verdean Kriolu route contexts are now recorded in dated addenda; keep Belize Kriol and other rows separate and unresolved until exact named-language evidence lands.","continue source-canon/source-body acquisition and reviewer/source-owner route; no generated draft support from this row","8F7D-GATE-0022","gap/recovery only; do not create translation, pilot, visual inventory, term spine, or bridge output","R6 row ledger entry; no native review, source certification, accepted terminology, gate promotion, or completion claim."
"R6-ACTIVE-013","pap","Papiamento/Papiamentu","Creole/contact","Creole/contact","source_canon_insufficient","source_acquisition_or_gap_only","Use the 20260705 Aruba route retry addendum for EA.AW blocker provenance; still split Aruba Papiamento vs Curacao Papiamentu and resolve exact source-body access before concept or support movement.","continue source-canon/source-body acquisition and reviewer/source-owner route; no generated draft support from this row","8F7D-GATE-0022","gap/recovery only; do not create translation, pilot, visual inventory, term spine, or bridge output","R6 row ledger entry; no native review, source certification, accepted terminology, gate promotion, or completion claim."
"R6-ACTIVE-014","pap","Papiamento/Papiamentu - Aruba","Creole/contact","Creole/contact","source_canon_insufficient","source_acquisition_or_gap_only","Existing strict context rows do not close EA.AW catalog blockers. Use the 20260705 Aruba route retry addendum for Map/Rampa route evidence; resolve PDF source-body access, Aruba Papiamento reviewer/source-owner route, and reuse/license signal before source-authority or support movement.","continue source-canon/source-body acquisition and reviewer/source-owner route; no generated draft support from this row","8F7D-GATE-0022","gap/recovery only; do not create translation, pilot, visual inventory, term spine, or bridge output","R6 row ledger entry; no native review, source certification, accepted terminology, gate promotion, or completion claim."
