id,path,bytes,sha256,parent_scan_sha256,printed_page,source_pdf_physical_page_1based,locator_basis,width_px,height_px,mode,witness_kind,linked_source,qa_disposition
WEBER-V1-P121-VOL1_P121_CROP_4_24,visual_witnesses/vol1_p121_crop_4_24.png,568008,221AD3D890D9357079BED066CDBB784AB041420FEA29B280C0730D50C66941FE,50BA482A39C9918AC81B31D631B65B11C37C5E67BEC42C559F6D504A28196DEB,121,147,physical_page=printed_page+26,8370,735,L,tight_high_detail_crop,source/Weber_VolumeI_German_Complete_Working_SourceRepair_20260731.tex,reviewed_cold_reverify_support
WEBER-V1-P121-VOL1_P121_CROP_4_28,visual_witnesses/vol1_p121_crop_4_28.png,661362,4E76AD348F98B8C644FC91B94C1FAF6BB09802DE886EBC527180252364EB0B82,50BA482A39C9918AC81B31D631B65B11C37C5E67BEC42C559F6D504A28196DEB,121,147,physical_page=printed_page+26,8370,879,L,tight_high_detail_crop,source/Weber_VolumeI_German_Complete_Working_SourceRepair_20260731.tex,reviewed_cold_reverify_support
WEBER-V1-P123-VOL1_P123_CROP_4_27,visual_witnesses/vol1_p123_crop_4_27.png,688105,CC4BEF3C585D2D876803975EBE33271AA1909A9E6E7FA738AF91D4ED319F3CE8,50BA482A39C9918AC81B31D631B65B11C37C5E67BEC42C559F6D504A28196DEB,123,149,physical_page=printed_page+26,8370,1173,L,tight_high_detail_crop,source/Weber_VolumeI_German_Complete_Working_SourceRepair_20260731.tex,reviewed_cold_reverify_support
WEBER-V1-P123-VOL1_P123_CROP_4_61,visual_witnesses/vol1_p123_crop_4_61.png,796033,BC54D2EB0CF19F3AB779586CCDC5A147299E0CC1C87DB2523A037807F6073145,50BA482A39C9918AC81B31D631B65B11C37C5E67BEC42C559F6D504A28196DEB,123,149,physical_page=printed_page+26,8370,1248,L,tight_high_detail_crop,source/Weber_VolumeI_German_Complete_Working_SourceRepair_20260731.tex,reviewed_cold_reverify_support
WEBER-V1-P123-VOL1_P123_CROP_4_81,visual_witnesses/vol1_p123_crop_4_81.png,665477,38CCF4B31971C44443E0D2550485D28B3C750DE32C39E836DC020EFE28D65626,50BA482A39C9918AC81B31D631B65B11C37C5E67BEC42C559F6D504A28196DEB,123,149,physical_page=printed_page+26,8370,1176,L,tight_high_detail_crop,source/Weber_VolumeI_German_Complete_Working_SourceRepair_20260731.tex,reviewed_cold_reverify_support
WEBER-V1-P124-VOL1_P124_BOT,visual_witnesses/vol1_p124_bot.png,376032,789B1A064C7845018A372EB19273247B31AF3A1E9277829CAEF2268712B76168,50BA482A39C9918AC81B31D631B65B11C37C5E67BEC42C559F6D504A28196DEB,124,150,physical_page=printed_page+26,2400,1461,L,overlapping_source_page_band,source/Weber_VolumeI_German_Complete_Working_SourceRepair_20260731.tex,reviewed_cold_reverify_support
WEBER-V1-P124-VOL1_P124_CROP_4_21,visual_witnesses/vol1_p124_crop_4_21.png,561562,6C9662E4A4F953AD3FBB203C775B7C70CB005DD3A1870EA49B53CBE7CA8C9C50,50BA482A39C9918AC81B31D631B65B11C37C5E67BEC42C559F6D504A28196DEB,124,150,physical_page=printed_page+26,8370,735,L,tight_high_detail_crop,source/Weber_VolumeI_German_Complete_Working_SourceRepair_20260731.tex,reviewed_cold_reverify_support
WEBER-V1-P124-VOL1_P124_CROP_4_70,visual_witnesses/vol1_p124_crop_4_70.png,256385,ECB2DA94CB94C9B7CDBFA99F38ADAFC5E4DDB7277753B2FFBB40749DA4807090,50BA482A39C9918AC81B31D631B65B11C37C5E67BEC42C559F6D504A28196DEB,124,150,physical_page=printed_page+26,6390,660,L,tight_high_detail_crop,source/Weber_VolumeI_German_Complete_Working_SourceRepair_20260731.tex,reviewed_cold_reverify_support
WEBER-V1-P124-VOL1_P124_CROP_4_77,visual_witnesses/vol1_p124_crop_4_77.png,687637,3C540B448CD8CA07024061DD06211DC46660D5959E57B5653DBD89C0F53118B0,50BA482A39C9918AC81B31D631B65B11C37C5E67BEC42C559F6D504A28196DEB,124,150,physical_page=printed_page+26,8370,807,L,tight_high_detail_crop,source/Weber_VolumeI_German_Complete_Working_SourceRepair_20260731.tex,reviewed_cold_reverify_support
WEBER-V1-P124-VOL1_P124_MID,visual_witnesses/vol1_p124_mid.png,534048,B2CE2CCC4984CFA8ADB64B5737E46B2FDED5A0F2762F2528D0BF422688213A74,50BA482A39C9918AC81B31D631B65B11C37C5E67BEC42C559F6D504A28196DEB,124,150,physical_page=printed_page+26,2400,1616,L,overlapping_source_page_band,source/Weber_VolumeI_German_Complete_Working_SourceRepair_20260731.tex,reviewed_cold_reverify_support
