queue_id,lane,source_id,retrieval_status,route_now,next_action,promotion_allowed
MI-RPB-01,Malay-Indonesian,Malay_Indonesian_Review_Packet_Bundle_20260629T050303Z.zip,"bundle exists; sha256 3ED035C9DAE2681D7206C346A73CD9AE458E3DCD784D568E321D957C65355823","reviewer/source prompt only","wait for returned-review ingestion or reviewer-response status ledger",false
BS-DBP-01,Brunei/Singapore,brunei_dbp_mabbim_institutional_page,"download_failed SSL hostname mismatch","official route blocker","retry with browser/manual TLS handling or alternate DBP/MABBIM item URL",false
BS-MOE-01,Brunei/Singapore,brunei_moe_curriculum_development_department,downloaded,"context route","search item-level Malay mathematics textbook/syllabus terminology",false
BS-MOE-02,Brunei/Singapore,brunei_moe_spn21_english,downloaded,"medium/curriculum context only","do not use for Malay algebra/proof terms",false
BS-MOE-03,Brunei/Singapore,brunei_moe_spn21_malay,downloaded,"general Malay curriculum context only","extract explicit math terminology before stronger use",false
SG-MOE-01,Brunei/Singapore,singapore_moe_approved_textbook_list,downloaded,"source route only","continue only if current ATL rows expose Malay+mathematics item content",false
SG-SEAB-01,Brunei/Singapore,singapore_seab_2027_sec_g3_syllabuses,downloaded,"separate subject context","not Malay math terminology",false
SG-SEAB-02,Brunei/Singapore,singapore_seab_gce_o_school_candidates,downloaded,"assessment context","not Malay math terminology",false
SG-SEAB-03,Brunei/Singapore,singapore_seab_ast_workshops,downloaded,"separate subject context","not Malay math terminology",false
COMP-PRPM-01,Comparator,malaysia_dbp_prpm_istilah_mabbim_math_sample,downloaded,"comparator/query seed only","scope-governance/adoption gate required before reuse",false
SG-ATL-01,Brunei/Singapore,singapore_atl_current_titles_primary,"544 parsed rows; 30 math; 81 Malay; 0 overlap","title-watch only","no translation support unless overlap item content closes",false
SG-ATL-02,Brunei/Singapore,singapore_atl_current_titles_secondary,"506 parsed rows; 72 math; 112 Malay; 0 overlap","title-watch only","no translation support unless overlap item content closes",false
SEA-FIL-01,SEA/Pacific,filipino_g10_math_glossary_pdf,downloaded,"glossary/source-pointer only","find native-country higher algebra/proof source",false
SEA-FIL-02,SEA/Pacific,tagalog_grades6_8_math_glossary_pdf,downloaded,"glossary/source-pointer only","find native-country higher algebra/proof source",false
SEA-CEB-01,SEA/Pacific,cebuano_deped_math1_unit1,downloaded,"lower-math locator","item detail/PDF capture and higher math source discovery",false
SEA-CEB-02,SEA/Pacific,cebuano_deped_math2_unit1,downloaded,"lower-math locator","item detail/PDF capture and higher math source discovery",false
SEA-ILO-01,SEA/Pacific,ilokano_math_competence_context,downloaded,"context/source locator","direct Ilokano math/STEM source",false
SEA-HIL-01,SEA/Pacific,hiligaynon_deped_math_list_match,downloaded,"item-detail target","capture item page/PDF and inspect text",false
SEA-WAR-01,SEA/Pacific,waray_math_medium_context_pdf,downloaded,"context only","direct Waray math/STEM material",false
SEA-BIK-01,SEA/Pacific,bikol_deped_language_material_context,downloaded,"language context only","direct Bikol math/STEM material",false
SEA-LAO-01,SEA/Pacific,lao_jica_primary_math_page,downloaded,"official primary source route","extract/download item PDFs; not higher-algebra proof prose",false
SEA-LAO-02,SEA/Pacific,lao_learningpassport_high_school_math,downloaded,"official learning-platform refresh target","refresh/download course content before text work",false
SEA-SHAN-01,SEA/Pacific,shan_grade5_text_context,downloaded,"source locator only","direct Shan math/STEM source",false
SEA-ZHUANG-01,SEA/Pacific,zhuang_search_gap_record,"not downloaded; search gap","gap/retry row","direct Zhuang math/STEM source discovery",false
SEA-HMONG-01,SEA/Pacific,hmong_g10_math_glossary_pdf,"download_failed HTTP 403","failed-retry row","local/curriculum source beyond US testing glossary",false
SEA-HMONG-02,SEA/Pacific,hmong_g4_math_glossary_pdf,downloaded,"glossary/source-pointer only","local/curriculum source beyond US testing glossary",false
SEA-MIEN-01,SEA/Pacific,mien_global_language_resource_context,downloaded,"context only","direct Mien/Yao math/STEM source",false
SEA-KHMER-01,SEA/Pacific,khmer_math_terms_pdf,"download_failed certificate expired","failed-retry row","official/university proof source or validated exact text",false
SEA-KHMER-02,SEA/Pacific,khmer_math_books_page,downloaded,"noncanonical discovery lead","official/university proof source or validated exact text",false
SEA-MON-01,SEA/Pacific,mon_language_context_gap,downloaded,"context only","direct Mon math/STEM source",false
SEA-SANTALI-01,SEA/Pacific,santali_bharatavani_math_textbook,downloaded,"item-detail/PDF target","capture item-level text/PDF; title-only until then",false
