lanes,role,files,csv,json,md,txt,zip,other,next_action,claim_boundary
Arabic RTL; B3; Persianate/Tajik/R3,blocker/gap/recovery,1,1,0,0,0,0,0,compare to owner-lane local outputs; route new body/source/Fable/draft evidence to B3 and child lane,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
Arabic RTL; B3; Persianate/Tajik/R3,manifest/checksum/validation,1,1,0,0,0,0,0,compare to owner-lane local outputs; route new body/source/Fable/draft evidence to B3 and child lane,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
Arabic RTL; B3; Persianate/Tajik/R3,source-body/source-witness/source-use,2,2,0,0,0,0,0,compare to owner-lane local outputs; route new body/source/Fable/draft evidence to B3 and child lane,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
Arabic RTL; Persianate/Tajik/R3,blocker/gap/recovery,8,5,1,1,1,0,0,compare to owner-lane local outputs; route new body/source/Fable/draft evidence to B3 and child lane,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
Arabic RTL; Persianate/Tajik/R3,branch-support artifact,4,3,0,1,0,0,0,compare to owner-lane local outputs; route new body/source/Fable/draft evidence to B3 and child lane,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
Arabic RTL; Persianate/Tajik/R3,manifest/checksum/validation,3,1,1,0,1,0,0,compare to owner-lane local outputs; route new body/source/Fable/draft evidence to B3 and child lane,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
Arabic RTL; Persianate/Tajik/R3,source-body/source-witness/source-use,31,25,2,2,2,0,0,compare to owner-lane local outputs; route new body/source/Fable/draft evidence to B3 and child lane,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
Arabic RTL; Persianate/Tajik/R3,source-gated draft/pretranslation/interlinear support,4,4,0,0,0,0,0,compare to owner-lane local outputs; route new body/source/Fable/draft evidence to B3 and child lane,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
B3,Fable/source-use/adverse/do-not-use ledger,24,7,10,7,0,0,0,compare to owner-lane local outputs; route new body/source/Fable/draft evidence to B3 and child lane,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
B3,blocker/gap/recovery,60,28,14,14,4,0,0,compare to owner-lane local outputs; route new body/source/Fable/draft evidence to B3 and child lane,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
B3,branch-support artifact,19,12,1,5,1,0,0,compare to owner-lane local outputs; route new body/source/Fable/draft evidence to B3 and child lane,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
B3,manifest/checksum/validation,9,5,1,0,3,0,0,compare to owner-lane local outputs; route new body/source/Fable/draft evidence to B3 and child lane,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
B3,source-body/source-witness/source-use,15,6,4,4,1,0,0,compare to owner-lane local outputs; route new body/source/Fable/draft evidence to B3 and child lane,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
B3,source-gated draft/pretranslation/interlinear support,4,1,2,1,0,0,0,compare to owner-lane local outputs; route new body/source/Fable/draft evidence to B3 and child lane,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
B3; CJK,source-gated draft/pretranslation/interlinear support,18,12,1,3,2,0,0,compare to owner-lane local outputs; route new body/source/Fable/draft evidence to B3 and child lane,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
B3; Persianate/Tajik/R3,blocker/gap/recovery,1,1,0,0,0,0,0,compare to owner-lane local outputs; route new body/source/Fable/draft evidence to B3 and child lane,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
B3; Persianate/Tajik/R3,branch-support artifact,5,3,0,2,0,0,0,compare to owner-lane local outputs; route new body/source/Fable/draft evidence to B3 and child lane,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
B3; Persianate/Tajik/R3,manifest/checksum/validation,7,5,0,0,2,0,0,compare to owner-lane local outputs; route new body/source/Fable/draft evidence to B3 and child lane,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
B3; Persianate/Tajik/R3,source-body/source-witness/source-use,6,5,1,0,0,0,0,compare to owner-lane local outputs; route new body/source/Fable/draft evidence to B3 and child lane,"source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
