source,lane,source_use_label,path,path_exists_now,files,bytes,manifest_path,sha256sums_path,next_action,claim_boundary
212df coordinator source-body queue,Arabic RTL,native-source-body / OCR-witness / generated-draft,C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\worktrees\payload-20260705-split4\language-source-bodies\arabic-rtl-source-bodies-20260705,False,148,146253455,C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\worktrees\payload-20260705-split4\language-source-bodies\arabic-rtl-source-bodies-20260705\ar\MANIFEST.csv,C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\worktrees\payload-20260705-split4\language-source-bodies\arabic-rtl-source-bodies-20260705\ar\SHA256SUMS.txt,"cite exact source-body route if present; if path not materialized, request B3 route/rematerialization","source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
212df coordinator source-body queue,CJK,native-source-body / generated-draft / support,C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\worktrees\payload-20260705-split4\language-source-bodies\cjk,False,168,21227803,C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\worktrees\payload-20260705-split4\language-source-bodies\cjk\MANIFEST.csv,C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\worktrees\payload-20260705-split4\language-source-bodies\cjk\SHA256SUMS.txt,"cite exact source-body route if present; if path not materialized, request B3 route/rematerialization","source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
212df coordinator source-body queue,CJK native source bodies,native-source-body,C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\worktrees\payload-20260705-split4\language-source-bodies\cjk-native-source-bodies-20260705,False,82,2255194,,C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\worktrees\payload-20260705-split4\language-source-bodies\cjk-native-source-bodies-20260705\SHA256SUMS.txt,"cite exact source-body route if present; if path not materialized, request B3 route/rematerialization","source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
212df coordinator source-body queue,Persianate/Tajik,native-source-body / gap-row,C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\worktrees\payload-20260705-split4\language-source-bodies\persianate-tajik-source-bodies-20260705,False,60,92397501,C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\worktrees\payload-20260705-split4\language-source-bodies\persianate-tajik-source-bodies-20260705\persianate-tajik\MANIFEST.csv,C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\worktrees\payload-20260705-split4\language-source-bodies\persianate-tajik-source-bodies-20260705\persianate-tajik\SHA256SUMS.txt,"cite exact source-body route if present; if path not materialized, request B3 route/rematerialization","source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
212df coordinator source-body queue,Pan-Turkic,source-body / blocker,C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\worktrees\payload-20260705-split4\language-source-bodies\pan-turkic-source-bodies-20260705,False,298,67117624,C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\worktrees\payload-20260705-split4\language-source-bodies\pan-turkic-source-bodies-20260705\MANIFEST.csv,C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\worktrees\payload-20260705-split4\language-source-bodies\pan-turkic-source-bodies-20260705\SHA256SUMS.txt,"cite exact source-body route if present; if path not materialized, request B3 route/rematerialization","source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
212df coordinator source-body queue,R6 Indigenous/Creole/Sign,source-body / ethics-boundary,C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\worktrees\payload-20260705-split4\language-source-bodies\r6-indigenous-creole-sign-20260705,False,195,364134758,C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\worktrees\payload-20260705-split4\language-source-bodies\r6-indigenous-creole-sign-20260705\MANIFEST.csv,C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\worktrees\payload-20260705-split4\language-source-bodies\r6-indigenous-creole-sign-20260705\SHA256SUMS.txt,"cite exact source-body route if present; if path not materialized, request B3 route/rematerialization","source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
212df coordinator source-body queue,R7 Malay/SEA/Pacific,source-body / pointer-repair,C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\worktrees\payload-20260705-split4\language-source-bodies\r7-malay-sea-pacific-20260705,False,59,117318109,C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\worktrees\payload-20260705-split4\language-source-bodies\r7-malay-sea-pacific-20260705\MANIFEST.csv,C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\worktrees\payload-20260705-split4\language-source-bodies\r7-malay-sea-pacific-20260705\SHA256SUMS.txt,"cite exact source-body route if present; if path not materialized, request B3 route/rematerialization","source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
212df coordinator source-body queue,R9 Africa/Horn/West,native-source-body,C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\worktrees\payload-20260705-split4\language-source-bodies\r9-africa-horn-west-20260705,False,16,8549953,C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\worktrees\payload-20260705-split4\language-source-bodies\r9-africa-horn-west-20260705\MANIFEST.csv,C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\worktrees\payload-20260705-split4\language-source-bodies\r9-africa-horn-west-20260705\SHA256SUMS.txt,"cite exact source-body route if present; if path not materialized, request B3 route/rematerialization","source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
212df coordinator source-body queue,Romance/Germanic Spanish,native-source-body,C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\worktrees\payload-20260705-split4\language-source-bodies\romance-germanic-baselines-20260705-spanish-san-salvador,False,55,2050271,C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\worktrees\payload-20260705-split4\language-source-bodies\romance-germanic-baselines-20260705-spanish-san-salvador\MANIFEST.csv,C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\worktrees\payload-20260705-split4\language-source-bodies\romance-germanic-baselines-20260705-spanish-san-salvador\SHA256SUMS.txt,"cite exact source-body route if present; if path not materialized, request B3 route/rematerialization","source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
212df coordinator source-body queue,RTL Persianate Arabic R3 witness,native-source-body / source witness,C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\worktrees\payload-20260705-split4\language-source-bodies\rtl-persianate-arabic-20260705-r3-witness-layer,False,15,18559223,C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\worktrees\payload-20260705-split4\language-source-bodies\rtl-persianate-arabic-20260705-r3-witness-layer\MANIFEST.csv,C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\worktrees\payload-20260705-split4\language-source-bodies\rtl-persianate-arabic-20260705-r3-witness-layer\SHA256SUMS.txt,"cite exact source-body route if present; if path not materialized, request B3 route/rematerialization","source-use/provenance/gap/draft/non-canonical routing only; no native review, accepted terminology, canonical approval, license clearance, gate promotion, source certification, final status, bridge/pilot, or translation completion"
