"delta_id","source_event","input_artifact","input_artifact_sha256","input_artifact_bytes","row_type","evidence_tier","language","witness_id","source_title","source_url","source_type","local_path","sha256","bytes","text_or_sidecar_path","text_or_sidecar_sha256","text_or_sidecar_bytes","access_license_signal","topic_tags","evidence_status","result_class","exact_or_hard_hit_summary","context_hit_summary","hard_row_effect","source_canon_value_and_gap","next_gate","non_claim_boundary"
"R2-DELTA-E049-001","E049","NOETHER_R2_PAN_TURKIC_PDF_WITNESS_RESWEEP_20260705T1103.csv","0B3F5801165573FFB8454A82331676C8A1E2A777EC67D8E6695384074B4C6B19","19776","control_or_register","control_anchor","control","CTRL-AGENTS","repository instructions","","control_file","C:\Users\memo_\Documents\Codex\2026-06-29\updatede-goal-text-maintain-the-noether-2\work\github-checkouts\modern-latex-manuscripts-noether-pc-nocone-20260702\AGENTS.md","EE41CF302952ADC624160B9A94CC5AE4CD3EB61B309115F61D1316D0EF039548","6731","","","0","local coordination/control artifact","repository instructions","observed","control_anchor","","","none","Repository instruction hash anchor.","Keep source-canon-first guardrails and exact-source/reviewer-return gates.","source-canon/provenance/gap support only; non-canonical delta register; no hard-row closure, translation, glossary/term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Git stage, Git commit, or Git push claim"
"R2-DELTA-E049-002","E049","NOETHER_R2_PAN_TURKIC_PDF_WITNESS_RESWEEP_20260705T1103.csv","0B3F5801165573FFB8454A82331676C8A1E2A777EC67D8E6695384074B4C6B19","19776","control_or_register","control_anchor","control","CTRL-COPILOT","repository instructions","","control_file","C:\Users\memo_\Documents\Codex\2026-06-29\updatede-goal-text-maintain-the-noether-2\work\github-checkouts\modern-latex-manuscripts-noether-pc-nocone-20260702\.github\copilot-instructions.md","CBF1788357F102CE372EF35606FD931AE8A79F782C1B495C96B78351A93AE34A","2369","","","0","local coordination/control artifact","repository instructions","observed","control_anchor","","","none","Copilot instruction hash anchor.","Keep source-canon-first guardrails and exact-source/reviewer-return gates.","source-canon/provenance/gap support only; non-canonical delta register; no hard-row closure, translation, glossary/term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Git stage, Git commit, or Git push claim"
"R2-DELTA-E049-003","E049","NOETHER_R2_PAN_TURKIC_PDF_WITNESS_RESWEEP_20260705T1103.csv","0B3F5801165573FFB8454A82331676C8A1E2A777EC67D8E6695384074B4C6B19","19776","control_or_register","control_anchor","control","CTRL-PARENT","parent ledger","","control_ledger","C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NOETHER_INTERLANGUAGE_TRANSLATION_CONSOLIDATION_LEDGER_20260704.md","D06D37BA1B9CC19394FE046893691D9488E8433D750FC1E38F8E9C36B71B9A7C","511115","","","0","local coordination/control artifact","parent ledger","observed","control_anchor","","","none","Parent consolidation ledger hash anchor for Event 049.","Keep source-canon-first guardrails and exact-source/reviewer-return gates.","source-canon/provenance/gap support only; non-canonical delta register; no hard-row closure, translation, glossary/term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Git stage, Git commit, or Git push claim"
"R2-DELTA-E049-004","E049","NOETHER_R2_PAN_TURKIC_PDF_WITNESS_RESWEEP_20260705T1103.csv","0B3F5801165573FFB8454A82331676C8A1E2A777EC67D8E6695384074B4C6B19","19776","control_or_register","control_anchor","control","CTRL-STEERING","source-canon steering","","control_ledger","C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NOETHER_SOURCE_CANON_FIRST_STEERING_RECORD_20260704.md","531B9E358E52BDE20F613E75B8DE33558C05301CA971639E727DD584B34205C4","4993","","","0","local coordination/control artifact","source-canon steering","observed","control_anchor","","","none","Source-canon-first steering record hash anchor.","Keep source-canon-first guardrails and exact-source/reviewer-return gates.","source-canon/provenance/gap support only; non-canonical delta register; no hard-row closure, translation, glossary/term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Git stage, Git commit, or Git push claim"
"R2-DELTA-E049-005","E049","NOETHER_R2_PAN_TURKIC_PDF_WITNESS_RESWEEP_20260705T1103.csv","0B3F5801165573FFB8454A82331676C8A1E2A777EC67D8E6695384074B4C6B19","19776","control_or_register","control_anchor","control","R2-REGISTER-BOUNDARY","R2 Pan-Turkic normalized register","","register_csv","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\NOETHER_R2_PAN_TURKIC_SOURCE_CANON_PROGRAM_NORMALIZED_REGISTER_20260704.csv","5BFD1920A01B1079A1C1047553ABD4313276185B8EA4C7D26A809B22092A49D7","75220","","","0","local coordination/control artifact","R2 Pan-Turkic normalized register","observed","control_anchor","","","none","rows=61; source_level_tex_archive_rows=0; explicit_hard_blocker_gap_rows=8","Keep source-canon-first guardrails and exact-source/reviewer-return gates.","source-canon/provenance/gap support only; non-canonical delta register; no hard-row closure, translation, glossary/term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Git stage, Git commit, or Git push claim"
"R2-DELTA-E049-006","E049","NOETHER_R2_PAN_TURKIC_PDF_WITNESS_RESWEEP_20260705T1103.csv","0B3F5801165573FFB8454A82331676C8A1E2A777EC67D8E6695384074B4C6B19","19776","control_or_register","control_anchor","control","R2-HARD-ROWS","R2 hard-row ledger","","hard_rows_csv","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\NOETHER_R2_PAN_TURKIC_HARD_ROWS_20260704.csv","8B7D4BA66E9311E7475984148DB296E81DF7D66A7804E515239D2F0B061301CE","1398","","","0","local coordination/control artifact","R2 hard-row ledger","observed","control_anchor","","","none","rows=8; open_gap=6; candidate_only=2","Keep source-canon-first guardrails and exact-source/reviewer-return gates.","source-canon/provenance/gap support only; non-canonical delta register; no hard-row closure, translation, glossary/term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Git stage, Git commit, or Git push claim"
"R2-DELTA-E049-007","E049","NOETHER_R2_PAN_TURKIC_PDF_WITNESS_RESWEEP_20260705T1103.csv","0B3F5801165573FFB8454A82331676C8A1E2A777EC67D8E6695384074B4C6B19","19776","current_pdf_or_web_witness","source_corpus_context_only","Tatar","TT-PDF-001","Algebra 7 work program, edu.tatar test storage","https://test-edu.tatar.ru/upload/storage/org1827/files/%D0%90%D0%9B%D0%93%D0%95%D0%91%D0%A0%D0%90%207%20%D0%9A%D0%9B%D0%90%D0%A1%D0%A1.pdf","pdf_capture","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\pan_turkic_pdf_witness_resweep_20260705T1103\TT-PDF-001_test_edu_tatar_algebra_7_work_program.pdf","FF04E65278A2B678F8A46C36783E6F1C0514E5E60EB7C047A38C41E97F6B31C8","964595","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\pan_turkic_pdf_witness_resweep_20260705T1103\TT-PDF-001_test_edu_tatar_algebra_7_work_program.txt","3F219B50001D62DEE8D763B8CA788CBC604BC4729C48142B61DB3D532A9B7FF0","147253","public PDF; education-domain storage; no blanket license clearance","Tatar;algebra;polynomial;school program","pdf_captured_text_extracted","source_corpus_witness_context_only","","hard_row_exact_hits=0; context_hits=Күпбуын=13; күпбуын=10","no hard-row closure; source-corpus or gap provenance only","Captured Tatar/Russian algebra 7 work-program PDF. Extracted text contains Tatar polynomial vocabulary but no exact Noetherian-ring or polynomial-ring hard-row witness.","Use as Tatar algebra/polynomial source-corpus provenance only; exact hard-row source still needed.","source-canon/provenance/gap support only; non-canonical delta register; no hard-row closure, translation, glossary/term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Git stage, Git commit, or Git push claim"
"R2-DELTA-E049-008","E049","NOETHER_R2_PAN_TURKIC_PDF_WITNESS_RESWEEP_20260705T1103.csv","0B3F5801165573FFB8454A82331676C8A1E2A777EC67D8E6695384074B4C6B19","19776","current_pdf_or_web_witness","source_corpus_context_only","Tatar","TT-PDF-002","Algebra 7 educational minimum, edu.tatar","https://edu.tatar.ru/upload/storage/org112/files/7%20%D0%BA%D0%BB%D0%B0%D1%81%D1%81%20%D0%B0%D0%BB%D0%B3%D0%B5%D0%B1%D1%80%D0%B0.pdf","pdf_capture","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\pan_turkic_pdf_witness_resweep_20260705T1103\TT-PDF-002_edu_tatar_algebra_7_minimum.pdf","8C6065A51152E3DE7C530C071B19E90FF0B4E3F72C9AC25A5B3501C7CD3A8D78","254188","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\pan_turkic_pdf_witness_resweep_20260705T1103\TT-PDF-002_edu_tatar_algebra_7_minimum.txt","7AE9610B43D75E70680C7CB7BF2D593EDACB5BFC015A0759B0DE688AEF862165","17883","public PDF; education-domain storage; no blanket license clearance","Tatar;algebra;polynomial;educational minimum","pdf_captured_text_extracted","source_corpus_witness_context_only","","hard_row_exact_hits=0; context_hits=Күпбуын=2; күпбуын=4","no hard-row closure; source-corpus or gap provenance only","Captured Tatar/Russian algebra 7 educational-minimum PDF. Extracted text contains Tatar polynomial definition/context but no exact Noetherian-ring or polynomial-ring hard-row witness.","Use as Tatar algebra/polynomial source-corpus provenance only; exact hard-row source still needed.","source-canon/provenance/gap support only; non-canonical delta register; no hard-row closure, translation, glossary/term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Git stage, Git commit, or Git push claim"
"R2-DELTA-E049-009","E049","NOETHER_R2_PAN_TURKIC_PDF_WITNESS_RESWEEP_20260705T1103.csv","0B3F5801165573FFB8454A82331676C8A1E2A777EC67D8E6695384074B4C6B19","19776","current_pdf_or_web_witness","source_corpus_context_only","Tatar","TT-PDF-003","Fenni Tatarstan 2014 issue 2","https://ft.antat.ru/uploads/2431654b7878a40e78-%D0%A4%D0%B5%D0%BD%D0%BD%D0%B8_%D0%A2%D0%B0%D1%82%D0%B0%D1%80%D1%81%D1%82%D0%B0%D0%BD_2_2014.pdf","pdf_capture","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\pan_turkic_pdf_witness_resweep_20260705T1103\TT-PDF-003_fanni_tatarstan_2014_2.pdf","8A39A0992B2C3B760876BE0072C3CD4B579BEA824876633B296AD731356FBE2A","3543962","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\pan_turkic_pdf_witness_resweep_20260705T1103\TT-PDF-003_fanni_tatarstan_2014_2.txt","9CC27D6408A6904204FE688A869F37CCF394EE4843059DCDB238FBA343A9093D","959180","public PDF from Fenni Tatarstan/ANTAT site; no blanket license clearance","Tatar;scientific journal;mathematics;polynomial approximation","pdf_captured_text_extracted","scientific_journal_source_witness_context_only","","hard_row_exact_hits=0; context_hits=күпбуын=3; күпбуыннар=2","no hard-row closure; source-corpus or gap provenance only","Captured Tatar scientific-journal PDF with mathematics/polynomial-approximation context. It strengthens Tatar mathematical source-corpus provenance but does not contain exact hard-row ring terminology.","Use as Tatar mathematical publication provenance only; exact ring hard rows remain open.","source-canon/provenance/gap support only; non-canonical delta register; no hard-row closure, translation, glossary/term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Git stage, Git commit, or Git push claim"
"R2-DELTA-E049-010","E049","NOETHER_R2_PAN_TURKIC_PDF_WITNESS_RESWEEP_20260705T1103.csv","0B3F5801165573FFB8454A82331676C8A1E2A777EC67D8E6695384074B4C6B19","19776","current_pdf_or_web_witness","source_corpus_context_only","Kyrgyz","KY-PDF-001","Algebra 7 textbook, OKUMA.KG","https://www.okuma.kg/read/web/books/%D0%90%D0%BB%D0%B3%D0%B5%D0%B1%D1%80%D0%B0%207%20%D0%BA%D0%BB%D0%B0%D1%81%D1%81%20%28okuma.kg%29_%D0%9C%D0%B0%D1%82%D0%B5%D0%BC%D0%B0%D1%82%D0%B8%D0%BA%D0%B0%2C%20%D0%9B%D0%BE%D0%B3%D0%B8%D0%BA%D0%B036.pdf","pdf_capture","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\pan_turkic_pdf_witness_resweep_20260705T1103\KY-PDF-001_okuma_algebra_7.pdf","F2173F19DDBC4ED8BB501C2D634A27593C0853758D79B1116133D73F20DDCE4A","11341691","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r2-pan-turkic-hard-blockers\outputs\sources\pan_turkic_pdf_witness_resweep_20260705T1103\KY-PDF-001_okuma_algebra_7.txt","EC22418D438C906531F832A369C6AFB02CCC2E35A42E3B7B5503623A637238FE","172","public PDF from OKUMA.KG; no blanket license clearance","Kyrgyz;algebra;polynomial;textbook","pdf_captured_text_extraction_sparse","source_corpus_witness_ocr_needed","","hard_row_exact_hits=0; context_hits=0","no hard-row closure; source-corpus or gap provenance only","Captured Kyrgyz algebra textbook PDF. pdftotext sidecar is sparse, so machine-readable polynomial context was not locally confirmed in this pass despite current search snippets. OCR remains needed.","Run OCR before using internal rows; exact hard-row source still needed.","source-canon/provenance/gap support only; non-canonical delta register; no hard-row closure, translation, glossary/term promotion, native/community review, canonical approval, accepted terminology, license clearance, gate promotion, bridge, pilot, Git stage, Git commit, or Git push claim"
