"lane","packet_path","csv_name","row_count","bytes","sha256"
"B3","C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\outputs\B3_POST_86D260CD_NONSLAVIC_D9_ROUTE_AND_C0_REPAIR_20260707","B3_ACTION_SUMMARY.csv","1","288","FED798814B07E653FA77ABA9C553371D57CD25B88E94BE442AC60D90C1B6B3A9"
"B3","C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\outputs\B3_POST_86D260CD_NONSLAVIC_D9_ROUTE_AND_C0_REPAIR_20260707","BRANCH_PR_STATE.csv","9","429","D0AA886A68A6567456EDBAF83ED58641BD16D9F59134EE6D33BBADE0FB6017F7"
"B3","C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\outputs\B3_POST_86D260CD_NONSLAVIC_D9_ROUTE_AND_C0_REPAIR_20260707","MANIFEST_REPLAY.csv","31","8116","CA670A1F38A4D5AF413885647A1C2473D07A742C5D3FBE94E4813853147F2F63"
"B3","C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\outputs\B3_POST_86D260CD_NONSLAVIC_D9_ROUTE_AND_C0_REPAIR_20260707","MANIFEST.csv","9","1771","175D032608FE0A767676100883496AA79504A163A5005A926343AACDC50D6DA7"
"B3","C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\outputs\B3_POST_86D260CD_NONSLAVIC_D9_ROUTE_AND_C0_REPAIR_20260707","PACKAGE_FILE_LEDGER.csv","37","20238","53632425AE751F1B807D1ADF386D2ECFC6C27D32702EA00706029B2C9FE85EE7"
"B3","C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\outputs\B3_POST_86D260CD_NONSLAVIC_D9_ROUTE_AND_C0_REPAIR_20260707","PACKAGE_ROOT_SUMMARY.csv","2","1156","84F39BB4034BC9FEF8BCA2DA578DDE37B7E7229C6F6A35F617FD5D0D5E3130E6"
"B3","C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\outputs\B3_POST_86D260CD_NONSLAVIC_D9_ROUTE_AND_C0_REPAIR_20260707","POST_PUSH_BRANCH_BLOB_VERIFICATION_BY_FROZEN_OID.csv","47","12734","853726ECD6E33E4390601857843BBCA6A89673A33242EFD3D27A51F13CF68B24"
"B3","C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\outputs\B3_POST_86D260CD_NONSLAVIC_D9_ROUTE_AND_C0_REPAIR_20260707","SAFETY_SCAN_HITS.csv","1","901","4C6F9DC23CBD2C7E0D83943A54A6C2AC2AA71A37404D944519BDAF484A099AE5"
"B3","C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-package-steward-b3\outputs\B3_POST_86D260CD_NONSLAVIC_D9_ROUTE_AND_C0_REPAIR_20260707","SHA256SUMS_REPLAY.csv","35","8579","656DB47054AD285754CD2A56F3B4FEB7E774AF542DA152953F6DC677FA374342"
"Non-Slavic Core","C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NON_SLAVIC_CORE_D9EA29B0_C0CB_FRONTIER_ADVANCE_ROUTE_20260707","B3_PACKAGE_ROUTE_SUMMARY_D9EA29B0.csv","8","4536","7567AA2EAE2B7A2445F68CECFCCAD167E36F9B04422E9D58EFD9FB6CF92AA732"
"Non-Slavic Core","C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NON_SLAVIC_CORE_D9EA29B0_C0CB_FRONTIER_ADVANCE_ROUTE_20260707","BRANCH_CHANGED_PATH_CATEGORY_ROWS_D9EA29B0.csv","133","56438","8A7ECC3416246697088E2A389A32DA1FE273725B43661CEEEFB74F2287C80614"
"Non-Slavic Core","C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NON_SLAVIC_CORE_D9EA29B0_C0CB_FRONTIER_ADVANCE_ROUTE_20260707","BRANCH_CHANGED_PATH_CATEGORY_SUMMARY_D9EA29B0.csv","5","173","5C44564BB36C93426044E3E83ECB7089CBBC1506DD5DA080E572EC3E748245D9"
"Non-Slavic Core","C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NON_SLAVIC_CORE_D9EA29B0_C0CB_FRONTIER_ADVANCE_ROUTE_20260707","BRANCH_COMPARE_COMMITS_C0CB1DB1_TO_D9EA29B0.csv","1","695","1AFC99618C53EFE7893378A427CC14D843AE4E6BAA129CD5D62D8911651B79E0"
"Non-Slavic Core","C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NON_SLAVIC_CORE_D9EA29B0_C0CB_FRONTIER_ADVANCE_ROUTE_20260707","BRANCH_COMPARE_FILES_C0CB1DB1_TO_D9EA29B0.csv","133","34225","75BE7CC7BDB68F8D20CDEEE644E8C60A25D9A1C8F6E7FB1A5A19C7424F730864"
"Non-Slavic Core","C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NON_SLAVIC_CORE_D9EA29B0_C0CB_FRONTIER_ADVANCE_ROUTE_20260707","C0CB_ROUTE_REPAIR_VALIDATION_ROWS_D9EA29B0.csv","1","702","CD11F2692FA77DAC0498D7D15E8790C91CF85C6D283E1720769D1B4D325733D6"
"Non-Slavic Core","C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NON_SLAVIC_CORE_D9EA29B0_C0CB_FRONTIER_ADVANCE_ROUTE_20260707","CHILD_PACKET_CSV_ROW_COUNTS_D9EA29B0.csv","139","53048","7F456513AE8C7EC2E8AF401426D15527340E261C446759BDC6197726DDA18D62"
"Non-Slavic Core","C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NON_SLAVIC_CORE_D9EA29B0_C0CB_FRONTIER_ADVANCE_ROUTE_20260707","CHILD_PACKET_INVENTORY_D9EA29B0.csv","11","6209","9D7547CF3AE0F432200E6796433D7FE43FBBDB7A27EA9ADAD4ABF7A0C30D0C4B"
"Non-Slavic Core","C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NON_SLAVIC_CORE_D9EA29B0_C0CB_FRONTIER_ADVANCE_ROUTE_20260707","EIGHT_LANE_SOURCE_GATE_ROUTING_D9EA29B0.csv","8","2219","C68DDC386E39B7022E9353860F4448E2A855A0BF3A2D4567B1FBDE4174430DC4"
"Non-Slavic Core","C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NON_SLAVIC_CORE_D9EA29B0_C0CB_FRONTIER_ADVANCE_ROUTE_20260707","EXACT_BLOCKER_RECOVERY_ROWS_D9EA29B0.csv","7","1522","0D07F79BD9902DE9983EBB89FF5768678E10225F50AD66EFAEB4689BC2A30822"
"Non-Slavic Core","C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NON_SLAVIC_CORE_D9EA29B0_C0CB_FRONTIER_ADVANCE_ROUTE_20260707","MANIFEST.csv","16","1875","E9F65BDF6C47B09DBB3B6355A598B133BDCC38D690BD932E31FC5F9B017A126B"
"Non-Slavic Core","C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NON_SLAVIC_CORE_D9EA29B0_C0CB_FRONTIER_ADVANCE_ROUTE_20260707","PACKET_MANIFEST_REPLAY_D9EA29B0.csv","16","3316","A1A4A94BF8F76DDB34A2583067E99CA45A098152539246EA840859CEE95B98FA"
"Non-Slavic Core","C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NON_SLAVIC_CORE_D9EA29B0_C0CB_FRONTIER_ADVANCE_ROUTE_20260707","SIBLING_B3_HANDOFF_ROWS_D9EA29B0.csv","3","681","064B505DC5DA9F83DE130AD4124A40E486F0388BEAA44BE09B16DB3E1D927B5C"
"Non-Slavic Core","C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NON_SLAVIC_CORE_D9EA29B0_C0CB_FRONTIER_ADVANCE_ROUTE_20260707","SOURCE_BODY_EVIDENCE_ASSESSMENT_D9EA29B0.csv","5","1807","C6BF740FB7A5C1CEBE00E7F3449E44B9C463FD9C4490E6DF50378AF59213B7AD"
"Non-Slavic Core","C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NON_SLAVIC_CORE_D9EA29B0_C0CB_FRONTIER_ADVANCE_ROUTE_20260707","SOURCE_USE_GAP_FABLE_ADVERSE_LEDGER_D9EA29B0.csv","6","2709","4BB8315949937F93FEE878068C39B7BE2341A1BEA07AF8C7D275C38DAEBDAF72"
"Non-Slavic Core","C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NON_SLAVIC_CORE_C0CB1DB1_68E_PERSIANATE_TAJIK_RETURN_ROUTE_20260707","B3_PACKAGE_ROUTE_SUMMARY_C0CB1DB1.csv","2","1477","AEE9315144374703F7946636E8DBD92F9BC61DB98263AD8C31DE1C988B27AAC6"
