"control_id","evidence_class","logical_source","disposition","reason"
"SGA2-X-L3568-CUST-001","producer_tree","R2 producer privacy-successor root","selected_exact_subset","35 handoff-listed privacy-clean files retained byte-for-byte"
"SGA2-X-L3568-CUST-002","independent_review_tree","controlling fresh R2 review root","selected_exact_subset","14 handoff-listed controlling-review files retained byte-for-byte"
"SGA2-X-L3568-CUST-003","target_tex_pdf","producer target TeX and PDF","included_exact","formal handoff identities retained"
"SGA2-X-L3568-CUST-004","target_renders","producer and independent 200-dpi target rasters","included_exact","byte-identical English target visual QA evidence is public"
"SGA2-X-L3568-CUST-005","source_page_raster","same-edition physical page 105 raster","rights_blocked_not_public","exact metadata retained in rights witness ledgers"
"SGA2-X-L3568-CUST-006","source_body","French source slice and source-page extracted text","excluded","authority identity and boundary retained without redistribution"
"SGA2-X-L3568-CUST-007","comparison_body","jcreinhold comparison excerpt","excluded","comparison-only lineage is not authority"
"SGA2-X-L3568-CUST-008","predecessor_raw_logs","R1 private-path-bearing build logs","excluded_hash_bound_history","R2 privacy successor retains the adverse finding without the paths"
"SGA2-X-L3568-CUST-009","scripts_and_intermediates","producer and review scripts bytecode aux out and empty streams","excluded","not part of the handoff-listed public subset"
"SGA2-X-L3568-CUST-010","artifact_tool_panels","five bulky machine-ledger panels","excluded","receipt and formula-error control retained"
"SGA2-X-L3568-CUST-011","duplicate_rebuild_pdf","byte-identical independent rebuild PDF","excluded","text raster font and build evidence retained without duplicate reader"
"SGA2-X-L3568-CUST-012","failed_review","R1 independent privacy FAIL","excluded_hash_bound_history","R2 producer and controlling review bind the adverse chronology"
"SGA2-X-L3568-CUST-013","adjacent_part_ii","separate lines3573-3574 package","published_separately_same_action","preserves source order and independent handoff boundaries"
