pdf_page,dpi,width_px,height_px,baseline_pixel_sha256,final_pixel_sha256,pixel_exact,word_text_equal,changed_word_boxes,maximum_word_coordinate_delta_points,status
1,180,1489,2105,6149A7E04F48FB681653873323BCBE2731074E2EF0473E1C2ABFDE83B1D7AC76,6149A7E04F48FB681653873323BCBE2731074E2EF0473E1C2ABFDE83B1D7AC76,true,true,0,0.000000000,PASS_PIXEL_EXACT
2,180,1489,2105,9971A3F2DA147E2A1A070988F40589E1D1ECCF06712C8E8461179E01BB6F05B8,9971A3F2DA147E2A1A070988F40589E1D1ECCF06712C8E8461179E01BB6F05B8,true,true,0,0.000000000,PASS_PIXEL_EXACT
3,180,1489,2105,211D589EAA74E0DD10CFD7DA48AF3E1A17DE58A65B9DB5649B7467E157F5A7F7,211D589EAA74E0DD10CFD7DA48AF3E1A17DE58A65B9DB5649B7467E157F5A7F7,true,true,0,0.000000000,PASS_PIXEL_EXACT
4,180,1489,2105,6A636EE4EE16117888714D41E1BB5DD61BFCEDB846C73EAC60089B4C2E79E120,6A636EE4EE16117888714D41E1BB5DD61BFCEDB846C73EAC60089B4C2E79E120,true,true,0,0.000000000,PASS_PIXEL_EXACT
5,180,1489,2105,A266FE404643C8E6FB445AB1599E8A8A580A52E283435E1F4837132CA2FFC038,A266FE404643C8E6FB445AB1599E8A8A580A52E283435E1F4837132CA2FFC038,true,true,0,0.000000000,PASS_PIXEL_EXACT
6,180,1489,2105,6609B6B42289CD2DBC43DC0D85D10BD7854A22EDB0BCC75125C03028711C3370,6609B6B42289CD2DBC43DC0D85D10BD7854A22EDB0BCC75125C03028711C3370,true,true,0,0.000000000,PASS_PIXEL_EXACT
7,180,1489,2105,12E3E825E46A7E3000EF4EDB727D1DEF34E5BFB58CD75D49E0EAD4EE5B8959FE,12E3E825E46A7E3000EF4EDB727D1DEF34E5BFB58CD75D49E0EAD4EE5B8959FE,true,true,0,0.000000000,PASS_PIXEL_EXACT
8,180,1489,2105,F1D8AF23FCC0690E9EAC7851A851D5E75310B21B2A220FC0FA627E0735B854F3,F1D8AF23FCC0690E9EAC7851A851D5E75310B21B2A220FC0FA627E0735B854F3,true,true,0,0.000000000,PASS_PIXEL_EXACT
9,180,1489,2105,89AE8CC6EBBBC6CE5BA86C4BEF85E752D43CA9028AC559153242268E7EE8CC2B,89AE8CC6EBBBC6CE5BA86C4BEF85E752D43CA9028AC559153242268E7EE8CC2B,true,true,0,0.000000000,PASS_PIXEL_EXACT
10,180,1489,2105,62D795EDA4582B5D102A9B46C8519D83EA62AB7C2BCE6D765B4FC0A826A803C6,62D795EDA4582B5D102A9B46C8519D83EA62AB7C2BCE6D765B4FC0A826A803C6,true,true,0,0.000000000,PASS_PIXEL_EXACT
