path,role,language,script,status
source/Noether_Paper27_German_P31Canonical_20260718.tex,standalone sealed-source control,de,Latn,source checked
source/Noether_Paper27_German_P31Canonical_20260718.pdf,compiled source control,de,Latn,build text and render pass
source/Noether_Paper27_German_P31Canonical_20260718.log,acceptance build log,de,Latn,diagnostic scan pass
ko/Noether_Paper27_Korean_v001.tex,complete source-synchronized translation,ko,Hang,internally source checked
ko/Noether_Paper27_Korean_v001.pdf,compiled translation,ko,Hang,build text and render pass
ko/Noether_Paper27_Korean_v001.log,acceptance build log,ko,Hang,diagnostic scan pass
decisions/NOE-P27-HILBERT_NUMBERS.ko.json,typed terminology decision,ko,Hang,schema valid held
evidence/KOREAN_NATIVE_EXAMPLE_CORPUS_SLICE.csv,row-level Korean corpus slice,ko,Hang,evidence limitations declared
evidence/CJKV_CROSSWALK_P27_KO.csv,sense dominance and attractor crosswalk,ko,Hang,field policy valid
evidence/TYPED_CONCEPT_EVIDENCE_GRAPH.json,typed concept/evidence graph,ko;de,mixed,JSON and edge integrity pass
evidence/SOURCE_VERSION_CURSOR.md,source and continuation cursor,ko;de,mixed,current
evidence/structural_index/STRUCTURAL_INDEX.jsonl,hierarchical source-target structural authority,ko;de,mixed,validated 20 records
evidence/structural_index/STRUCTURAL_INDEX.csv,flat structural-index projection,ko;de,mixed,projection parity pass
evidence/structural_index/STRUCTURAL_INDEX.schema.json,structural-index schema,metadata,Latn,formal validation pass
evidence/structural_index/STRUCTURAL_INDEX_METADATA.json,coverage declaration and absent-type inventory,metadata,Latn,current
evidence/structural_index/validate_structural_index.py,structural hierarchy locator hash and projection validator,metadata,Latn,pass
evidence/difficulty_ledger/DIFFICULTY_LEDGER.jsonl,append-only hard-part and failure authority,ko;de,mixed,validated 10 issues
evidence/difficulty_ledger/DIFFICULTY_LEDGER.csv,flat difficulty-ledger projection,ko;de,mixed,projection parity pass
evidence/difficulty_ledger/DIFFICULTY_LEDGER.schema.json,difficulty-ledger schema,metadata,Latn,formal validation pass
evidence/difficulty_ledger/validate_difficulty_ledger.py,difficulty relation and projection validator,metadata,Latn,pass
terminology/TERMINOLOGY_LEDGER.csv,terminology decision ledger,ko;de,mixed,current
terminology/ADVERSE_EVIDENCE_LEDGER.csv,adverse absence and veto ledger,ko;de,mixed,current
visual_inspection/Noether_Paper27_German_control.png,180-dpi render evidence,de,Latn,visually inspected pass
visual_inspection/Noether_Paper27_Korean_v001.png,180-dpi render evidence,ko,Hang,visually inspected pass
README.md,tranche overview,ko;de,mixed,current
SOURCE_USE.md,source provenance and authority,ko;de,mixed,current
SOURCE_CHECK.md,source and fidelity audit,ko;de,mixed,pass
HANGUL_HANJA_AND_KOREAN_STANDARD_POLICY.md,script and Korean-standard policy,ko,Hang,current
TERMINOLOGY.md,terminology summary,ko;de,mixed,current
REVIEW_QUESTIONS.md,unresolved reviewer queue,ko;de,mixed,open nonblocking
BUILD_REPORT.md,build and extraction validation,ko;de,mixed,pass
RENDER_CHECK.md,visual validation,ko;de,mixed,pass
STATUS.md,closure state and continuation cursor,ko;de,mixed,handoff ready
MANIFEST.csv,payload inventory,ko;de,mixed,current
WORKER_RETURN.md,production return,ko;de,mixed,current
SHA256SUMS.txt,immutable file hashes,ko;de,mixed,generated after final validation
