"gap_id","gap_class","source_row_id","owner_or_consumer","target_language_or_access_target","source_title","source_url","local_path","sha256_or_expected_hash","blocker_or_drift","route_or_action","r3_policy_hint","sidecar_decision","boundary","created_utc"
"R3-GAP-ACTION-001","master_gap_or_blocker","r3_normalized_witness::dari_knu_linear_algebra_pdf_candidate_8809","Persianate/Tajik source-canon lane, prs_AF separate gate only","Dari/Afghan Persian, prs_AF","KNU OPAC candidate PDF 8809.PDF for جبر خطی","https://library.knu.edu.af/opac/temp/8809.PDF","","","If fetch fails, use OPAC record as provenance only. | Response status code does not indicate success: 404 (Not Found). | Dari/Afghan Persian PDF candidate, hash if retrievable. | Separate Dari gate; no Farsi inheritance.","Do not publish a missing payload; publish candidate URL, failure, and blocker only.","","blocker sidecar only; no payload","Source-canon/provenance witness only; no translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, or Git push. fa_IR, prs_AF, tg_Cyrl_TJ, Urdu, Hindustani, and Pan-Turkic evidence remain separate unless their own source gates close.","20260705T061020Z"
"R3-GAP-ACTION-002","master_gap_or_blocker","r3_normalized_witness::gap_ar_invariant_theory_tex_arxiv","novel_or_blocked_gap_registry","Controlled Arabic / Arabic RTL","Arabic direct TeX/arXiv invariant-theory source package","","","","Search found Arabic mentions (e.g. Frank Grosshans/Wolf Prize) but not a direct Arabic TeX/arXiv/source archive for the invariant-theory term cluster. | Do not route invariant-theory Arabic bridge terms from weak mentions. | Arabic invariant theory direct specialist source remains open.","No source payload; publish gap row, URL/search notes where available, and blocker only.","","gap sidecar only; no payload","Source-canon/provenance witness only; no translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, or Git push.","20260705T061020Z"
"R3-GAP-ACTION-003","master_gap_or_blocker","r3_normalized_witness::gap_fa_invariant_theory_tex_arxiv","novel_or_blocked_gap_registry","Persian/Farsi (Iran), fa_IR","Persian/Farsi TeX/arXiv invariant-theory source package","","","","Persian invariant theory wikitext and one PDF mention found; no Persian TeX/arXiv/source archive found in this pass. | Persian wiki/PDF witnesses are review-only until specialist source closes. | No bridge promotion.","No source payload; publish gap row, URL/search notes where available, and blocker only.","","gap sidecar only; no payload","Source-canon/provenance witness only; no translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, or Git push. fa_IR, prs_AF, tg_Cyrl_TJ, Urdu, Hindustani, and Pan-Turkic evidence remain separate unless their own source gates close.","20260705T061020Z"
"R3-GAP-ACTION-004","master_gap_or_blocker","r3_normalized_witness::gap_dari_tajik_tex_arxiv","novel_or_blocked_gap_registry","Dari/Tajik separate-gate gap row","Dari/Tajik direct TeX/arXiv source packages","","","","Tajik MediaWiki and Afghan/Dari PDF/catalog provenance found; no TeX/arXiv/source package found. | Dari and Tajik stay separate; Farsi cannot authorize them. | No merged Persianate bridge.","No source payload; publish gap row, URL/search notes where available, and blocker only.","","gap sidecar only; no payload","Source-canon/provenance witness only; no translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, or Git push. fa_IR, prs_AF, tg_Cyrl_TJ, Urdu, Hindustani, and Pan-Turkic evidence remain separate unless their own source gates close.","20260705T061020Z"
"R3-GAP-ACTION-005","master_gap_or_blocker","external_lane_pointer::Persian Noether-topic TeX/arXiv source package","","Persian/Farsi (Iran)","Persian Noether-topic TeX/arXiv source package","","","","no Persian-language TeX/arXiv/source archive found for Noether-style algebra/invariant theory in this pass","","","gap sidecar only; no payload","do not infer from English-language Iranian publications; external pointer only; no R3 promotion or completion claim","20260705T061020Z"
"R3-GAP-ACTION-006","master_gap_or_blocker","external_lane_pointer::Dari TeX/arXiv/invariant-theory source packages","","Dari/Persian (Afghanistan)","Dari TeX/arXiv/invariant-theory source packages","","","","no Dari/Afghan Persian TeX/source archive or direct invariant-theory witness found in this pass","","","gap sidecar only; no payload","do not borrow fa_IR invariant-theory renderings; external pointer only; no R3 promotion or completion claim","20260705T061020Z"
"R3-GAP-ACTION-007","master_gap_or_blocker","external_lane_pointer::TGPU ring/field PDF candidate","","Tajik Cyrillic","TGPU ring/field PDF candidate","https://vestnik.tgpu.tj/Content/files/JournalsPDF/a5b992cf-3aca-4997-9e59-11bd0e34dc3d.pdf","outputs/source_canon_witness_cache_20260704/tg_cyrl_tgpu_ring_field_candidate_404.html","12EAFE6435F4C02A65306F1CF02F26798F9A46C3074608F51B51014C07FA6580","direct URL returned 404 HTML; do not cite as source evidence","","","gap sidecar only; no payload","failed candidate only; external pointer only; no R3 promotion or completion claim","20260705T061020Z"
"R3-GAP-ACTION-008","master_gap_or_blocker","external_lane_pointer::Tajik abstract algebra / TeX source package","","Tajik Cyrillic","Tajik abstract algebra / TeX source package","","","","no reliable Tajik Cyrillic ring/module/ideal/Galois/representation source package isolated","","","gap sidecar only; no payload","Tajik remains source-discovery only; external pointer only; no R3 promotion or completion claim","20260705T061020Z"
"R3-GAP-ACTION-009","master_gap_or_blocker","r3_gap_refresh::fa_researchgate_cartan_invariant_method_pdf_fetch_blocked","Persianate/Tajik source-canon lane, fa_IR review-only candidate","Persian/Farsi (Iran), fa_IR","کاربرد نظریه هم ارزی کارتان در معادلات دیفرانسیل / Application of Cartan equivalence method in differential equations","https://www.researchgate.net/profile/Mehdi-Nadjafikhah/publication/309668551_Hesamiarshad_-_Application_of_Cartan%27s_equivalence_method_in_differential_equations_-_PhD_Thesis_-_2014/links/581c4e8b08aea429b291a79e/Hesamiarshad-Application-of-Cartans-equivalence-method-in-differential-equations-PhD-Thesis-2014.pdf","","","Candidate Persian invariant-method PDF only; direct fetch is expected to fail under access controls and it does not close Persian algebraic invariant-theory TeX/source gap. | Response status code does not indicate success: 403 (Forbidden).","If fetch fails, publish URL/error as blocker only; no payload.","","blocker sidecar only; no payload","Source-canon/provenance witness only; no translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane packaging claim, or Git push. fa_IR, prs_AF, tg_Cyrl_TJ, Pashto, Urdu, Hindustani, and Pan-Turkic evidence remain separate unless their own source gates close.","20260705T061020Z"
"R3-GAP-ACTION-010","master_gap_or_blocker","r3_gap_refresh::gap_ar_invariant_theory_tex_source_still_open_20260704","novel_or_blocked_gap_registry","Controlled Arabic / Arabic RTL","Arabic invariant-theory TeX/arXiv/source archive","","","","Arabic searches found ring/Noetherian PDF provenance and weak invariant-theory phrase evidence, but no Arabic TeX/LaTeX/arXiv/source-package witness for invariant theory.","Publish gap row only.","","gap sidecar only; no payload","Source-canon/provenance witness only; no translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane packaging claim, or Git push.","20260705T061020Z"
"R3-GAP-ACTION-011","master_gap_or_blocker","r3_gap_refresh::gap_fa_invariant_theory_tex_source_still_open_20260704","novel_or_blocked_gap_registry","Persian/Farsi (Iran), fa_IR","Persian invariant-theory TeX/arXiv/source archive","","","","Persian searches found PDF/provenance and a fetch-blocked invariant-method candidate, but no Persian-language TeX/arXiv/source archive for Noether-style algebraic invariant theory.","Publish gap row only.","","gap sidecar only; no payload","Source-canon/provenance witness only; no translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane packaging claim, or Git push. fa_IR, prs_AF, tg_Cyrl_TJ, Pashto, Urdu, Hindustani, and Pan-Turkic evidence remain separate unless their own source gates close.","20260705T061020Z"
"R3-GAP-ACTION-012","master_gap_or_blocker","r3_gap_refresh::gap_prs_tg_tex_source_still_open_20260704","novel_or_blocked_gap_registry","Dari/Tajik separate-gate gap row","Dari/Tajik TeX/arXiv/source archive for linear algebra or invariant theory","","","","New prs_AF and tg_Cyrl_TJ PDF provenance improves source-canon support, but no TeX/arXiv/source package was found. Farsi evidence still cannot authorize Dari or Tajik.","Publish gap row only.","","gap sidecar only; no payload","Source-canon/provenance witness only; no translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane packaging claim, or Git push. fa_IR, prs_AF, tg_Cyrl_TJ, Pashto, Urdu, Hindustani, and Pan-Turkic evidence remain separate unless their own source gates close.","20260705T061020Z"
"R3-GAP-ACTION-013","master_gap_or_blocker","r3_github_archive_probe::gap_github_ar_invariant_noether_tex_archive_20260704","novel_or_blocked_gap_registry","Controlled Arabic / Arabic RTL","Arabic invariant-theory / Noetherian-ring GitHub TeX/source archive","","","","GitHub repository searches for Arabic invariant theory, Arabic Noetherian ring, and Arabic/LaTeX math source packages returned no usable Arabic mathematical source archive in this pass.","Publish gap row only.","","gap sidecar only; no payload","Source-canon/provenance witness only; no translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane packaging claim, or Git push.","20260705T061020Z"
"R3-GAP-ACTION-014","master_gap_or_blocker","r3_github_archive_probe::gap_github_fa_invariant_noether_tex_archive_20260704","novel_or_blocked_gap_registry","Persian/Farsi (Iran), fa_IR","Persian/Farsi invariant-theory / Noether GitHub TeX/source archive","","","","GitHub repository searches for Persian invariant theory, Noether Persian TeX, and XePersian algebra returned no new Persian mathematical source archive beyond the already indexed SireJeff linear-algebra source.","Publish gap row only.","","gap sidecar only; no payload","Source-canon/provenance witness only; no translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane packaging claim, or Git push. fa_IR, prs_AF, tg_Cyrl_TJ, Pashto, Urdu, Hindustani, and Pan-Turkic evidence remain separate unless their own source gates close.","20260705T061020Z"
"R3-GAP-ACTION-015","master_gap_or_blocker","r3_github_archive_probe::gap_github_prs_tg_tex_archive_rate_limited_20260704","novel_or_blocked_gap_registry","Dari/Tajik separate-gate gap row","Dari/Tajik GitHub TeX/source archive","","","","Broad GitHub searches for Dari/Tajik algebra LaTeX returned zero earlier in this pass; later TeX-specific GitHub API queries hit rate limit, so this remains an explicit open gap/search-access blocker rather than a proof of absence.","Publish blocker row only.","","gap sidecar only; no payload","Source-canon/provenance witness only; no translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane packaging claim, or Git push. fa_IR, prs_AF, tg_Cyrl_TJ, Pashto, Urdu, Hindustani, and Pan-Turkic evidence remain separate unless their own source gates close.","20260705T061020Z"
"R3-GAP-ACTION-016","arabic_external_pointer_live_drift","external_lane_pointer::AR-SRC-INV-009","Arabic RTL source-canon lane","Controlled Arabic / Arabic RTL","Arabic RTL source witness AR-SRC-INV-009: invariant rings; group actions; Hilbert series; finite fields","https://www.arabicscholar.com/%D8%A7%D9%84%D8%AB%D9%88%D8%A7%D8%A8%D8%AA-%D8%A7%D9%84%D9%85%D8%B5%D9%81%D9%88%D9%81%D9%8A%D8%A9-%D8%A7%D9%84%D9%85%D9%88%D8%AF%D9%88%D9%84%D8%A7%D8%B1%D9%8A%D8%A9-%D8%AA%D8%AD%D8%AA-%D8%A8%D8%B9/","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\work\source_probe_payload_cache\R3_ARABIC_EXTERNAL_POINTER_PAYLOAD_PROBE_20260704T210216Z\fetched\arabicscholar_modular_matrix_invariants_2026.html","expected=5B469F0809C89A9365DE974B8AA7E86FEA6F37F9309117654BD51B53623049F4; actual=4E0F0D20CBF428835ED75D1F31737988DA38F8C4F7E735D240CD14C946C6389F","Live fetch hash differs from external pointer; preserve as drift/blocker and do not replace owner-lane expected hash without B3 or owner-lane review.","record as manifest-only drift blocker","manifest_hash_url_only_no_payload_until_B3_license_review","drift/blocker sidecar only; no raw payload publication","Source-canon/provenance only; no translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, or Git push.","20260705T061020Z"
"R3-GAP-ACTION-017","arabic_external_pointer_live_drift","external_lane_pointer::AR-SRC-INV-010","Arabic RTL source-canon lane","Controlled Arabic / Arabic RTL","Arabic RTL source witness AR-SRC-INV-010: geometric invariant theory; quotient/moduli phrases","https://shamra-academia.com/show/f0597758b3ef43","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\work\source_probe_payload_cache\R3_ARABIC_EXTERNAL_POINTER_PAYLOAD_PROBE_20260704T210216Z\fetched\shamra_invariance_system_theory_arabic_summary.html","expected=79FBC8D73B5BB9521C24F778B5536B205DC193A21D18B3CDA3C264CB255B67CF; actual=E8CFF35F018A69200B17D0E1BEE7B3FBAAFF543D40A66338423AE110EDFB9AD7","Live fetch hash differs from external pointer; preserve as drift/blocker and do not replace owner-lane expected hash without B3 or owner-lane review.","record as manifest-only drift blocker","manifest_hash_url_only_no_payload_until_B3_license_review","drift/blocker sidecar only; no raw payload publication","Source-canon/provenance only; no translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, or Git push.","20260705T061020Z"
"R3-GAP-ACTION-018","arabic_external_pointer_live_drift","external_lane_pointer::AR-SRC-REP-011","Arabic RTL source-canon lane","Controlled Arabic / Arabic RTL","Arabic RTL source witness AR-SRC-REP-011: representation theory; algebraic structures; invariant theory topic map","https://www.marefa.org/%D9%81%D8%B6%D8%A7%D8%A1_%D8%A7%D9%84%D8%AA%D9%85%D8%AB%D9%8A%D9%84","C:\Users\memo_\Documents\Codex\2026-07-04\noether-r3-arabic-persianate-linear-algebra\work\source_probe_payload_cache\R3_ARABIC_EXTERNAL_POINTER_PAYLOAD_PROBE_20260704T210216Z\fetched\marefa_representation_space_public_topic_map.html","expected=A280CD052DC59561262DFF5916FA382794FE32133193690ABE2801A3ED104F41; actual=5DF3976F14DA0FA141D3AAE4C2F1B34FF3ECA04809459DC45875016427118A18","Live fetch hash differs from external pointer; preserve as drift/blocker and do not replace owner-lane expected hash without B3 or owner-lane review.","record as manifest-only drift blocker","manifest_hash_url_only_no_payload_until_B3_license_review","drift/blocker sidecar only; no raw payload publication","Source-canon/provenance only; no translation, glossary expansion, bridge promotion, native review, canonical approval, license clearance, gate promotion, completion claim, lane package claim, or Git push.","20260705T061020Z"
