manifest_id,relative_path,absolute_path,source_use_label,language_bucket,file_role,extension,byte_count,sha256,source_use_label_note
CJK-PACKAGE-FILE-20260705-0001,generated-draft/CJK_GENERATED_DRAFT_SCAFFOLDS.csv,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\generated-draft\CJK_GENERATED_DRAFT_SCAFFOLDS.csv,native-source-body,cjk,generated draft/non-canonical scaffold support,.csv,311537,4784A4D7F41C007C788FAAAC4806A143AA67B4508AC0CB0B682EDEF9DD0E47ED,non-empty external source body
CJK-PACKAGE-FILE-20260705-0002,generated-draft/CJK_GENERATED_DRAFT_SCAFFOLDS.json,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\generated-draft\CJK_GENERATED_DRAFT_SCAFFOLDS.json,native-source-body,cjk,generated draft/non-canonical scaffold support,.json,358863,69FC8732FA629B22BE75424AFE41BE76A6E024FA4C3960695478735F239DF51F,non-empty external source body
CJK-PACKAGE-FILE-20260705-0003,generated-draft/README.md,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\generated-draft\README.md,native-source-body,cjk,generated draft/non-canonical scaffold support,.md,708,9A33D3B887CCBC04191BCAB9E412A7583C0AE400A922CBD1C4A8C3397E19632B,non-empty external source body
CJK-PACKAGE-FILE-20260705-0004,logbook.csv,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\logbook.csv,native-source-body,cjk,logbook or logbook excerpt,.csv,34253,9A48CAB7B584453EEBBBA17D1EF9CBE9387754E0B570A49A7A0FC483E4185DE2,non-empty external source body
CJK-PACKAGE-FILE-20260705-0005,logbook.json,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\logbook.json,native-source-body,cjk,logbook or logbook excerpt,.json,49804,72ACB89B68BCB4691FC1CCD6A4D3D7B1D9616332E414F388B2D0FA6904E73D14,non-empty external source body
CJK-PACKAGE-FILE-20260705-0006,logbook.md,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\logbook.md,native-source-body,cjk,logbook or logbook excerpt,.md,15407,66D446329C731B76301117FEE678FDF94612C3F6DAAD4D7CB2BA3EB314DD7FB6,non-empty external source body
CJK-PACKAGE-FILE-20260705-0007,logs/LOGBOOK_EXCERPT_20260705.md,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\logs\LOGBOOK_EXCERPT_20260705.md,native-source-body,cjk,logbook or logbook excerpt,.md,4574,1786ECDB3F085A671EC94A9FA6A7CF10D092079D2CE63ACC60872A90B1D0C3EC,non-empty external source body
CJK-PACKAGE-FILE-20260705-0008,manifest.csv,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\manifest.csv,native-source-body,cjk,manifest or checksum support,.csv,33794,8708E85D4704F60D811C47AA56298FB44E31B5D06F05D219EE4391435AC56C8E,non-empty external source body
CJK-PACKAGE-FILE-20260705-0009,manifest.json,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\manifest.json,native-source-body,cjk,manifest or checksum support,.json,54711,E8FC3AAB0AA2344801D4E2EAC51FA017A42A9ABCA1616A50C5EF362A0101416E,non-empty external source body
CJK-PACKAGE-FILE-20260705-0010,README.md,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\README.md,native-source-body,cjk,package README and caveat,.md,1663,3D3549A24FE33C21FC222763F03FD719D4AABF0A482EC4E2165990DC6858C180,non-empty external source body
CJK-PACKAGE-FILE-20260705-0011,source-files/japanese/HideakiHosaka__2015_linear_algebra/20150415.tex,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\source-files\japanese\HideakiHosaka__2015_linear_algebra\20150415.tex,native-source-body,japanese,literal external source body,.tex,44219,EE171BE5FEDF9F49B1A424EA825746DBA65230CB56E6FC00A412C60F985665B1,non-empty external source body
CJK-PACKAGE-FILE-20260705-0012,source-files/japanese/HideakiHosaka__2015_linear_algebra/20150422.tex,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\source-files\japanese\HideakiHosaka__2015_linear_algebra\20150422.tex,native-source-body,japanese,literal external source body,.tex,34312,E1DFC26FCC002C626D5F5737D87CDF0475BB2D5344E9ABD1F4DF5B24BAAF267F,non-empty external source body
CJK-PACKAGE-FILE-20260705-0013,source-files/japanese/HideakiHosaka__2015_linear_algebra/20150507.tex,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\source-files\japanese\HideakiHosaka__2015_linear_algebra\20150507.tex,native-source-body,japanese,literal external source body,.tex,47054,10801E9E1D00E5D629A74FDA49D95388121D84009E24A5046E5903FC3E5D33BE,non-empty external source body
CJK-PACKAGE-FILE-20260705-0014,source-files/japanese/HideakiHosaka__2015_linear_algebra/2015linear_algebra.tex,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\source-files\japanese\HideakiHosaka__2015_linear_algebra\2015linear_algebra.tex,native-source-body,japanese,literal external source body,.tex,4614,2069AFD7036835AC4D84BED762585B2D88B3AF2777AB0AFA7F210EFF40EC1747,non-empty external source body
CJK-PACKAGE-FILE-20260705-0015,source-files/japanese/homuralove__linear-algebra/L-Alg.tex,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\source-files\japanese\homuralove__linear-algebra\L-Alg.tex,native-source-body,japanese,literal external source body,.tex,106732,416C5538CC68605787A5656C212B9BC6DAEAD25BBBA434AED9ABE7C88C777F3C,non-empty external source body
CJK-PACKAGE-FILE-20260705-0016,source-files/japanese/imamuray__algebraic-systems/ch02-group/ch02-group.tex,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\source-files\japanese\imamuray__algebraic-systems\ch02-group\ch02-group.tex,native-source-body,japanese,literal external source body,.tex,53619,9A2E499E416B87860AA8F9067A7822F2EADD8677844CDDE54122ED7819871586,non-empty external source body
CJK-PACKAGE-FILE-20260705-0017,source-files/japanese/imamuray__algebraic-systems/ch03-ring-and-polynomial/ch03-ring-and-polynomial.tex,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\source-files\japanese\imamuray__algebraic-systems\ch03-ring-and-polynomial\ch03-ring-and-polynomial.tex,native-source-body,japanese,literal external source body,.tex,33180,DB8C239FBD0FD44AA1D6E6AA431255DF6947FA99CA51C3AFD88199597E3ACA21,non-empty external source body
CJK-PACKAGE-FILE-20260705-0018,source-files/japanese/imamuray__algebraic-systems/README.md,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\source-files\japanese\imamuray__algebraic-systems\README.md,native-source-body,japanese,literal external source body,.md,974,E745E7E81788D858505D975B5C60E7246686583A51BFE8B65ADEDF936D5E8BA3,non-empty external source body
CJK-PACKAGE-FILE-20260705-0019,source-files/japanese/rsato64__relativisticQM/app1.tex,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\source-files\japanese\rsato64__relativisticQM\app1.tex,native-source-body,japanese,literal external source body,.tex,7220,25C27A503C803F922D7E5CD92AAA5DDCFC11314B9A885CB533210A7DCC874547,non-empty external source body
CJK-PACKAGE-FILE-20260705-0020,source-files/japanese/rsato64__relativisticQM/app2.tex,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\source-files\japanese\rsato64__relativisticQM\app2.tex,native-source-body,japanese,literal external source body,.tex,9655,8C558548A8A483537BBD5827E67416AFCE8D61F2DAAFDC23EEB2C2FBEF1D07D1,non-empty external source body
CJK-PACKAGE-FILE-20260705-0021,source-files/japanese/rsato64__relativisticQM/app3.tex,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\source-files\japanese\rsato64__relativisticQM\app3.tex,native-source-body,japanese,literal external source body,.tex,2689,743E7D76D4A2971EC9AD0ACD7FAB7665D73D2605BE844EC843A0F7E484788A67,non-empty external source body
CJK-PACKAGE-FILE-20260705-0022,source-files/japanese/rsato64__relativisticQM/README.md,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\source-files\japanese\rsato64__relativisticQM\README.md,native-source-body,japanese,literal external source body,.md,134,94AA29D154B4D44AFA52B87A85CFF868F4C93BFCDEA2BF35EF7FB65AF283FA0A,non-empty external source body
CJK-PACKAGE-FILE-20260705-0023,source-files/japanese/Seasawher__matsumura/matsumura.tex,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\source-files\japanese\Seasawher__matsumura\matsumura.tex,native-source-body,japanese,literal external source body,.tex,1216,195D3BA6C2A003AB705F2255BF685D3FD2B9C7BAF880CA9728DC375303E05606,non-empty external source body
CJK-PACKAGE-FILE-20260705-0024,source-files/japanese/Seasawher__matsumura/preamble.tex,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\source-files\japanese\Seasawher__matsumura\preamble.tex,native-source-body,japanese,literal external source body,.tex,11189,4B9A8701A02DC75073E67B63D11ACEDFDF4CF7B8BDE25C9477D54DDAA92592AD,non-empty external source body
CJK-PACKAGE-FILE-20260705-0025,source-files/japanese/Seasawher__matsumura/README.md,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\source-files\japanese\Seasawher__matsumura\README.md,native-source-body,japanese,literal external source body,.md,68,444400D0A05B4CC9CCAEA2BC596FE5C62D9ED22D3053D522ACC45F4296A24C69,non-empty external source body
CJK-PACKAGE-FILE-20260705-0026,source-files/japanese/Seasawher__matsumura/section10.tex,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\source-files\japanese\Seasawher__matsumura\section10.tex,native-source-body,japanese,literal external source body,.tex,18095,A1E70C3B4E69C417FD6B0D2C090B8830533C95C82C297E9407B766EBBE1D21DE,non-empty external source body
CJK-PACKAGE-FILE-20260705-0027,source-files/japanese/Seasawher__matsumura/section11.tex,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\source-files\japanese\Seasawher__matsumura\section11.tex,native-source-body,japanese,literal external source body,.tex,15709,57AB797F2CB7C24ED7DB4163E8298ED044BBDD8D633D9AA653459C3CA22A0ED7,non-empty external source body
CJK-PACKAGE-FILE-20260705-0028,source-files/japanese/Seasawher__matsumura/section12.tex,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\source-files\japanese\Seasawher__matsumura\section12.tex,native-source-body,japanese,literal external source body,.tex,20468,B20FD4E275658C1B504110805FD48E838BD608CB74575885667812585466F037,non-empty external source body
CJK-PACKAGE-FILE-20260705-0029,source-files/japanese/t-higashida__commutative_ring_and_field/maketfm.TEX,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\source-files\japanese\t-higashida__commutative_ring_and_field\maketfm.TEX,native-source-body,japanese,literal external source body,.tex,215,8BF35E4CC3E8E147E2401D53B7BF43D3D7E801AFE00B57840DD145FAA57AA4DD,non-empty external source body
CJK-PACKAGE-FILE-20260705-0030,source-files/japanese/t-higashida__commutative_ring_and_field/sec1.tex,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\source-files\japanese\t-higashida__commutative_ring_and_field\sec1.tex,native-source-body,japanese,literal external source body,.tex,1193,DBCB49161A860DAFA2B4659D549B5C2AFC344C4EF35298E5AF035A1ED8D386EA,non-empty external source body
CJK-PACKAGE-FILE-20260705-0031,source-files/japanese/t-higashida__commutative_ring_and_field/sec1x2.tex,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\source-files\japanese\t-higashida__commutative_ring_and_field\sec1x2.tex,native-source-body,japanese,literal external source body,.tex,29,191B63DFD1F785881C0315E35930EF26A61C0908D99491E9AD06251FBDC54FD7,non-empty external source body
CJK-PACKAGE-FILE-20260705-0032,source-files/japanese/t-higashida__commutative_ring_and_field/sec1x3.tex,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\source-files\japanese\t-higashida__commutative_ring_and_field\sec1x3.tex,native-source-body,japanese,literal external source body,.tex,1001,0C391767543573A398DEF6B27AA5B0EF44E4261D10DD4264B345D850E5C4904B,non-empty external source body
CJK-PACKAGE-FILE-20260705-0033,source-files/japanese/t-higashida__commutative_ring_and_field/sec1x4.tex,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\source-files\japanese\t-higashida__commutative_ring_and_field\sec1x4.tex,native-source-body,japanese,literal external source body,.tex,35,6BF0F3D481D8EF887C713D2A69CE843488273C7F0C44F5A6BE32FAF751E8C8F6,non-empty external source body
CJK-PACKAGE-FILE-20260705-0034,source-files/japanese/t-higashida__commutative_ring_and_field/sec1x5.tex,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\source-files\japanese\t-higashida__commutative_ring_and_field\sec1x5.tex,native-source-body,japanese,literal external source body,.tex,1263,2F484672E858AF2795D324A069C2E822E1C4DBC9D1C59B1823F96EE3A226C981,non-empty external source body
CJK-PACKAGE-FILE-20260705-0035,source-files/japanese/t-higashida__linear_algebra/sec1.TEX,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\source-files\japanese\t-higashida__linear_algebra\sec1.TEX,native-source-body,japanese,literal external source body,.tex,3053,5B5E0FFDA4DA1E168F5F0721F68612661B5D1454438104EECB93122841640077,non-empty external source body
CJK-PACKAGE-FILE-20260705-0036,source-files/japanese/t-higashida__linear_algebra/sec1x1x2.TEX,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\source-files\japanese\t-higashida__linear_algebra\sec1x1x2.TEX,native-source-body,japanese,literal external source body,.tex,7399,782E1B6CDB2620B31662A5F605B6D2376BC93E6105C0AC439236FAA3DD454073,non-empty external source body
CJK-PACKAGE-FILE-20260705-0037,source-files/japanese/t-higashida__linear_algebra/sec1x1x3.TEX,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\source-files\japanese\t-higashida__linear_algebra\sec1x1x3.TEX,native-source-body,japanese,literal external source body,.tex,2469,94281B5C3F2AB02B355C53AB90682E719550F1835B40BEE451D9030A1B7AD6A8,non-empty external source body
CJK-PACKAGE-FILE-20260705-0038,source-files/japanese/t-higashida__linear_algebra/sec1x1x4.TEX,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\source-files\japanese\t-higashida__linear_algebra\sec1x1x4.TEX,native-source-body,japanese,literal external source body,.tex,7515,ADDF4E879579ABA28113963B9540D0366318EEBE50EA780357BC62720659D6C3,non-empty external source body
CJK-PACKAGE-FILE-20260705-0039,source-files/korean_addendum/alstn2468__category-theory-for-programmers/part-1/01-category-the-essence-of-composition.md,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\source-files\korean_addendum\alstn2468__category-theory-for-programmers\part-1\01-category-the-essence-of-composition.md,native-source-body,korean_addendum,literal external source body,.md,15371,E90920D02AF52ED60CF797B1D70B91685ED320191825BBD1043C1F7F59C360D9,non-empty external source body
CJK-PACKAGE-FILE-20260705-0040,source-files/korean_addendum/alstn2468__category-theory-for-programmers/part-1/06-simple-algebraic-data-types.md,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\source-files\korean_addendum\alstn2468__category-theory-for-programmers\part-1\06-simple-algebraic-data-types.md,pointer-only,korean_addendum,zero-byte source-path placeholder,.md,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,"recorded source path is zero-byte; retained as pointer-only, not body evidence"
CJK-PACKAGE-FILE-20260705-0041,source-files/korean_addendum/alstn2468__category-theory-for-programmers/part-3/08-f-algebras.md,C:\Users\memo_\Documents\Codex\2026-07-04\noether-cjk-native-source-evidence\language-source-bodies\cjk\source-files\korean_addendum\alstn2468__category-theory-for-programmers\part-3\08-f-algebras.md,pointer-only,korean_addendum,zero-byte source-path placeholder,.md,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,"recorded source path is zero-byte; retained as pointer-only, not body evidence"
