adverse_id,symptom_or_risk,control_or_resolution,term_ids,state,language_basis,lane_decision_ids,revisit_condition
KO-P29-U04-A001,Koeffizientenbereich can attract the prior generic 계수 영역 rendering even though P is a field here.,Use field-specific 계수체 only in this U04 context; do not generalize the choice beyond a proved field base.,KO-P29-U04-T001,active_control,"Korean semantics, prior Korean lane evidence, and German source logic; no Chinese/Japanese authorization",CJK-KO-P29-015|CJK-KO-P29-016,"Qualified Korean/DPRK review, new Korean-local evidence, or source-authority change."
KO-P29-U04-A002,"The lane's frequent endlich=finite-generation correction can contaminate unendlich viele Elemente, which is literal cardinality here.",Keep 무한히 많은 원소 and link it to the specialization argument; exclude generation/dimension readings.,KO-P29-U04-T002,active_control,"Korean semantics, prior Korean lane evidence, and German source logic; no Chinese/Japanese authorization",CJK-KO-P29-015|CJK-KO-P29-016,"Qualified Korean/DPRK review, new Korean-local evidence, or source-authority change."
KO-P29-U04-A003,기약계 can be misread as a system of irreducible polynomials instead of Steinitz's algebraically independent function system.,Retain the German label and explicit P-algebraic-independence gloss; keep the term held.,KO-P29-U04-T003,held,"Korean semantics, prior Korean lane evidence, and German source logic; no Chinese/Japanese authorization",CJK-KO-P29-015|CJK-KO-P29-016,"Qualified Korean/DPRK review, new Korean-local evidence, or source-authority change."
KO-P29-U04-A004,정수성 기저 can be mistaken for a number-field integral basis or a linearly independent basis.,Retain Integritätsbasis and gloss it as a finite P-algebra generating set; keep the term held.,KO-P29-U04-T004,held,"Korean semantics, prior Korean lane evidence, and German source logic; no Chinese/Japanese authorization",CJK-KO-P29-015|CJK-KO-P29-016,"Qualified Korean/DPRK review, new Korean-local evidence, or source-authority change."
KO-P29-U04-A005,algebraisch ganz/ganze Abhängigkeit can collapse into ordinary algebraic dependence or integer-valuedness.,"Translate as 정수적/정수적 종속, retain each base ring, and preserve the monic-integrality sense window.",KO-P29-U04-T005|KO-P29-U04-T008|KO-P29-U04-T012,active_control,"Korean semantics, prior Korean lane evidence, and German source logic; no Chinese/Japanese authorization",CJK-KO-P29-015|CJK-KO-P29-016,"Qualified Korean/DPRK review, new Korean-local evidence, or source-authority change."
KO-P29-U04-A006,부정원 can be mistaken for an unknown to solve for or an already specialized scalar parameter.,Record the generic algebraically independent indeterminate stage and keep the unsupported lexeme held.,KO-P29-U04-T006,held,"Korean semantics, prior Korean lane evidence, and German source logic; no Chinese/Japanese authorization",CJK-KO-P29-015|CJK-KO-P29-016,"Qualified Korean/DPRK review, new Korean-local evidence, or source-authority change."
KO-P29-U04-A007,특수화 can suggest arbitrary substitution and omit preservation of integral dependence.,Keep the survival condition in the same sentence and hold the unsupported specialization term for Korean review.,KO-P29-U04-T007,held,"Korean semantics, prior Korean lane evidence, and German source logic; no Chinese/Japanese authorization",CJK-KO-P29-015|CJK-KO-P29-016,"Qualified Korean/DPRK review, new Korean-local evidence, or source-authority change."
KO-P29-U04-A008,"The U02 transitivity wording concerned algebraic dependence, while U04 requires transitivity of integrality.",Name 정수적 종속성 explicitly and do not infer the law from set inclusion or the U02 label alone.,KO-P29-U04-T005|KO-P29-U04-T008,active_control,"Korean semantics, prior Korean lane evidence, and German source logic; no Chinese/Japanese authorization",CJK-KO-P29-015|CJK-KO-P29-016,"Qualified Korean/DPRK review, new Korean-local evidence, or source-authority change."
KO-P29-U04-A009,Quotientenkörper can attract 몫체/상체 or a residue-field sense.,Use 분수체 and preserve its domain T plus the exact P(...) notation.,KO-P29-U04-T009|KO-P29-U04-T011,active_control,"Korean semantics, prior Korean lane evidence, and German source logic; no Chinese/Japanese authorization",CJK-KO-P29-015|CJK-KO-P29-016,"Qualified Korean/DPRK review, new Korean-local evidence, or source-authority change."
KO-P29-U04-A010,endlicher Erweiterungskörper can be read as a finite-cardinality field.,Render 유한 차수의 확대체 and name the base fraction field.,KO-P29-U04-T010,active_control,"Korean semantics, prior Korean lane evidence, and German source logic; no Chinese/Japanese authorization",CJK-KO-P29-015|CJK-KO-P29-016,"Qualified Korean/DPRK review, new Korean-local evidence, or source-authority change."
