term_id,german_form,korean_form,hangul_hanja,sense_window,excluded_senses,ko_kr_status,ko_kp_status,evidence_ids,adverse_ids,source_probes,target_probes,decision_state,lane_decision_ids,revisit_condition
KO-P29-U04-T001,Koeffizientenbereich P,계수체 P,係數體,"The coefficient base P is a field in this proof, as shown by its elements and the later field P(g_1,...,g_t).","A generic coefficient region/ring, geometric region, or an unsupported claim that every Koeffizientenbereich is a field.",accepted_contextual_field_specific,unverified_do_not_claim,KO-P29-U04-E001|KO-P29-U04-E002|KO-P29-U04-E003|KO-P29-U04-E005|KO-P29-U04-E006,KO-P29-U04-A001|KO-P29-U04-A013,Koeffizientenbereich,계수체,translated,CJK-KO-P29-015|CJK-KO-P29-016,"Qualified Korean/DPRK review, sealed-source change, source-owner correction, or later corpus contradiction."
KO-P29-U04-T002,unendlich viele Elemente,무한히 많은 원소,無限; 元素,"P has infinitely many elements, a cardinality hypothesis used to choose specializations of the t_i.","Finite generation, infinite dimension, an infinite extension degree, or a merely large finite field.",accepted_contextual_sense_locked,unverified_do_not_claim,KO-P29-U04-E001|KO-P29-U04-E007,KO-P29-U04-A002|KO-P29-U04-A013,unendlich viele Elemente,무한히 많은 원소,translated,CJK-KO-P29-015|CJK-KO-P29-016,"Qualified Korean/DPRK review, sealed-source change, source-owner correction, or later corpus contradiction."
KO-P29-U04-T003,irreduzibles System,기약계(irreduzibles System),旣約系,"Steinitz's historical system of functions algebraically independent over P, using the definition supplied earlier in Paper 29.","A set of irreducible polynomials, a reduced system, an irreducible representation, or ordinary linear independence.",held_historical_source_label_and_gloss,unverified_do_not_claim,KO-P29-U04-E005,KO-P29-U04-A003|KO-P29-U04-A013|KO-P29-U04-A014,irreduzibles System,기약계(irreduzibles System,held,CJK-KO-P29-015|CJK-KO-P29-016,"Qualified Korean/DPRK review, sealed-source change, source-owner correction, or later corpus contradiction."
KO-P29-U04-T004,Integritätsbasis,정수성 기저(Integritätsbasis),整數性 基底,Noether's historical finite P-algebra generating set for R in this invariant-theory proof.,"An integral basis of a number field, a linearly independent vector-space basis, or a free-module basis.",held_historical_source_label_and_gloss,unverified_do_not_claim,KO-P29-U04-E004,KO-P29-U04-A004|KO-P29-U04-A013,Integritätsbasis,정수성 기저(Integritätsbasis,held,CJK-KO-P29-015|CJK-KO-P29-016,"Qualified Korean/DPRK review, sealed-source change, source-owner correction, or later corpus contradiction."
KO-P29-U04-T005,algebraisch ganz abhängen / ganze Abhängigkeit,정수적이다 / 정수적 종속 관계,整數的; 從屬 關係,Integral dependence over the named subring: elements satisfy monic polynomial equations over that base ring.,"Mere algebraic dependence, ordinary integer-valuedness, linear dependence, or set containment.",accepted_contextual_with_base_ring,unverified_do_not_claim,KO-P29-U04-E001|KO-P29-U04-E003|KO-P29-U04-E006|KO-P29-U04-E007,KO-P29-U04-A005|KO-P29-U04-A008|KO-P29-U04-A012|KO-P29-U04-A013,algebraisch ganz|||ganze Abhängigkeit,대해 정수적|||정수적 종속 관계,translated,CJK-KO-P29-015|CJK-KO-P29-016,"Qualified Korean/DPRK review, sealed-source change, source-owner correction, or later corpus contradiction."
KO-P29-U04-T006,Unbestimmte,부정원,不定元,The t_i are algebraically independent indeterminates during the generic substitution stage.,"Unknowns to solve for, arbitrary scalar parameters already in P, or free logical variables.",held_unsupported_specialization_vocabulary,unverified_do_not_claim,,KO-P29-U04-A006|KO-P29-U04-A013,Unbestimmte,부정원,held,CJK-KO-P29-015|CJK-KO-P29-016,"Qualified Korean/DPRK review, sealed-source change, source-owner correction, or later corpus contradiction."
KO-P29-U04-T007,zu Elementen aus P spezialisieren,P의 원소들로 특수화하다,元素; 特殊化,Choose values t_i in P so that the previously established integral-dependence relation survives the specialization.,"Arbitrary substitution/evaluation, choosing a specialty, specializing a theorem without the preservation condition, or a limiting process.",held_unsupported_specialization_vocabulary,unverified_do_not_claim,,KO-P29-U04-A007|KO-P29-U04-A013,spezialisieren,특수화,held,CJK-KO-P29-015|CJK-KO-P29-016,"Qualified Korean/DPRK review, sealed-source change, source-owner correction, or later corpus contradiction."
KO-P29-U04-T008,transitives Gesetz der ganzen Abhängigkeit,정수적 종속성의 추이법칙,整數的 從屬性; 推移法則,Transitivity of integrality: integral over an intermediate integral extension implies integral over the original base.,"Transitivity of mere algebraic dependence, set inclusion, divisibility, or logical implication without integrality hypotheses.",provisional_compositional_source_checked,unverified_do_not_claim,KO-P29-U04-E005|KO-P29-U04-E006,KO-P29-U04-A005|KO-P29-U04-A008|KO-P29-U04-A013,transitiven Gesetzes der ganzen Abhängigkeit,정수적 종속성의 추이법칙,translated,CJK-KO-P29-015|CJK-KO-P29-016,"Qualified Korean/DPRK review, sealed-source change, source-owner correction, or later corpus contradiction."
KO-P29-U04-T009,Quotientenkörper,분수체,分數體,"The fraction field of the domain T=P[g_1(x),...,g_t(x)].","A quotient/residue field, quotient ring, or an arbitrary field of fractions without the named base domain.",accepted_internal,unverified_do_not_claim,KO-P29-U04-E001|KO-P29-U04-E002|KO-P29-U04-E003|KO-P29-U04-E004|KO-P29-U04-E006|KO-P29-U04-E008,KO-P29-U04-A009|KO-P29-U04-A011|KO-P29-U04-A013,Quotientenkörpers,분수체,translated,CJK-KO-P29-015|CJK-KO-P29-016,"Qualified Korean/DPRK review, sealed-source change, source-owner correction, or later corpus contradiction."
KO-P29-U04-T010,endlicher Erweiterungskörper,유한 차수의 확대체,有限 次數; 擴大體,"L is a field extension of finite degree over the fraction field P(g_1(x),...,g_t(x)).","A field with finitely many elements, a merely finitely generated transcendental extension, or an unspecified finite set extension.",accepted_internal_sense_locked,unverified_do_not_claim,KO-P29-U04-E001|KO-P29-U04-E002|KO-P29-U04-E003|KO-P29-U04-E006|KO-P29-U04-E008|KO-P29-U04-E009,KO-P29-U04-A010|KO-P29-U04-A013,endlicher Erweiterungskörper,유한 차수의 확대체,translated,CJK-KO-P29-015|CJK-KO-P29-016,"Qualified Korean/DPRK review, sealed-source change, source-owner correction, or later corpus contradiction."
