paper,old_chars,new_chars,old_tokens,new_tokens,similarity,delta_band,diff_hunks,inserted_tokens,deleted_tokens,replaced_old_tokens,replaced_new_tokens,equal_tokens,old_normalized_sha256,new_normalized_sha256,english_sync_status
1,7925,7925,1658,1659,0.99909557,small-delta,2,1,0,1,1,1657,cc65c00b5cab5585e2594f9491f88352b9276ac5371ebc00cc133678c7e52fa3,f21e00134a5520b85f545e57e59b9988dd3d558bd098921a53e5e2f6f5b208d8,review-and-propagation-required
2,143874,143874,49335,49336,0.99996960,small-delta,2,1,0,1,1,49334,233d1d2bdd3539c06766ef4a6c43ddf5381f65fdc288ffd68b6cbc1aaf2a23cb,116d39c08933b46d6b6a7fcba6d1bc7aae8902010956d4cd216c1c53d50de021,review-and-propagation-required
3,8093,8093,1698,1698,1.00000000,normalized-identical,0,0,0,0,0,1698,32a84492eb887a4df55db02cfa19b59adaceee3d960e94c418a33411ffcd2649,32a84492eb887a4df55db02cfa19b59adaceee3d960e94c418a33411ffcd2649,source-identical-no-delta-detected
4,99648,99648,29570,29570,1.00000000,normalized-identical,0,0,0,0,0,29570,7b67d4f6f92d63f062cc2288b2b75c17a81262b0c4f94bbf6e93f2b70bc4cfcf,7b67d4f6f92d63f062cc2288b2b75c17a81262b0c4f94bbf6e93f2b70bc4cfcf,source-identical-no-delta-detected
5,7961,7961,1347,1347,1.00000000,normalized-identical,0,0,0,0,0,1347,b1e60b977a9cb6ddeabc3f1651072c8ce44a832db6e5120c966ae5949bddd5b3,b1e60b977a9cb6ddeabc3f1651072c8ce44a832db6e5120c966ae5949bddd5b3,source-identical-no-delta-detected
6,92162,92162,24654,24654,1.00000000,normalized-identical,0,0,0,0,0,24654,bf02853e324f47327ee1db19afe388bb51bb9a7dbe75f6bc183e53a6b87aa565,bf02853e324f47327ee1db19afe388bb51bb9a7dbe75f6bc183e53a6b87aa565,source-identical-no-delta-detected
7,8264,8264,2223,2223,1.00000000,normalized-identical,0,0,0,0,0,2223,cb9287c69b928735b9346ed56a89ec7e4c3a127121270d20ea1186495e193c58,cb9287c69b928735b9346ed56a89ec7e4c3a127121270d20ea1186495e193c58,source-identical-no-delta-detected
8,24739,24739,6806,6806,1.00000000,normalized-identical,0,0,0,0,0,6806,af4646fe433afa1d71196fc7672cf8c0ed898498fcd2720b704b5da7fd9abfd4,af4646fe433afa1d71196fc7672cf8c0ed898498fcd2720b704b5da7fd9abfd4,source-identical-no-delta-detected
9,76481,76485,17714,17715,0.99997177,small-delta,1,1,0,0,0,17714,f35f81d4d9b7117708b1eb6c4f738de6bcaafee278e05169c811e8642e3536ae,0357af1e3118874681173abf464f976abfd41570c598bf06a03d11a5fb1b5c6b,review-and-propagation-required
10,27650,27650,6989,6989,1.00000000,normalized-identical,0,0,0,0,0,6989,c6a0121e539ce6ccf9dc7658458dab18177ae0ff9a99c237e77716893d271275,c6a0121e539ce6ccf9dc7658458dab18177ae0ff9a99c237e77716893d271275,source-identical-no-delta-detected
