unit_id,source_start_line,source_end_line,source_chars,source_sha256,target_start_line,target_end_line,target_chars,target_sha256,target_document_sha256,status,review_evidence,notes
P01,382,473,8108,53E7BA2F217E58E7212E3E4295D2FE5D9466FEBCE4ECE58841657958D4873DB4,304,390,7679,7ABC8B5E4F818447CB4EBCE69BFB23252ECA4B310DD8D53FC5ECD9BC4DD5789D,2042013612A40972CBB83329F9444A45923B70E8319EA100D0802BC0B5FCC597,source-reconciled,"C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\evidence\PAPERS_01_19_R823_REVIEW_V3.csv#unit_id=P01; method=Line-by-line German/Spanish review against the live R823 slice; title, metadata, formulas, and notes checked; finding=Reconciled the R823 title punctuation and verified the complete short-paper argument, displayed formulas, attribution, and terminal metadata in Spanish.","Reconciled the R823 title punctuation and verified the complete short-paper argument, displayed formulas, attribution, and terminal metadata in Spanish."
P02,474,3523,146108,7232355BD713E40C51BD8476D845BA4690F217B48A3799B9563A6D2FB1A5DCF3,391,3332,141650,3C486E97942AA81A56C27194A347841EB0C41A62D86E12A13A6294B274FCE451,2042013612A40972CBB83329F9444A45923B70E8319EA100D0802BC0B5FCC597,source-reconciled,"C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\evidence\PAPERS_01_19_R823_REVIEW_V3.csv#unit_id=P02; method=Line-by-line German/Spanish review against the live R823 slice; section, display, and source-note topology checked; finding=Restored the omitted Chapter II §4 block and its equations and source notes; reconciled title punctuation and the remaining chapter/section sequence through the paper ending.",Restored the omitted Chapter II §4 block and its equations and source notes; reconciled title punctuation and the remaining chapter/section sequence through the paper ending.
P03,3524,3561,8215,C6D3E1B29A0CA6260C34DB67CE518C8F2E5448D331E81FA1C7E155778C3B7CD1,3333,3371,8434,319C7B2D1B0316EDA2CE72B218F5677E913C3986D5017410E937A64C0098EB8F,2042013612A40972CBB83329F9444A45923B70E8319EA100D0802BC0B5FCC597,source-reconciled,"C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\evidence\PAPERS_01_19_R823_REVIEW_V3.csv#unit_id=P03; method=Line-by-line German/Spanish review against the live R823 slice; every display and note checked; finding=Corrected formula transcription defects and verified the title, prose argument, complete display sequence, note, and publication ending against R823.","Corrected formula transcription defects and verified the title, prose argument, complete display sequence, note, and publication ending against R823."
P04,3562,4509,100068,9FC3F05AECA4F993BDDCE711E4D4AEFEDF2791FAA04BF5F8141A2B33776C2EB7,3372,4297,99467,0BAA10EF15CA457936D7540024EE0A79561FC435B31778CC6434C8E04EE77CB6,2042013612A40972CBB83329F9444A45923B70E8319EA100D0802BC0B5FCC597,source-reconciled,"C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\evidence\PAPERS_01_19_R823_REVIEW_V3.csv#unit_id=P04; method=Line-by-line German/Spanish review against the live R823 slice; numbered equations and source notes reconciled; finding=Corrected several equations including the source product-versus-pair structure at (33), and restored the four missing Clebsch, lambda-bound, identity-(16), and ternary-domain notes.","Corrected several equations including the source product-versus-pair structure at (33), and restored the four missing Clebsch, lambda-bound, identity-(16), and ternary-domain notes."
P05,4510,4550,8055,618A1253ECA9390D37B8564D570E25E77945FB1BCB60862AC88EAAF0839E0DC0,4298,4338,8155,5620527DEAE36C772E1699537FF1CFDC22A3564DABF11CA82C625C267BE09533,2042013612A40972CBB83329F9444A45923B70E8319EA100D0802BC0B5FCC597,source-reconciled,"C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\evidence\PAPERS_01_19_R823_REVIEW_V3.csv#unit_id=P05; method=Line-by-line German/Spanish review against the live R823 slice; formulas, note placement, and metadata checked; finding=Confirmed the complete translated argument and formula sequence, including note placement and the source terminal matter; no unresolved R823 content delta remains.","Confirmed the complete translated argument and formula sequence, including note placement and the source terminal matter; no unresolved R823 content delta remains."
P06,4551,5815,92588,76E910B534E8EDA2BE1486B624CC504DB0A5D2E887FDAAB1147F222B415274C0,4339,5585,94125,C9173A7774232B53C02D85E1F7A6E655A6C54C98D22B46AA23C3EA889F6249E6,2042013612A40972CBB83329F9444A45923B70E8319EA100D0802BC0B5FCC597,source-reconciled,"C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\evidence\PAPERS_01_19_R823_REVIEW_V3.csv#unit_id=P06; method=Line-by-line German/Spanish review against the live R823 slice; equations and real source notes checked manually; finding=Restored the missing Mertens source note after R_0=a_0 and verified all substantive notes manually, excluding preamble macro artifacts from the note count.","Restored the missing Mertens source note after R_0=a_0 and verified all substantive notes manually, excluding preamble macro artifacts from the note count."
P07,5816,5930,8451,18EB5FFBE8A5CA1031AF7922F76486C50FC8FC20F97F5C9243BE230305835554,5586,5704,8401,1314CD4F5412B844ED1319B03C00880CC77131D9B3E4023D18E2FF154E444BFC,2042013612A40972CBB83329F9444A45923B70E8319EA100D0802BC0B5FCC597,source-reconciled,"C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\evidence\PAPERS_01_19_R823_REVIEW_V3.csv#unit_id=P07; method=Line-by-line German/Spanish review against the live R823 slice; title, displays, notes, and ending checked; finding=Confirmed source-complete Spanish coverage of the short paper, with its displayed identities, explanatory note, attribution, and publication ending in R823 order.","Confirmed source-complete Spanish coverage of the short paper, with its displayed identities, explanatory note, attribution, and publication ending in R823 order."
P08,5931,6321,25110,63C3F5D3CC4899F1F5D0E07D5317C1336D61573242540A4BA75453790572A5A8,5705,6085,25178,2303FC5696B872884150C4C850E17DB12FCEAF256953D9335254EE4F63608668,2042013612A40972CBB83329F9444A45923B70E8319EA100D0802BC0B5FCC597,source-reconciled,"C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\evidence\PAPERS_01_19_R823_REVIEW_V3.csv#unit_id=P08; method=Line-by-line German/Spanish review against the live R823 slice; operators, indices, displays, and notes checked; finding=Corrected operator and formula transcriptions and verified the complete theorem/proof and note sequence against the R823 mathematical notation.",Corrected operator and formula transcriptions and verified the complete theorem/proof and note sequence against the R823 mathematical notation.
P09,6322,7653,76777,7C9C4970145A374552E0D68C5A5C8B5614447086737D808E2235805E38217FA7,6086,6571,75748,1ADBFB1DDA5110F99FE302F067E8DEB3D641D07D7E2156EA743FBAEBA500D166,2042013612A40972CBB83329F9444A45923B70E8319EA100D0802BC0B5FCC597,source-reconciled,"C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\evidence\PAPERS_01_19_R823_REVIEW_V3.csv#unit_id=P09; method=Line-by-line German/Spanish review plus explicit R704-to-R823 delta review; headings, formulas, and notes checked; finding=Restored the missing Steinitz section-title source note, verified the R823-added copular sense in Spanish, and reconciled the remaining long formula and note sequence.","Restored the missing Steinitz section-title source note, verified the R823-added copular sense in Spanish, and reconciled the remaining long formula and note sequence."
P10,7654,7854,27851,4EDD9F5B95EE308344B11190088C6D864FB4456AC8AD20E152FA1254E5612234,6572,6793,27932,CC9554A9686DDBD7981AC0E9CCDCB0F6262B284ED05B7FD71D0C03E4E7427A55,2042013612A40972CBB83329F9444A45923B70E8319EA100D0802BC0B5FCC597,source-reconciled,"C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\evidence\PAPERS_01_19_R823_REVIEW_V3.csv#unit_id=P10; method=Line-by-line German/Spanish review against the live R823 slice; mathematical symbols, displays, and notes checked; finding=Corrected formula-level notation defects and verified all statements, displayed relations, source notes, and terminal metadata in source order.","Corrected formula-level notation defects and verified all statements, displayed relations, source notes, and terminal metadata in source order."
