artifact,path,bytes,sha256,role
authority_zip,C:\Users\Floris\Documents\Papors\Chatnotes\CHat translates and clean\Noether Multilingual\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717_COMPLETE.zip,24613194,7AFC1B865EC710F6BECE507260605CBA7C950E5CC089C7464F63CBC20A8BD738,frozen downloaded authority package
authority_tex,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex,2125031,EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21,verified German R823 TeX authority
spanish_tex,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,1810657,7B9097D657B6A39F9304197FA65A9A16BD5EAEAE190340EE735CD867EA8A7861,integrated Spanish cumulative root
spanish_pdf,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.pdf,2322206,B32780148D99BD3C0AF7890D0153DDC109A1CBAD15F443E305CBE9DA80D8E8C6,final 473-page Spanish PDF
build_log,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.log,29707,3F72E1E250C84DFC5F3B193082C86628BEC17CEA30AB795EFAC0F87EAD0DFA0F,final forced XeLaTeX build log
build_recorder,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.fls,24647,14363F3D3835CD2B0B7AE4817C170A5A564419C09115559354AFBA0AF7CA2AD7,final recorder binding
source_manifest,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\evidence\R823_SOURCE_UNIT_MANIFEST_FINAL.csv,33896,ED482400D9EC0C14EEEC8546249C719F26A85D3061D2DC79A19182246952D205,81 verified R823 source units
target_manifest,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\evidence\SPANISH_R823_TARGET_UNIT_MANIFEST_FINAL.csv,31371,965909BE0FE95AEEAB005FA9B929725C16485F6E936278CBBABCF48DC7F27057,81 live Spanish target units bound to expanded document hash
unit_parity,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\evidence\SPANISH_R823_UNIT_PARITY_FINAL.csv,84064,531BE7FC2F3950AD8A8B94B36320920089067ED8B7BCFB69ED04358D553C6AE9,81 exact-hash source-reconciliation decisions
terminology_ledger,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\GERMAN_SPANISH_TERMINOLOGY_LEDGER.csv,109816,395C18C21D53C3E439DF95891DE197866548F4EBD0D550453ED83D8CE7B5B9EA,101 distinct locator-backed terminology decisions
native_corpus_provenance,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\evidence\SPANISH_NATIVE_MATH_CORPUS_PROVENANCE_FINAL.csv,38726,FFA508711F8734CE1BD2ABA01C0F9C9F5F72490B9A7242A3013944EC5863ABED,11 hash-verified native Spanish sources
visual_qa_ledger,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\evidence\SPANISH_R823_VISUAL_QA_FINAL.csv,2180,0CF6C977243A0A4265C4E77FE9A77E36EA3340B5FE2D243134363A0460C46781,three required exact-hash visual QA scopes
completion_gate,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\evidence\SPANISH_R823_COMPLETION_GATE_FINAL.json,5480,300652DEF8CE4FBB6899E23F7D52A44764404D971804C998C38358735BE1E06D,v3 gate result passed true
