unit_id,target_start_line,target_end_line,target_chars,target_utf8_bytes,target_sha256,target_document_sha256,target_root_tex,start_excerpt
P01,304,390,7679,7775,7ABC8B5E4F818447CB4EBCE69BFB23252ECA4B310DD8D53FC5ECD9BC4DD5789D,2042013612A40972CBB83329F9444A45923B70E8319EA100D0802BC0B5FCC597,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,{\Large\bfseries 1. Sobre la formación del sistema de formas de la forma ternaria bicuadrática.}\par
P02,391,3332,141650,142671,3C486E97942AA81A56C27194A347841EB0C41A62D86E12A13A6294B274FCE451,2042013612A40972CBB83329F9444A45923B70E8319EA100D0802BC0B5FCC597,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,{\Large\bfseries 2. Sobre la formación del sistema de formas de la forma\ bicuadrática ternaria\footnote{Un breve extracto de la introducción y del capítulo I a
P03,3333,3371,8434,8543,319C7B2D1B0316EDA2CE72B218F5677E913C3986D5017410E937A64C0098EB8F,2042013612A40972CBB83329F9444A45923B70E8319EA100D0802BC0B5FCC597,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,"{\Large\bfseries 3. Sobre la teoría de invariantes de las formas en $n$ variables\footnote{Conferencia pronunciada en la reunión de naturalistas de Salzburgo, 1"
P04,3372,4297,99467,100365,0BAA10EF15CA457936D7540024EE0A79561FC435B31778CC6434C8E04EE77CB6,2042013612A40972CBB83329F9444A45923B70E8319EA100D0802BC0B5FCC597,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,{\Large\bfseries 4. Sobre la teoría de invariantes\\
P05,4298,4338,8155,8290,5620527DEAE36C772E1699537FF1CFDC22A3564DABF11CA82C625C267BE09533,2042013612A40972CBB83329F9444A45923B70E8319EA100D0802BC0B5FCC597,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,"{\Large\bfseries 5. Cuerpos de funciones racionales\footnote{Conferencia pronunciada en la reunión de naturalistas de Viena, 1913.}}\par"
P06,4339,5585,94125,95124,C9173A7774232B53C02D85E1F7A6E655A6C54C98D22B46AA23C3EA889F6249E6,2042013612A40972CBB83329F9444A45923B70E8319EA100D0802BC0B5FCC597,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,{\Large\bfseries 6. Cuerpos y sistemas de funciones racionales}\par
P07,5586,5704,8401,8483,1314CD4F5412B844ED1319B03C00880CC77131D9B3E4023D18E2FF154E444BFC,2042013612A40972CBB83329F9444A45923B70E8319EA100D0802BC0B5FCC597,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,\section*{7. El teorema de finitud para los invariantes de grupos finitos}
P08,5705,6085,25178,25355,2303FC5696B872884150C4C850E17DB12FCEAF256953D9335254EE4F63608668,2042013612A40972CBB83329F9444A45923B70E8319EA100D0802BC0B5FCC597,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,\section*{8. Sobre la representación racional entera de los invariantes de un sistema de arbitrariamente muchas formas fundamentales}
P09,6086,6571,75748,76654,1ADBFB1DDA5110F99FE302F067E8DEB3D641D07D7E2156EA743FBAEBA500D166,2042013612A40972CBB83329F9444A45923B70E8319EA100D0802BC0B5FCC597,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,{\Large\bfseries 9. Los dominios más generales formados con números trascendentes enteros}\par\vspace{1.2em}
P10,6572,6793,27932,28254,CC9554A9686DDBD7981AC0E9CCDCB0F6262B284ED05B7FD71D0C03E4E7427A55,2042013612A40972CBB83329F9444A45923B70E8319EA100D0802BC0B5FCC597,C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex,{\Large\bfseries 10. Las ecuaciones funcionales de la aplicación\\ isomorfa}\par
