physical_page	printed_page	prompt_id	french_status	english_status	apparatus_status	french_record_sha256	english_record_sha256	apparatus_record_sha256	freeze_order
1	247	P01	COMPLETE	COMPLETE	COMPLETE	9F098A3FE5FE105158D798A93763CAAF19EE3B8D8B26441564E8B82A8AEB39F1	02E723E9057F85D5ADBAF5E8C6BF11964C82CAAADE21EBD0BAEFDE797F4FC933	4D52BFEC84CE766ECE2810B2237F6F8586F7450B857B2725AA41E014A11BCEFA	FRENCH_THEN_COMPARISON_THEN_ENGLISH_THEN_APPARATUS
2	248	P01	COMPLETE	COMPLETE	COMPLETE	93A2775D9C917BE056E8A32968BE30852B298ED1E5353BA5BE782A78BB37B163	B61583D0A56617442FE8A59C0F3AA616D1510D89DA87FEA4F56796BEFB2FD887	EE461D42223F2C849C0F911A954FA92FEC7991C699B2D2A03BEF1D35FA0C039B	FRENCH_THEN_COMPARISON_THEN_ENGLISH_THEN_APPARATUS
3	249	P01	COMPLETE	COMPLETE	COMPLETE	4A0F8CB9E495609C83AE39558BD02DBAA962F4FB57521B17EF623345BD72DB8B	2BD1ABA31891525D62353685DECCAAA7871132D6570FC8B51FA8695C7B115684	815A300742FCDD807EDE78E9E08A6C43C9F29C27C0F493460CF17C00493C9E20	FRENCH_THEN_COMPARISON_THEN_ENGLISH_THEN_APPARATUS
4	250	P01	COMPLETE	COMPLETE	COMPLETE	92EBE25581B1D3F3F477B5486CBC339D8B6964317BE31DAB158A6F03F892C543	6C24DAC160BF69B3203318C82C97CF7EDF4489B76532E87C747C4038B47A3419	1C0E51D901E33F5E3F5B304FD02D6CC334D9F8B77D06117962E69103D8AEC599	FRENCH_THEN_COMPARISON_THEN_ENGLISH_THEN_APPARATUS
5	251	P01	COMPLETE	COMPLETE	COMPLETE	CCEC0557195BB780EF8D4A3497FD450B30E69EE32EAA699B9C15867EB0DA1556	3754F0E0D1A4019ACA5980A0A08A53E8A746759FE5A78006F3DCD1F6B7B0AFC1	47FC86B48C43F8382C7B3DC08F5EA2400A62A68236AE00F49055BA5967D265C8	FRENCH_THEN_COMPARISON_THEN_ENGLISH_THEN_APPARATUS
6	252	P01	COMPLETE	COMPLETE	COMPLETE	03E88F7C65736290BB43D6DD87C904A71697E11CE0C2624D64497F0B68C8B1DB	BE731C5B5F7E9A32523B0B765F39425B7881D9B097E2337ACAADB8D48DB6C5D6	56B97A06BBA761B1B07F2E8B9277B5D27B7FF4EA4B5A8F5D91661A5B8498F156	FRENCH_THEN_COMPARISON_THEN_ENGLISH_THEN_APPARATUS
7	253	P02	COMPLETE	COMPLETE	COMPLETE	2CD0F9607368869AF0CD71C519E534A9E9C546CEACBBA0B8A6AE106DEB917345	1CADC5059FAD44571622E8EC13B3F3C93E450B17C828466A4E3315609050BE04	5BCC1FB1D5DA8B95EDFB12801A68211340B8DD32D70469F294DD20A2B16E29A9	FRENCH_THEN_COMPARISON_THEN_ENGLISH_THEN_APPARATUS
8	254	P02	COMPLETE	COMPLETE	COMPLETE	B5ADF0C78163B4139784B516BC268CDBB8C8D00BED3C5DFC8C9222DC4565DB98	0C059D240A3DFE1F639CF573D77C73BE417ABC2DCDEDBA8631CF23B58C320EA1	02DD6C9F78D6C962DE15D1B15C5D13286A77DC0CD3708AA4E708082BD90C94A6	FRENCH_THEN_COMPARISON_THEN_ENGLISH_THEN_APPARATUS
9	255	P02	COMPLETE	COMPLETE	COMPLETE	A19D29A0BFE32AD95CF35AB2CCE2536749D1EA363CBC3F7399D5542C325FF654	3EBBA2B2FEAFE6D7609BAA9408EBC156C245D4E145784462BA685312DE38E90D	FB7EDD07325561970EB0A73BE2DBD0947515E148814089CE9CFA80CCC512CB28	FRENCH_THEN_COMPARISON_THEN_ENGLISH_THEN_APPARATUS
10	256	P02	COMPLETE	COMPLETE	COMPLETE	AA0606F7EA9DD0C7B038B261BD904A007AC11CC79E617D1F8DC5B8E0361B1C8B	5142782F1D552D4345ECCF8BFBD4E488EB1962E5254D2F7DC7E5A83BC2D404EB	6B3E0B343898A847E9464B88D365FB692F6C66E270AD6B7BEA130829CCBF48FF	FRENCH_THEN_COMPARISON_THEN_ENGLISH_THEN_APPARATUS
11	257	P02	COMPLETE	COMPLETE	COMPLETE	349F42A6BF64A5F22627C29BC1D1E83A60426B2D9043D5DE95AA25588553ED7C	3EA9CBAAA990D13E4A3B2350F7EB884DFDB30E77F37BE9F4C1F2DDB14730CB34	611CE217116F81B9E75F8817A25CB35AD617EDD3EDD5791FB372747A50D4C17C	FRENCH_THEN_COMPARISON_THEN_ENGLISH_THEN_APPARATUS
12	258	P02	COMPLETE	COMPLETE	COMPLETE	18FDEDDA1AA2FC5B8E3FB334A2580CD4AE7CD73B43FA8E7136C58B57886B0040	C5192D067A0010CF98075A71F14EB01E2A7058D235DE473136213676591FE0A7	4698150F810C674AA8C3CD0EA77C8A46917A3890347CE280F3AA0E53ECB32B54	FRENCH_THEN_COMPARISON_THEN_ENGLISH_THEN_APPARATUS
13	259	P03	COMPLETE	COMPLETE	COMPLETE	186ACC89D3660423FD254435E68B2DA5445CEFC0EFC842BE96B1CBBD12F04C6E	D94CB229A61778BE9EE997D0A86ACA2751427B909F8A7E9697329DACBE0012A6	97FBFADFB5029DBEF621CB882CD68DBBE8D837613BDA6F7AAA16E2E3127B689D	FRENCH_THEN_COMPARISON_THEN_ENGLISH_THEN_APPARATUS
14	260	P03	COMPLETE	COMPLETE	COMPLETE	C7B5EA7C89BB5CD1072122FA4BABBE3078A772418B322A50A7E29D3D64E3C801	9CB0D525F045E05051E777D8586D062BD85D4E4D9BD7CAEC78F18F177AD0435A	DC0F3B47989029A52454F6E7AC823FE9C8E66A147A858541177486D790AB39AD	FRENCH_THEN_COMPARISON_THEN_ENGLISH_THEN_APPARATUS
15	261	P03	COMPLETE	COMPLETE	COMPLETE	FBC5A971A703D4544EF1C36AB23A5D78D56CDB42A736BAA08AF82DC6C3073390	28D0DA70FC63E84ABAB2740D1CFEE3F24DD5CF52678403B0D41447E71A718DC5	40B77CEC6973473383A593AE71F5D9646D233E5D729DB6159B59D1D04A27D526	FRENCH_THEN_COMPARISON_THEN_ENGLISH_THEN_APPARATUS
16	262	P03	COMPLETE	COMPLETE	COMPLETE	D57C567C05FAC734648B796D8645EFF3CAB0B369270452893BFC016A256D6CFC	F1C7B265A9756C058EF0CC381070F5B928F184E5CA1FA790BCB358EDF1A1FC85	E539949973659BBA141135C103B93D54F4CF2491BA1D280819D607E52A4D2BA0	FRENCH_THEN_COMPARISON_THEN_ENGLISH_THEN_APPARATUS
17	263	P03	COMPLETE	COMPLETE	COMPLETE	D07FD3852403301F2060A4833494576C1F06A5260D7ACA39E1BCE43D96C780BF	A9FB4C08B2DAE65A87CEB1A4322F8C58ECB57F33B7863425ECE846FF5C5FF2A7	DA5BB74588B760074B17D55905E6DD2C0281F1F2F4DB57F0CC00FFF0ADFD9B4C	FRENCH_THEN_COMPARISON_THEN_ENGLISH_THEN_APPARATUS
18	264	P03	COMPLETE	COMPLETE	COMPLETE	164D03E9387CFDA2B597AEBC5D177A8912EA95F869CB927CE03EA13ED336E589	AFE87AAB695D4A45B4187D2EE0CA5E22A8A4F96BBB04938DA450437C966DF6CC	98E9E4D3658247A0677D746451DF387C55A3EE59B13648A3560DFEA2220899AF	FRENCH_THEN_COMPARISON_THEN_ENGLISH_THEN_APPARATUS
19	265	P04	COMPLETE	COMPLETE	COMPLETE	FF1E646D32A7BB593A3FB66A4FA073B277C4FA74EE71E535303880A785C93CC7	6FA30F0B97E2896C7B6336F6D7D8368086BA81D01F963277F064E356F44A0762	86E3CC12F080047AF3C9BD07DC334C3121C6F78B639E3B433C7F36100113D8A1	FRENCH_THEN_COMPARISON_THEN_ENGLISH_THEN_APPARATUS
