"category","item_id","status","source_url","local_path","sha256","bytes","last_write","topic_or_scope","evidence_note","non_claim_boundary"
"control_file","AGENTS.md","observed","","C:\Users\memo_\Documents\Codex\2026-06-29\updatede-goal-text-maintain-the-noether-2\work\github-checkouts\modern-latex-manuscripts-noether-pc-nocone-20260702\AGENTS.md","EE41CF302952ADC624160B9A94CC5AE4CD3EB61B309115F61D1316D0EF039548","6731","2026-07-04T21:59:26+02:00","control/source-canon coordination","Repository source-canon-first instructions read; GitHub instruction bus controls open-machine coordination.","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, license clearance, gate promotion, bridge, pilot, Zenodo action, or Git push claim"
"control_file",".github/copilot-instructions.md","observed","","C:\Users\memo_\Documents\Codex\2026-06-29\updatede-goal-text-maintain-the-noether-2\work\github-checkouts\modern-latex-manuscripts-noether-pc-nocone-20260702\.github\copilot-instructions.md","CBF1788357F102CE372EF35606FD931AE8A79F782C1B495C96B78351A93AE34A","2369","2026-07-04T21:59:26+02:00","control/source-canon coordination","Repository Copilot/GitHub AI source-canon-first instructions read.","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, license clearance, gate promotion, bridge, pilot, Zenodo action, or Git push claim"
"control_ledger","parent_ledger","observed","","C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NOETHER_INTERLANGUAGE_TRANSLATION_CONSOLIDATION_LEDGER_20260704.md","6A145D021DF38B3270F316FC9A4791467237E100C82321630F979B60654F3086","411257","2026-07-04T22:33:07+02:00","control/source-canon coordination","Parent ledger rechecked; latest local file remains at this hash/timestamp.","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, license clearance, gate promotion, bridge, pilot, Zenodo action, or Git push claim"
"control_ledger","source_canon_steering","observed","","C:\Users\memo_\Documents\Codex\2026-07-04\noether-non-slavic-core-lane\outputs\NOETHER_SOURCE_CANON_FIRST_STEERING_RECORD_20260704.md","531B9E358E52BDE20F613E75B8DE33558C05301CA971639E727DD584B34205C4","4993","2026-07-04T18:45:58+02:00","control/source-canon coordination","Source-canon-first steering record rechecked.","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, license clearance, gate promotion, bridge, pilot, Zenodo action, or Git push claim"
"control_ledger","b3_steward_log","observed","","C:\Users\memo_\Documents\Codex\2026-07-04\noether-github-pr-branch-steward\outputs\NOETHER_SESSION_B_COORDINATOR_RUN_LOG_20260704.md","D90B72C21DB212355FBACEFB51C9A965C4DC0145E869FAB54B39C77F533E7C0D","322415","2026-07-04T22:05:10+02:00","control/source-canon coordination","B3 local steward log rechecked; direct package manifests now provide the newer package frontier.","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, license clearance, gate promotion, bridge, pilot, Zenodo action, or Git push claim"
"git_frontier","safe_checkout","observed","","C:\Users\memo_\Documents\Codex\2026-06-29\updatede-goal-text-maintain-the-noether-2\work\github-checkouts\modern-latex-manuscripts-noether-pc-nocone-20260702","89a9328f07a07ea3dc6868aba3edee589b17a748","","2026-07-04T22:33:56+02:00","branch codex/noether-pc-20260629","HEAD=89a9328f07a07ea3dc6868aba3edee589b17a748; upstream=faa86f661a158e2490dc387de04b428390b885f4; status=## codex/noether-pc-20260629...origin/codex/noether-pc-20260629 [ahead 1]","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, license clearance, gate promotion, bridge, pilot, Zenodo action, or Git push claim"
"package_frontier","package_333","committed_by_b3_observed","","C:\Users\memo_\Documents\Codex\2026-06-29\updatede-goal-text-maintain-the-noether-2\work\github-checkouts\modern-latex-manuscripts-noether-pc-nocone-20260702\noether-slavic-handoff\20260629\cross-session-coordination\20260704\NOETHER_SESSION_OUTPUT_PACKAGE333_20260704T222545_ROLLING_DELTA_AFTER_PACKAGE332","C72DB07BDA160226D4A64F0510DEE1A5BB9C9488E62FC086440550D12C866920","327459","2026-07-04T22:25:46+02:00","B3 rolling package manifest","manifest_rows=22; copied_non_zip_files=22; omitted_raw_source_body_files=0; omitted_raw_rows=0; omitted_zip_files=0; omitted_zip_rows=0; r2_rows=4; lane_counts=noether-arabic-rtl-source-evidence-draft-lane=3; noether-cjk-native-source-evidence=6; noether-olp-relation-function-support=3; noether-r2-pan-turkic-hard-blockers=4; noether-r6-indigenous-creole-sign=1; noether-r9-africa-horn-west=4; noether-romance-source-evidence-draft-lane=1","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, license clearance, gate promotion, bridge, pilot, Zenodo action, or Git push claim"
"package_frontier","package_334","committed_by_b3_observed","","C:\Users\memo_\Documents\Codex\2026-06-29\updatede-goal-text-maintain-the-noether-2\work\github-checkouts\modern-latex-manuscripts-noether-pc-nocone-20260702\noether-slavic-handoff\20260629\cross-session-coordination\20260704\NOETHER_SESSION_OUTPUT_PACKAGE334_20260704T222716_ROLLING_DELTA_AFTER_PACKAGE333","CCF9739371584DEA45AFA27A0FD131105A86852BABADB1F8D3E5C78ECA3D83B7","261031","2026-07-04T22:27:16+02:00","B3 rolling package manifest","manifest_rows=24; copied_non_zip_files=24; omitted_raw_source_body_files=12; omitted_raw_rows=12; omitted_zip_files=0; omitted_zip_rows=0; r2_rows=3; lane_counts=noether-cjk-native-source-evidence=6; noether-interlanguage-method-authority=3; noether-r2-pan-turkic-hard-blockers=3; noether-r3-arabic-persianate-linear-algebra=8; noether-r6-indigenous-creole-sign=2; noether-romance-source-evidence-draft-lane=2","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, license clearance, gate promotion, bridge, pilot, Zenodo action, or Git push claim"
"package_frontier","package_335","committed_by_b3_observed","","C:\Users\memo_\Documents\Codex\2026-06-29\updatede-goal-text-maintain-the-noether-2\work\github-checkouts\modern-latex-manuscripts-noether-pc-nocone-20260702\noether-slavic-handoff\20260629\cross-session-coordination\20260704\NOETHER_SESSION_OUTPUT_PACKAGE335_20260704T222849_ROLLING_DELTA_AFTER_PACKAGE334","160FC7EF0F0E7787DECFEB3DF460A5B9EB8612FB0173C3849742C573F6E1AD1C","448884","2026-07-04T22:28:50+02:00","B3 rolling package manifest","manifest_rows=24; copied_non_zip_files=24; omitted_raw_source_body_files=4; omitted_raw_rows=4; omitted_zip_files=0; omitted_zip_rows=0; r2_rows=0; lane_counts=noether-r3-arabic-persianate-linear-algebra=9; noether-r6-indigenous-creole-sign=3; noether-r7-malay-sea-pacific=1; noether-r9-africa-horn-west=7; noether-romance-source-evidence-draft-lane=4","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, license clearance, gate promotion, bridge, pilot, Zenodo action, or Git push claim"
"package_frontier","package_336","committed_by_b3_observed","","C:\Users\memo_\Documents\Codex\2026-06-29\updatede-goal-text-maintain-the-noether-2\work\github-checkouts\modern-latex-manuscripts-noether-pc-nocone-20260702\noether-slavic-handoff\20260629\cross-session-coordination\20260704\NOETHER_SESSION_OUTPUT_PACKAGE336_20260704T223008_ROLLING_DELTA_AFTER_PACKAGE335","C54B1272BF251662E165E14659DD6A76B37DBFA7F5FFB7E2867A170647AF2D58","532318","2026-07-04T22:30:09+02:00","B3 rolling package manifest","manifest_rows=23; copied_non_zip_files=23; omitted_raw_source_body_files=0; omitted_raw_rows=0; omitted_zip_files=0; omitted_zip_rows=0; r2_rows=0; lane_counts=noether-arabic-rtl-source-evidence-draft-lane=7; noether-cjk-native-source-evidence=9; noether-r6-indigenous-creole-sign=3; noether-r7-malay-sea-pacific=3; noether-romance-source-evidence-draft-lane=1","source-canon/provenance/gap support only; no translation, term promotion, native review, canonical approval, license clearance, gate promotion, bridge, pilot, Zenodo action, or Git push claim"
