"field","value","source","boundary"
"current_frontier","49d0983c2d071a6885d18d969bc85f26f14033e8","fetch + origin/codex/noether-pc-20260629","current generated-draft route visibility only"
"current_subject","Add a942 Non-Slavic 61F OLP route","git log -1 origin/codex/noether-pc-20260629","current generated-draft route visibility only"
"current_parent","a942e99d597d24bdc6fb0822cae5f7716a0f9004","git log -1 --pretty=%P origin/codex/noether-pc-20260629","prior package lineage"
"prior_frontier","61f213fafabc80e526dcb5a169b9a5e47732e4d8","ACTIVE_SESSION_STATE before heartbeat","prior 61F OLP package lineage"
"prior_subject","Add 9F OLP source-use interlinear refresh","git log 61f213fa","prior package lineage"
"intermediate_frontier","a942e99d597d24bdc6fb0822cae5f7716a0f9004","git log 61f213fa..49d0983c","intermediate route lineage"
"intermediate_subject","Add 61F OLP review boundary visibility","git log 61f213fa..49d0983c","intermediate route lineage"
"compare_61f_to_49d_ahead_by","2","git log 61f213fa..origin/codex/noether-pc-20260629","route visibility only"
"compare_61f_to_49d_changed_paths","52","git diff --name-only 61f213fa..origin/codex/noether-pc-20260629","route visibility only"
"compare_a942_to_49d_ahead_by","1","git log a942e99d..origin/codex/noether-pc-20260629","route visibility only"
"compare_a942_to_49d_changed_paths","26","git diff --name-only a942e99d..origin/codex/noether-pc-20260629","route visibility only"
"changed_path_signal","B3 post-61F review-boundary visibility plus B3 post-A942 non-Slavic 61F OLP source-use/interlinear route and non-slavic-core 61F route uploader paths","path inventory over 61f213fa..origin/codex/noether-pc-20260629","route visibility only; not reviewer/source return"
"prior_source_use_package","OLP_61F213FA_SOURCE_USE_FABLE_9F_PACKAGE_VISIBILITY_20260707","local artifact lineage","prior source-use/Fable package"
"prior_interlinear_package","OLP_61F213FA_INTERLINEAR_TERMINOLOGY_9F_PACKAGE_VISIBILITY_20260707","local artifact lineage","prior interlinear package"
"prior_review_boundary_package","OLP_61F213FA_REVIEW_BOUNDARY_9F_PACKAGE_VISIBILITY_20260707","local artifact lineage","prior review-boundary package"
"generated_draft_status","non-canonical","lane boundary rule","no accepted terminology or translation-completion claim"
"real_reviewer_return_rows","0","no direct reviewer/source return evidence changed in OLP lane","zero-claim boundary"
"mapping_count_delta","0","no direct mapping evidence changed in OLP lane","zero-claim boundary"
"translation_count_delta","0","no direct translation evidence changed in OLP lane","zero-claim boundary"
"approval_count_delta","0","no direct approval evidence changed in OLP lane","zero-claim boundary"
