volume,source_scan_pages,covered_source_pages,coverage_percent,missing_source_pages,range_pdf_count,surgical_fix_pdf_count,rendered_pages,covered_ranges,missing_ranges
I,620,423,68.2,197,16,0,354,13-37; 51-250; 301-375; 401-425; 451-500; 526-573,1-12; 38-50; 251-300; 376-400; 426-450; 501-525; 574-620
II,628,462,73.6,166,15,0,312,1-387; 401-475,388-400; 476-628
III,594,288,48.5,306,13,0,320,1-100; 138-175; 226-275; 288-387,101-137; 176-225; 276-287; 388-594
IV,648,520,80.2,128,19,2,502,26-545,1-25; 546-648
V,650,578,88.9,72,18,0,442,1-578,579-650
VI,636,636,100.0,0,13,0,418,1-636,
VII,652,507,77.8,145,17,1,361,1-400; 451-475; 501-582,401-450; 476-500; 583-652
VIII,640,570,89.1,70,18,0,495,1-570,571-640
IX,650,405,62.3,245,19,0,378,1-18; 26-37; 51-75; 113-200; 251-275; 376-562; 576-625,19-25; 38-50; 76-112; 201-250; 276-375; 563-575; 626-650
X,640,586,91.6,54,20,0,539,1-586,587-640
XI,672,412,61.3,260,15,0,420,1-25; 51-275; 326-437; 451-500,26-50; 276-325; 438-450; 501-672
XII,680,467,68.7,213,19,0,419,1-237; 263-275; 301-325; 351-490; 501-552,238-262; 276-300; 326-350; 491-500; 553-680
XIII,594,450,75.8,144,18,0,418,1-150; 201-500,151-200; 501-594

