formula_no,printed_page,source_pdf_page,output_pages,status,numbering_action,content_action,source_file
(53.),144,27,59-60,SOURCE-CHECKED,restored source-left numbering,Index ranges retained.,02_source/P04/full_pages/P04_p144_source_600dpi.jpg
(54.),144,27,59-60,SOURCE-CHECKED,restored source-left numbering,Restored source double-line inequality glyph rho leqq n; remaining content retained.,02_source/P04/full_pages/P04_p144_source_600dpi.jpg
(55.),144,27,59-60,SOURCE-CHECKED,restored source-left numbering,Content retained.,02_source/P04/full_pages/P04_p144_source_600dpi.jpg
(56.),144,27,59-60,SOURCE-CHECKED,restored source-left numbering,Terminal comma retained.,02_source/P04/full_pages/P04_p144_source_600dpi.jpg
(57.),144,27,59-60,SOURCE-CHECKED,restored source-left numbering,Delta/Nabla definitions retained.,02_source/P04/full_pages/P04_p144_source_600dpi.jpg
(58.),144,27,59-60,SOURCE-CHECKED,restored source-left numbering,Terminal comma retained.,02_source/P04/full_pages/P04_p144_source_600dpi.jpg
(59.),145,28,60-61,SOURCE-CHECKED,restored source-left numbering,Alpha exponent and printed double parenthesis retained.,02_source/P04/full_pages/P04_p145_source_600dpi.jpg
(60.),145,28,60-61,SOURCE-CHECKED,restored source-left numbering,Terminal comma retained.,02_source/P04/full_pages/P04_p145_source_600dpi.jpg
(61.),145,28,60-61,SOURCE-CHECKED,restored source-left numbering,Terminal period retained.,02_source/P04/full_pages/P04_p145_source_600dpi.jpg
(62.),147,30,61-62,SOURCE-CHECKED,restored source-left numbering,Restored both source double-line inequality glyphs sigma_1 geqq sigma_2 and tau_1 geqq tau_2; relation families and bounds retained.,02_source/P04/full_pages/P04_p147_source_600dpi.jpg
(63.),147,30,61-62,SOURCE-CHECKED,restored source-left numbering,Terminal period retained; preceding substitution restored as separate display.,02_source/P04/full_pages/P04_p147_source_600dpi.jpg
(64.),147,30,61-62,SOURCE-CHECKED,restored source-left numbering,Semicolon retained.,02_source/P04/full_pages/P04_p147_source_600dpi.jpg
(65.),148,31,62,SOURCE-CHECKED,restored source-left numbering,Source has no terminal punctuation; non-source comma removed.,02_source/P04/full_pages/P04_p148_source_600dpi.jpg
(66.),148,31,62,SOURCE-CHECKED,restored source-left numbering,Terminal period retained.,02_source/P04/full_pages/P04_p148_source_600dpi.jpg
(67.),149,32,62-63,SOURCE-CHECKED,restored source-left numbering,Semicolon and terminal period retained.,02_source/P04/full_pages/P04_p149_source_600dpi.jpg
(68.),150,33,63-64,SOURCE-CHECKED,restored source-left numbering,First S-chain descends; second R/S chain ascends and remains distinct.,02_source/P04/full_pages/P04_p150_source_600dpi.jpg
(69.),150,33,63-64,SOURCE-CHECKED,restored source-left numbering,Content retained.,02_source/P04/full_pages/P04_p150_source_600dpi.jpg
(70.),151,34,64,SOURCE-CHECKED,restored source-left numbering,Equation content retained.,02_source/P04/full_pages/P04_p151_source_600dpi.jpg
