relative_path,role,bytes,sha256,dimensions,notes
02_source/P04/P04_Crelle139_pp118_154_ORIGINAL.pdf,source-original,72444867,d7f7ce6d4b311ffd968ed47dc9c1478cffcf9f446a86bf90263e0c9d1b41c9ef,,original scan authority or derivative generated from it; not OCR authority
02_source/P04/P04_PRINTED_TO_PDF_CONCORDANCE.csv,source-metadata,889,02d6aebf8d9762028ad32e20e1cacaea99854ba299fa4e462878cca598432b34,,original scan authority or derivative generated from it; not OCR authority
02_source/P04/current_slice/Web_P04_source_printed_p144_154.pdf,source-metadata,20311122,d39d67c60edc3f045727df5ef32c0defdff1f482d1e419b9a6a0f0a13b72c87f,,original scan authority or derivative generated from it; not OCR authority
02_source/P04/focus/P04_p144_five_source_strips_contact.jpg,source-focus,333345,409aa997dc154d784bae43445f924a040a504bc81e612974a220f87cd81c97da,910x1608,original scan authority or derivative generated from it; not OCR authority
02_source/P04/focus/P04_p145_five_source_strips_contact.jpg,source-focus,335651,9ddda81057a80d90adc7de6678eaf0601ad9f1693d1bf7f644e5e737d56a3391,910x1608,original scan authority or derivative generated from it; not OCR authority
02_source/P04/focus/P04_p145_formula59_61_and_printed_double_parenthesis_focus.png,source-focus,1863715,313a87e09bfad5f8d48ffc698fc65778259bc6469045152ef521e8588071cace,2400x2708,original scan authority or derivative generated from it; not OCR authority
02_source/P04/focus/P04_p147_five_source_strips_contact.jpg,source-focus,289117,d4e3c4d466aceff8333f2ea98fdf718cacb6960a8903dfafc0aac1d9787fd830,910x1608,original scan authority or derivative generated from it; not OCR authority
02_source/P04/focus/P04_p147_formula62_substitution_63_64_focus.png,source-focus,1340285,6d536f54fd947257fb2cd649a258bbc7fcd00492fd573df503f1737286a17633,2400x2652,original scan authority or derivative generated from it; not OCR authority
02_source/P04/focus/P04_p148_five_source_strips_contact.jpg,source-focus,324877,252d54eaf9cf08ab63f9e547f67e598c892acba2783973dc560d3dffad410b5e,910x1608,original scan authority or derivative generated from it; not OCR authority
02_source/P04/focus/P04_p149_five_source_strips_contact.jpg,source-focus,371614,cc7146666846b876ee6b5f72e76eb747c6360d75d630b9765f252944d1debf10,910x1608,original scan authority or derivative generated from it; not OCR authority
02_source/P04/focus/P04_p150_dual_sequences_focus.png,source-focus,713753,6891242c6394b1fa9d71d5e41e2e6789704a99c56e541d5b52e9d0726ed0b506,2400x1691,original scan authority or derivative generated from it; not OCR authority
02_source/P04/focus/P04_p150_five_source_strips_contact.jpg,source-focus,315568,cdec42a3d99fd59101f5245cf9c7d777a30f5c470e13aaebcf2c216000964736,910x1608,original scan authority or derivative generated from it; not OCR authority
02_source/P04/focus/P04_p150_qdoubleprime_and_Schlussform_focus.png,source-focus,1214564,dd9a3674a1ddcdce6dccaacfadb14769c1d0e37df4776803b3a497cfc52a8d61,2400x1802,original scan authority or derivative generated from it; not OCR authority
02_source/P04/focus/P04_p151_formula70_Schlussausdruecke_footnotes_focus.png,source-focus,2583154,a92de642b6d8ba57247257a69cff7220ad22eb053872d471e8b1c96cc241b2fd,2400x3558,original scan authority or derivative generated from it; not OCR authority
02_source/P04/focus/P04_p152_five_source_strips_contact.jpg,source-focus,407509,bb776a3439d275d5a68605df1ded51b22e89f6e85d77d577eb593f3bb931fdec,910x1608,original scan authority or derivative generated from it; not OCR authority
02_source/P04/focus/P04_p152_heading_list_localstars_focus.png,source-focus,2509130,c3388f4e529c4180766c771d73a3b18cd8c3019891327791ff23ca3bf6a61b47,2400x3558,original scan authority or derivative generated from it; not OCR authority
