correction_id,paper,printed_pages,output_pages,category,before,after,source_anchor,confidence,classification,merge_scope
P04F-144-01,P04,144,60,inequality-glyph,Formula (54) used \rho\le n.,Restored the source double-line glyph \rho\leqq n.,p144 source strip 2 / formula (54),source-certain,previous-Web transcription defect,bounded P04 printed pp144-154 only
P04F-144-02,P04,144,60,mathematical-index-family,Procedure sentence incorrectly kept the terminal p_rho / xi^(rho) family.,"Restored source p_sigma and xi^(1),...,xi^(sigma) for the individual rows being substituted.",p144 source strip 3; exact sentence after (56.),source-certain,substantive previous-Web index-family defect,bounded P04 printed pp144-154 only
P04F-145-01,P04,145,60,inequality-glyph,rho >= sigma used a single-line greater-or-equal glyph.,Restored source rho \geqq sigma.,"p145 source strip 1, opening continuation",source-certain,previous-Web glyph-normalization defect,bounded P04 printed pp144-154 only
P04F-147-01,P04,147,61,inequality-glyph-family,Both bounds in (62.) used \ge.,Restored \sigma_1\geqq\sigma_2 and \tau_1\geqq\tau_2.,p147 source strip 1 / formula (62.),source-certain,previous-Web glyph-normalization defect,bounded P04 printed pp144-154 only
P04F-148-01,P04,148,62,omitted-prose-in-display-chain,The first relation jumped directly from the epsilon term to y~q... .,Restored the printed connective “wo” before y~q... .,"p148 source strips 1-2, relation chain after (65.)",source-certain,previous-Web omitted-word defect,bounded P04 printed pp144-154 only
P04F-149-01,P04,149,63,omitted-prose-in-display-chain,The first dual relation lacked the printed connective before R_lambda~q... .,Restored source “wo” before R_lambda~q... .,p149 source strips 1-2,source-certain,previous-Web omitted-word defect,bounded P04 printed pp144-154 only
P04F-150-01,P04,150,64,omitted-prose-in-display-chain,The equivalence display lacked the printed connective before R_lambda~q... .,Restored source “wo” before R_lambda~q... .,p150 source strip 3,source-certain,previous-Web omitted-word defect,bounded P04 printed pp144-154 only
P04F-152-01,P04,152,65,inequality-glyph,The higher-form definition used beta_rho >= alpha_rho with a single-line glyph.,Restored source beta_rho \geqq alpha_rho.,"p152 source strip 3, item 1)",source-certain,previous-Web glyph-normalization defect,bounded P04 printed pp144-154 only
P04F-152-02,P04,152,65,punctuation,“Danach wird z. B.” lacked the printed colon.,Restored “Danach wird z. B.:”.,"p152 source strip 3, item 2)",source-certain,previous-Web punctuation defect,bounded P04 printed pp144-154 only
P04F-154-01,P04,154,66,footnote-punctuation,Study citation read “a. a. O. II.” without the printed comma.,"Restored “Study, a. a. O., II. § 7.”",p154 source strip 4 / final footnote,source-certain,previous-Web punctuation defect,bounded P04 printed pp144-154 only
