output_page,width,height,changed,bbox,changed_pixels,mean_abs_diff
58,1819,2573,False,,0,0
59,1819,2573,False,,0,0
60,1819,2573,True,"(208, 195, 1697, 1264)",11267,0.2572235420605617
61,1819,2573,True,"(1021, 1891, 1048, 1974)",634,0.018002314815309402
62,1819,2573,True,"(388, 1303, 1372, 2355)",22029,0.6393334425858928
63,1819,2573,True,"(185, 619, 1414, 2447)",25982,0.7203705670186465
64,1819,2573,True,"(377, 635, 1442, 671)",9544,0.28472441967768214
65,1819,2573,True,"(579, 528, 1410, 1630)",7275,0.2096018897986384
66,1819,2573,True,"(223, 2402, 1619, 2426)",9689,0.215956200976564
67,1819,2573,False,,0,0
68,1819,2573,False,,0,0
