check_id,scope,assertion,method,result,evidence
P04F-SURV-001,input identity,Immediate input is the prior Web checkpoint SHA256 3fe2270eafa5d8ada613f813c848d754e316c7583c93ec7622d73d15dd32d0d2.,SHA-256,PASS,09_forensic/previous_web_checkpoint.tex
P04F-SURV-002,final cumulative,Final TeX and PDF compile to 466 pages.,two XeLaTeX passes plus pdfinfo,PASS,07_logs/xelatex_pass1.log; 07_logs/xelatex_pass2.log; 06_audit/final_pdfinfo.txt
P04F-SURV-003,boundedness,"Follow-up exact diff contains only the assigned Paper 4 continuation, current cumulative lines 4204-4476.",unified-diff hunk inspection and neighboring control-page render comparison,PASS,06_audit/Web_P04_p144_154_diff_PREVIOUS_WEB_to_FOLLOWUP.diff; 06_audit/diff_scope_check.txt
P04F-SURV-004,render controls,"Output pp.58, 59, 67, and 68 are pixel-identical to the immediate input.",220-dpi PNG pixel comparison,PASS,06_audit/render_pixel_comparison_followup.csv
P04F-SURV-005,known repair N04-S08-SRCDEF-001,Schlußform survives.,literal TeX assertion plus visual reopen p64,PASS,01_cumulative/Web_P04_p144_154_followup_cum_de.tex; output p64
P04F-SURV-006,known repair N04-S08-SRCDEF-002,Schlußausdrücke survives.,literal TeX assertion plus visual reopen p64,PASS,01_cumulative/Web_P04_p144_154_followup_cum_de.tex; output p64
P04F-SURV-007,known repair N04-S08-SRCDEF-003,First p150 dual sequence ascends; separate following sequence descends.,literal family assertion and source visual check,PASS,p150 source full page; current TeX
P04F-SURV-008,known repair N04-S08-SRCDEF-004,“mit den beiden Reihen” survives.,literal TeX assertion,PASS,current TeX p148 locus
P04F-SURV-009,new p144 mathematical index family,"Procedural substitution uses p_sigma and xi^(sigma), not terminal p_rho/xi^(rho).",source-strip comparison plus literal TeX assertion,PASS,05_contacts/Web_P04_p144_p145_index_inequality_source_before_after.png
P04F-SURV-010,new omitted connective family,All three newly restored “wo” connectives survive at pp148-150.,literal count and visual changed-page reopen,PASS,contacts for pp148-150
P04F-SURV-011,adverse source,Printed “Formel 23)).” and final “Satz VII” reference remain unchanged.,literal TeX and source comparison,PASS,adverse-source ledger
