physical_page	article_page_index	printed_page	printed_page_display	collected_comparator_page	ias_comparator_page	prompt_id	source_sha256	disposition	copy_matter_disposition	major_marker	object_note
1	0	0	NUMDAM_COVER__NO_ARTICLE_FOLIO	0	0	P01	8392B345D4854E6DC55FB42CFC0B616D941935983723627237239A87348F42E5	EXCLUDE_NUMDAM_COVER_FROM_SCHOLARLY_BODY_RETAIN_PROVENANCE	RETAIN_HASHED_PROVENANCE_AND_BIBLIOGRAPHIC_METADATA; EXCLUDE_NUMDAM_ACCESS_COPYRIGHT_CONDITIONS_AND_DIGITIZATION_COPY_FROM_FRENCH_AND_ENGLISH_ARTICLE_BODIES	NUMDAM COVER; COPY MATTER; NO ARTICLE FOLIO	NUMDAM_VECTOR_COVER_AND_SIX_URI_LINK_ANNOTATIONS
2	1	273	273	741	1	P01	8392B345D4854E6DC55FB42CFC0B616D941935983723627237239A87348F42E5	INCLUDE_ARTICLE	CENTERED_PRINTED_FOLIO_EXCLUDE_FROM_BODY_RETAIN_PAGE_ANCHOR	ARTICLE TITLE; BYLINE; CONTENTS; SECTION 1; PRINTED 273	ONE_BIT_CCITT_ARTICLE_SCAN_TEXT_AND_DISPLAY_MATH
3	2	274	274	742	2	P01	8392B345D4854E6DC55FB42CFC0B616D941935983723627237239A87348F42E5	INCLUDE_ARTICLE	CENTERED_PRINTED_FOLIO_EXCLUDE_FROM_BODY_RETAIN_PAGE_ANCHOR	ARTICLE BODY CONTINUATION	ONE_BIT_CCITT_ARTICLE_SCAN_TEXT_AND_DISPLAY_MATH
4	3	275	275	743	3	P01	8392B345D4854E6DC55FB42CFC0B616D941935983723627237239A87348F42E5	INCLUDE_ARTICLE	CENTERED_PRINTED_FOLIO_EXCLUDE_FROM_BODY_RETAIN_PAGE_ANCHOR	ARTICLE BODY CONTINUATION	ONE_BIT_CCITT_ARTICLE_SCAN_TEXT_AND_DISPLAY_MATH
5	4	276	276	744	4	P01	8392B345D4854E6DC55FB42CFC0B616D941935983723627237239A87348F42E5	INCLUDE_ARTICLE	CENTERED_PRINTED_FOLIO_EXCLUDE_FROM_BODY_RETAIN_PAGE_ANCHOR	ARTICLE BODY CONTINUATION	ONE_BIT_CCITT_ARTICLE_SCAN_TEXT_AND_DISPLAY_MATH
6	5	277	277	745	5	P01	8392B345D4854E6DC55FB42CFC0B616D941935983723627237239A87348F42E5	INCLUDE_ARTICLE	CENTERED_PRINTED_FOLIO_EXCLUDE_FROM_BODY_RETAIN_PAGE_ANCHOR	ARTICLE BODY CONTINUATION	ONE_BIT_CCITT_ARTICLE_SCAN_TEXT_AND_DISPLAY_MATH
7	6	278	278	746	6	P02	8392B345D4854E6DC55FB42CFC0B616D941935983723627237239A87348F42E5	INCLUDE_ARTICLE	CENTERED_PRINTED_FOLIO_EXCLUDE_FROM_BODY_RETAIN_PAGE_ANCHOR	ARTICLE BODY CONTINUATION	ONE_BIT_CCITT_ARTICLE_SCAN_TEXT_AND_DISPLAY_MATH
8	7	279	279	747	7	P02	8392B345D4854E6DC55FB42CFC0B616D941935983723627237239A87348F42E5	INCLUDE_ARTICLE	CENTERED_PRINTED_FOLIO_EXCLUDE_FROM_BODY_RETAIN_PAGE_ANCHOR	ARTICLE BODY CONTINUATION	ONE_BIT_CCITT_ARTICLE_SCAN_TEXT_AND_DISPLAY_MATH
9	8	280	280	748	8	P02	8392B345D4854E6DC55FB42CFC0B616D941935983723627237239A87348F42E5	INCLUDE_ARTICLE	CENTERED_PRINTED_FOLIO_EXCLUDE_FROM_BODY_RETAIN_PAGE_ANCHOR	SECTION 2; PRINTED 280	ONE_BIT_CCITT_ARTICLE_SCAN_TEXT_AND_DISPLAY_MATH
10	9	281	281	749	9	P02	8392B345D4854E6DC55FB42CFC0B616D941935983723627237239A87348F42E5	INCLUDE_ARTICLE	CENTERED_PRINTED_FOLIO_EXCLUDE_FROM_BODY_RETAIN_PAGE_ANCHOR	ARTICLE BODY CONTINUATION	ONE_BIT_CCITT_ARTICLE_SCAN_TEXT_AND_DISPLAY_MATH
