id,language_group,language,title,role,url,local_reference,status_note
czech_cuni_algebra_2021,West Slavic,Czech,Ucebni text Algebra 2020/21,broad algebra ring/body/field control,https://karlin.mff.cuni.cz/~kala/2021alg/algebra21.pdf,sources/interslavic_triangulation/20260624_slavic_math_reference/pdf/czech_cuni_algebra_2021.pdf,primary local reference control
czech_cuni_telesa_pole_note,West Slavic,Czech,Telesa pole terminology note,explicit commutative field versus noncommutative body distinction,https://www.karlin.mff.cuni.cz/~becvar/LA-dotaz3.pdf,sources/interslavic_triangulation/20260624_slavic_math_reference/pdf/czech_cuni_telesa_pole_note.pdf,primary local reference control
czech_cuni_noncommutative_body_thesis,West Slavic,Czech,Czech thesis using nekomutativni teleso,division-ring/body and Brauer-group control,https://dspace.cuni.cz/bitstream/handle/20.500.11956/75721/BPTX_2014_1_11320_0_348573_0_141241.pdf?sequence=1,sources/interslavic_triangulation/20260624_slavic_math_reference/pdf/czech_cuni_noncommutative_body_thesis.pdf,primary local reference control
czech_karlin_commutative_rings_fields,West Slavic,Czech,Komutativni okruhy Teorie teles a jeji aplikace,Noetherian ring/module and field-theory control,https://www.karlin.mff.cuni.cz/~ruzicka/komalg/telesa.pdf,sources/interslavic_triangulation/20260624_slavic_math_reference/pdf/czech_karlin_commutative_rings_fields.pdf,primary local reference control
czech_karlin_galois_splitting_field,West Slavic,Czech,Algebra 2 Rozkladove teleso,splitting-field register control,https://www.karlin.mff.cuni.cz/~stovicek/dl/19-20-ls/algebra2_04052020.pdf,sources/interslavic_triangulation/20260624_slavic_math_reference/pdf/czech_karlin_galois_splitting_field.pdf,primary local reference control
czech_cuni_representation_idempotents,West Slavic,Czech,Vyznacne prvky grupovych okruhu,representation/idempotent/left-ideal control,https://dspace.cuni.cz/bitstream/handle/20.500.11956/127526/120389931.pdf?sequence=1,sources/interslavic_triangulation/20260624_slavic_math_reference/pdf/czech_cuni_representation_idempotents.pdf,primary local reference control
polish_impan_algebra_lecture3,West Slavic,Polish,Algebra z geometria pierscienie ciala i homomorfizmy,Polish ring/field/homomorphism control,https://www.impan.pl/~pmh/teach/algebra/lectures/lecture3.pdf,sources/interslavic_triangulation/20260624_slavic_math_reference/pdf/polish_impan_algebra_lecture3.pdf,primary local reference control
polish_uwr_algebra2_rings,West Slavic,Polish,Algebra II Pierscienie,Polish ring terminology control,https://ii.uni.wroc.pl/~kosciels/algebra/pliki/alg2-03.pdf,sources/interslavic_triangulation/20260624_slavic_math_reference/pdf/polish_uwr_algebra2_rings.pdf,primary local reference control
polish_mimuw_noncommutative_body,West Slavic,Polish,MIMUW notes with nieprzemienne cialo kwaternionow,noncommutative body/quaternion control,https://www.mimuw.edu.pl/~torunczy/GAL/09-10/Sem2/VII.KW.pdf,sources/interslavic_triangulation/20260624_slavic_math_reference/pdf/polish_mimuw_noncommutative_body.pdf,primary local reference control
polish_uj_algebra1_noetherian,West Slavic,Polish,Algebra I,Noetherian/splitting-field/ideal control,https://slawomir-cynk.u.matinf.uj.edu.pl/images/videos/AlgebraI.pdf,sources/interslavic_triangulation/20260624_slavic_math_reference/pdf/polish_uj_algebra1_noetherian.pdf,primary local reference control
